	Titel	Datum
0	Lijst van de archiefbescheiden in het huis Almelo en van charters, betrekking hebbende op de rechten van de provincie Utrecht, [midden 18e eeuw].	1236
2	Akte waarbij de bisschop van Utrecht aan de heer van Almelo en de ingezetenen van het dorp Almelo toestaat een kapel met bijbehorende rechten op te richten, 1236.	1236.
4	Akte van overdracht door Johan, gewoonlijk genoemd Johannes van Luydic, aan het kapittel van een mark, negentien schellingen en een kapoen jaarcijns op verschillende huizen. Met retroacte, 1422., 1446 augustus 22. reg. Doppler Schep. nrs. 1236, 1235	01-01-1235
6	Akte van belening door Nikolaas I van Putten van Willem Hugenz. met 8 pond jaarlijks uit de bede van Putten, 1235	01-01-1235
8	Akte waarbij graaf Hendrik V van Luxemburg verklaart dat hij het graafschap Aarlen in leen heeft ontvangen van zijn broeder hertog Hendrik IV van Limburg, 1235	1235
10	Schenking door Albert van Wulven aan het kapittel van 4 morgen land met tiend en 7 morgen tiend te Kovelswade, 1235	1235
12	Verklaring van de elect Otto van schenking door Giselbert van Vechten en zijn broeders van enige landen te Slachtmaat aan het kapittel, in ruil van opdracht in leen van land te Vechten en Seisterover, 1236 dec. 14	1236 dec. 14
14	Verklaring, door Otto graaf van Gelre afgelegd over het koopcontract, afgesloten met Henrik van Borculo, (betreffende de villa Groenlo), 1236 mei 26. 1 charterN.B. Regest 2.	26-05-1236
16	Charter, 1236	01-01-1236
18	Akte, waarbij magistra Mechtildis van het klooster van Sint-Gerlach aan het infirmitorium van haar klooster een jaarrente van vier solidi uit twee huizen te Aken schenkt, alsook een jaarrente van één malder rogge uit goederen te Daniken, 1236	1236
20	Akte van overeenkomst van grensscheiding tussen de tienden van Kortenhoef van het kapittel en die van Dorseveen van Gijsbrecht IV van Amstel, 1235 mei 6	1235 mei 6
22	Synodaal-statuten van bisschop Dirk II van Are, [1209]. Afschrift, ca. 1230	1209
24	Burgemeesters van de stad Hoern geven vidimus van de brieven d.d. 1410 juli 25 (Reg.no. 770) en 1471 juli 8 (Reg.no. 1236) en verklaren, dat Gheriit Jan Ellertz. vóór hen verklaarde de in die brieven genoemde goederen in eigendom opgedragen te hebben aan heer Gheriit van Poelgeest, abt van Egmond, en dat de abt Jan Gheriitz. en Marten Janz, zijn neef, beleend heeft met genoemde goederen en renten. Oorspr. (Inv.no. 382). Met het zegel van de stad Hoorn.	1236
26	Akte, waarbij Otto, kanunnik te Zutphen, zijn goed, gelegen in Oosterhuizen opdraagt aan Otto, graaf van Gelre en Zutphen, én een jaarrente, gaande uit de gruit in Zutphen, aan het Zutphense kapittel schenkt voor het houden van een jaarlijkse memoriedienst voor zichzelf en zijn broer Coenraad en een jaarlijkse uitkering aan de dochter van genoemde Coenraad 1235	01-01-1235
