	Titel	Datum
0	Akte waarbij Hendrik de Carpentier van Lucas Dijl c.s., als voogden over de minderjarige erfgenaam van Pieter de Carpentier, een perceel land in De Zijpe koopt, 1795	01-01-1795
2	Akte van transport door Maria Elisabeth Cassa geb. Gousset aan Margaretha Geelvinck geb. van Loon	1796
4	westzijde Spui, (f. 462) Caspar van den Brink	1633
6	zuidzijde Nieuwe Brouwerstraat of Groot Spijkermakersslop/hoek Brouwersgracht, Bernardus Verguson	1762
8	"Akte, waarbij gedeputeerde staten verklaren ontvangen te hebben van G. Noorda en G. Maathuis 200 gl. à 3% ""tot zekerheid van de verpondingen en andere lands- en karspellasten van een porceel land"" onder Kropswolde, 1796"	1796
10	Rentebrief groot 1.450 car. guldens ten laste van Albert Hensing en zijn vrouw Aaltje Andries en ten bate van G.H.I. Kuipers en zijn vrouw Trijntje Boelens te Zuidbroek, 1796	1796
12	Huwelijkscontract tussen Cornelis T. Borst, zoon van Tjapko C. Borst en Aafjen Kreitzers, ehelieden en Martjen Cornelis Mulder, dochter van Cornelius Hijbels en wijlen Trijntje Jacobs Vos, 1796	1796
14	Dossier betreffende de nalatenschap van Jacob Willems Ridder te Achlum, 1795	1795
16	Akte van verkoop en overdracht door Jantje Assens en Heije Verheek, echtelieden, aan Geert S. Nieborg en Susanna Bijlholt, echtelieden, van twee woningen met hoven aan de Kruithuislaan, 1798. Met retroactum, 1796	1796
18	Akte van verkoop en overdracht door Harmannus B. Schuitema en Fokjen Harms, echtelieden, aan Pieterdina Nieveen, weduwe Heiko Bloemhof, van een huis aan het Schuitendiep westzijde, 1803. Met retroactum, 1795	1795
20	Akte van verkoop door Cornelis Zwaaving te Naarden aan J. de Rovere van Breugel van 3 woningen te Maartensdijk genaamd de Vinkenbuurt, 1796, akte van transport, 1797, en geleidebrief bij deze retroacta, 1857.	01-01-1796
22	Eigendomsbewijzen betreffende het huis Ten Putten, gelegen aan de westzijde van de Oudegracht tussen de Gaardbrug en de Romerborgerbrug (nu: Hamburgerbrug). Met lijst, 1375-1796	1375
24	Stukken betreffende de eigendom van een blekerij met omliggende percelen land, gelegen ten westen van de Amsterdamsestraatweg bij de Oude Daalstraat en de Vosstraat, nr. 2 (L 39), laatstelijk in eigendom bij J. van Rooijen jr, 1796-1889	1796
26	1796	01-01-1796
28	Akte van benoeming door de Staten Generaal van Willem Quarles van Ufford tot tweede griffier van de vergadering van voornoemde Staten, 1795 febr. 8	1795
30	Stukken betreffende de hypothecaire schulden van de N.I.G, 1796-1917	1796
32	Akte van aanstelling van Pieter Wouter Wijngaard tot dijkgraaf van de Zuidpolder, 1796	01-01-1796
34	Verleibrieven van gedeelten der heerlijkheid, 1582-1796. 18 charters	01-01-1582
36	Akte waarbij Dirk Langeveld verklaart schuldig te zijn aan de polder de koopsom van een door hem van de polder gekocht huis, zomerhuis, twee schuren, erf en tuin op het zuideinde van Woubrugge, tussen de Woudwetering en de ringsloot van de polder, onder verband van al zijn goederen, 1796	01-01-1796
38	Stukken betreffende de toekenning van remissie van verponding na daartoe bij de Staten van Holland en West-Friesland ingediende verzoeken door verschillende plaatselijke besturen in WestFriesland, 1745-1746, 1752-1753, 1755-1756, (1760), 1764, (1766), 1767, 1775, 1777, 1796	1745
