	Titel	Datum
0	Reynolt, hertog van Gulick en Gelre, graaf van Zutphen, geeft een dijkrecht aan de kerspelen van Hattem, Vorachten, Heerde, Oen, van den Nyenbroeck en van der Wo1de. Geïnsereerd in een ongedateerd vidimus (reg. nr. 9).	1415
2	Burgemeesters, schepenen en raad der stad Hattum geven een vidimus van een akte van 1415 oktober 13 (reg. nr. 8). Afschrift in inv. nr. 55.	1415
4	Akte van kwijting door Jacob de Wilde Ghiisbertssoen voor priorin en convent van Vrouwenklooster wegens ontvangst van achterstallige vorderingen, 1415 aug. 20	1415 aug. 20
6	Akte van verkoop, door Willem Peterszn, aan Jan Busen Janszn, voor kartuizers, van land in Maasland, 1415	1415
8	Akte van verkoop, door Jan Buze Janszn, aan kartuizers, van land in Maasland, 1415	1415
10	Akte van uitwinning, door Jacob, zoon heer van Oosterhout, voor kartuizers, van erfpacht in Steloe in Oosterhout, 1416	1416
12	1416-03-16. 1416 maart 16Schepenen van Heusden oorkonden dat Pouwels van Woringen verkocht heeft aan Wouter Artszn: door hem uitgewonnen hofstad ( = bouwkavel) met opstal en land in BabyloniënbroekAuthentieke kopie van vidimus inventarisnr 2, 1e deel, folio 10, B 4Zie ook regestnr 678	01-01-1416
14	1416-03-17. 1416 maart 17Schepenen van Heusden oorkonden dat Pouwels van Woringen Hubrechtszn in erfpacht heeft overgedragen aan Peter van den Hille: hofstad ( = bouwkavel) met opstal en land in Babyloniënbroek; geven vidimus van schepenakte uit 1416 maart 16 (regestnr 677)Authentieke kopie inventarisnr 2, 1e deel, folio 9v -10, B 5	01-01-1416
16	1415-03-01. 1415 maart 1 (svridages na sente Mathijsdach)Schepenen van Heusden oorkonden, dat Dirk Jacobszn heeft overgedragen aan Jan Bouman:1/2 huis en erf onder Heusden in PotterstraatOrigineel (inventarisnr 396)Met schepenzegels Bernt van den Wiele en Gerard van DerenterGehecht aan akte van 1383 november 24 (regestnr 149)Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 141v	01-01-1415
18	1415-11-13. 1415 november 13 (swoensdages na sente Mertijnsdach in den wynter)Schepenen van Heusden oorkonden, dat Mechteld, weduwe Henrik Mollener, haar zoon Willem, en Jan Peterszn hebben overgedragen aan Jan de Bloet Jan Blotenszn van Baardwijk:akker onder Baardwijk, waarna Jan de Bloet deze weer aan Mechteld en haar zoon overdroeg tegen cijns van 1 mud rogge met vrijwaring van Jan Peterszn's rechtenOrigineel (inventarisnr 145)Met schepenzegels Klaus Spiering van Aalborg en Dirk van DobbenMet transfixen van 1426 juni 18 en 1441 augustus 16 (regestnrs 540, 690)Gehecht aan akte van 1406 december 14 (regestnr 317)Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 122r	01-01-1415
20	1415-12-04. 1415 december 4 (op sente Berberendach)Schepenen van Heusden, Aarnt Ynwijn Ynwijnszn en Klaas Spiering van Aalborg, oorkonden, dat Aleid, weduwe Ywijn Aarntszn, en haar zoons Dirk en Jan, hebben overgedragen aan Jacob Doesburg:3 morgen onder Drongelen op de Mylven, waarna Jacob dit land weer aan Aleid heeft overgedragen tegen pacht van 1 mud roggeGevidimeerd in akte van 1422 oktober 4 (regestnr 496)Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 92v	01-01-1415
