	Titel	Datum
0	Koopbrief waarin Anna Pietersdr., wed. van Allaerdt Andries, land in Epinga-goed te IJsbrechtum koopt van Ulck Elckedr.,	1566
2	Patente concernant les privilèges et franchise (vrijstelling) de la ville, terre et seigneurie de Fallais et des inhabitants d'icelle; appartenant à Charles de Bourgogne	1565
4	Akte, waarbij de officiaal van Luik, op grond van een mandaat van de kardinaal-penitentiarius van paus Pius IV, Sophia van Stommel, tegenwoordig vrouw van Hendrik van Isendoorn, woonachtig in Stockum in het hertogdom Limburg, ontslaat van de eed, die zij gedaan heeft bij het aangaan van haar huwelijk met Johan van Groesbeeck tot verwerping van de vaderlijke en moederlijke nalatenschap, 1565. 1 charter	1565
6	Akte, waarbij Dirk van Keppel erkent schuldig te zijn aan Hendrik van Isendoorn à Blois en zijn vrouw Sophia van Stommel een jaarlijkse pacht van een goudgulden voor het recht een molen te leggen op de beek waar die in de Grift loopt, bij het huis van Dirk van Keppel tot Haeffcamp, in (1565) vergund aan Hendrik van Keppel, vader van de oor-konder, 1572, Met akte, waarbij de kinderen van Hendrik van Keppel deze goudgulden 's jaars beloven te betalen en de heer van de Cannenburg de voorkoop te gunnen, 1575. 2 charters	1575
8	Mandaat van de pauselijke penitentiarius voor de aartsbisschop van Utrecht waarbij dispensatie wordt verleend voor het huwelijk van Hendrik van Isendoorn à Blois en Sophia van Stommel daar zij elkaar bestaan in de 4e (kerkelijke) graad, 1565. 1 charter	1565
10	Jelijs Pieck, 1566 1 charter	01-01-1566
12	Akte van belening door Godard van Reede als tijnsheer van Cornelis Stevensz. met een huis en hofstede bij de dijk te Amerongen, door deze gekocht van de voogden van Hendrik Reijersz. van Zeist, 1566 maart 13	1566
14	Akte van verpachting ten overstaan van schepenen in Brugge door Jan van Lichtervelde, heer van Beaurewaert, aan Arnoud de Beste van het goed Ter Walle, gelegen in de parochie van Sint Pieter in de heerlijkheid Zissele, 1565 februari 18	1565
16	Stukken betreffende de verkoop van het goed Huetinckstede te IJsselhunten onder Etten door het kind van de echtelieden Otto Hagens en Gerda van Bruckhese aan Assueer van Sweten, 1636-1637. Met retroacte sedert, 1565. 4 charters en 1 omslag	1565
18	Schepenakte waarbij door Herman Jenefaesz. en zijn echtgenote Anneke Willemsdr. aan het Heilige geest- en pesthuis geld wordt gelegateerd na het overlijden van Anneke	1566
20	Akte van overdracht, door Peter Janszn Rutten, aan Cornelis Wouter Heis, van land onder 's Gravenmoer, 1566	1566
22	"Akte waarbij Louis, graaf van Nassau / Eustache de Fiennes / Charles de Revel / Bernard de Merode / Charles van der Noot / George de Montegny / Martin de Serclaes / Philippe van der Merren / Philippe de Marbais / Jehan de Montegny / Charles de Lievin / François de Haeften en Jehan le Sauvaige namens hen zelf en mede namens andere edellieden, die in april 1566 smeekschrift hebben aangeboden aan koning via landvoogdes, gehoord hebbende antwoord van koning, verklaren met dit antwoord in te stemmen en hun trouw aan koning en landvoogdes te vernieuwen.Met handtekeningen oorkonders. Volgens dorsale akte op 27 augustus 1566 ondertekend door Serclaes en Haeften. Deze kapitale oorkonde is gepublieeerd door J.F. Petit in zijn ""Grande Chronique"", II, pagina 121 - 122; de dorsale aantekeningen zijn gepubliceerd door baron de Reiffenberg in zijn ""Correspondance de Marguerite d'Autriche , duchesse de Parme, avec Philippe II,"" Bruxelles 1842, pagina 186. De oorkonde is voorzien van stempel ""Archives du Royaume de Belgique"" en bevond zich in 1842 nog in Algemeen Rijksarchief in Brussel. Zie over deze oorkonde onder meer Berkelbach van den Sprenkel, Correspondentie, pagina 64 en Fruin, R., Verzamelde werken, I, p. 411 - 415, fotokopie, 25 augustus 1566"	25 augustus 1566
24	Akte van lastgeving door convent Kruisbroeders in Luik, voor Wilhelm Cacalaerts, burger van Sint-Truiden, tot rentmeester, mombaar en procureur, 12 november 1566	12 november 1566
26	Stukken betreffende den (ver-)koop van gedeelten der heerlijkheid. (Reg.nrs. 117, 118 en 119.), 1566-1741. 15 charters en 1 omslag	01-01-1566
28	Akten van lijfrente verkocht door de stad Utrecht, 1565-1589	1565
30	Akte van overdracht door Rijcout Rijcoutsz. aan Cornelis Joosten van Voorst van 6 morgen in Dorseveen onder Kortenhoef, 1566	1566
32	Akte waarbij het recht voor de zalm bij de grote Brabantse landtol wordt verlengd	1566
34	Akte waarbij Johan van Cruchten, richter, Wilhelm van Hushaven en Johan Hyllen, schepenen te Roermond, oorkonden dat Johan van Wyttenhoerst, drost van Montfort, en zijn vrouw Margarete van Brederayde, aan het reguliere klooster in de stad een jaarrente van 15 guldens schuldig zijn, waarvan als onderpanc is gesteld de 600 gulden 's jaars die Van Wyttenhoerst trekt uit de tol van de koning te Roermond ; de rente is losbaar met 300 guldens	1566
36	Akte van overdracht voor de schepenbank Stevensweert door Lens van der Heyden aan Alet Koix te Roermond van een grondrente van 5 Hornse gulden, met retroacta van 1549 en 1560	1566
38	Kwitantie, afgegeven door Albert Janss, Roleff Janss, Harmen Janss en zijn vrouw Claes, Berent Everynge en zijn vrouw Dele, Frerick Everynge en zijn vrouw Alyt, en Johan Everynge, aan hun ooms Roleff Lamans en Johan Woldringe wegens de betaling van de som van 700 daler, als deel van de nalatenschap van wijlen Gese Woldringe, verleden voor Jacob Hildebrandes, ambtman van Selwerd, 1565	1565
