	Titel	Datum
0	Testamenten van Frederik C.R. van Reede en Anna Elisabeth van Tuyll, met proces verbaal van opening, 1772, 1778, 1806-1815	1772
2	Bul van de Rijksuniversiteit Utrecht waarbij hij de titels magister artium liberalium en doctor in de filosofie mag voeren, 1815	1815
4	Akte door de loge van de orde van Vrijmetselaarij te 's-Hertogenbosch van de benoeming van Johannes Andreas Trüter tot meester, [1815 of 1816]	1815
6	Bul van de universiteit van Aberdeen voor Johannes Andreas Trüter als doctor in de rechten, 1815 mei 18	1815 mei 18
8	Akte van overdracht door Hercules van den Bergh en zijn zuster Walberch van den Bergh aan Wolther van Weze van een halve morgen land op de Sonneggen, gelegen naast De Breide, 1579. 1 charter	1579
10	Stukken betreffende het onderhoud van wegen, 1633, 1812-1816	1633
12	Bul van Pius VII waarbij een volle aflaat wordt verleend aan de parochianen te Voerendaal	1815
14	aanvraagnr: 1991 35 Stukken van overdracht en borgstelling betreffende onroerend goed (hoofdzakelijk aan of nabij de Hoogstraat) en dergelijke alsmede een schuldrentebrief	1596
16	Stukken betreffende de koop door Gregorius van Oordt (A VII) en Geertruyda Sara van Oordt (VIc-9) van een pand aan de Wolfshoek	1649
18	Diploma's, 1813 - 1815	1813
20	Stukken betreffende de eigendom van een waterkorenmolen met toebehoren, de Bloembleik genaamd, de Buydelthiend, en de Somp of Loohoven, gelegen aan de Klap, afkomstig van mr. Jacob Nicolaas van Eck en Hester Henriëtte Engelen, echtelieden	1810
22	Akte, waarbij de voogden van het St. Antoni-Gasthuis te Groningen aan de beklemde meyers Reinder Mindelts Turringa en zijn Martje Jans te Rasquert toestaan de beklemming rustende op 111 jukken 37 roeden land in Den Andel te splitsen, 1815 met 2 retro-acta van 1779 en 1714	01-01-1714
24	"Meester-diploma van de loge van vrijmetselaars ""Willem Frederik"" te Amsterdam voor Benjamin Johannes Beeldsnijder, 1815 apr. 3"	1815 apr. 3
26	Akte van koop door Johannes van Nelle en Abraham Goedkoop van een pand aan de Leuvehaven	1748
28	Akte van erkenning door Lodewijk XVIII, koning van Frankrijk, van de aan Andries Jan Jacob des Tombe verleende titel van baron de l'empire, 1815, met afschrift	1815
30	Stukken betreffende panden aan de Rotterdamsedtjk	1685
32	Stukken betreffende panden in de Boschpolder onder Hillegersberg	1578
34	Stukken betreffende de gerechtelijke toeschatting aan J.Y. Hoeksema van de vaste beklemming van land gelegen buiten de Kranepoort te Groningen, afkomstig van J.S. Muller te Groningen	1782
36	Stukken betreffende de studie in de rechten van Hobbe Baardt van Sminia aan de universiteit van Groningen, 1815-1827	1815
38	Akten van koop en overdracht voor Willem Hendrik de Beaufort van het erf Het Veentje en het huis De Nieuwe Krakelaar, in twee partijen, afkomstig van diverse personen, 1811, 1816. Met bijlagen en retroakten vanaf 1706	1706
