	Titel	Datum
0	Akte van schenking door Arnoldus, proost van de kerken van Sint-Gereon te Keulen en Onze-Lieve-Vrouw te Maastricht, aan de kerk van Onze-Lieve-Vrouw van 6 mansi land te Neerbeek met afschrift, 1225	1225
2	Akte van uitgifte in erfpacht door het kapittel van Onze-Lieve-Vrouw aan Heinricus de Sclins van een hoeve genaamd Zel, te Glons met afschrift, 1225	1225
4	Akte van schenking door Alardus van 1 bunder land te Vroenhoven en 8 roeden land te Vlijtingen ten behoeve van het onderhoud van de godslamp voor het altaar van de H. Nicolaas, 1225	1225
6	(Onbekend), (Onbekend).N.B. Door P. Nijhoff is een nieuw stuk op dit ontbrekende no. geplaatst, nu overgebracht naar 0510 Diverse Charters, inv.nr. 15. (Martens van Sevenhoven, Aantekeningen betreffende de charterverzameling (inv. I-92) p. 89).	01-01-1226
8	Transfix bij den brief onder K, (onbekend). 1 charterN.B. (Verblijfplaats onbekend). Inv.nr. 818 was oorspronkelijk een lias. Afschriften in 0648 Collectie Bondam, inv.nr. 43.	01-01-1226
10	Akte waarbij aartsbisschop Engelbert 1 van Keulen de schenking bekrachtigt, door proost Otto aan het kapittel, van de kerk van Sint-Jan, Tussen 1220 november 22 en 1225 november 7. reg. Doppler nr. 86	01-01-1220
12	Akte waarbij Conrad van Urach, bisschop van Porto en Santa Rufina, pauselijk legaat in het Duitse Rijk, het aantal kloosterzusters van de abdij bindt aan een maximum van dertig, 1225	1225
14	Akte waarbij hertog Hendrik IV van Limburg zijn hoeve Ruzelvelt aan de abdij schenkt, 1226	1226
16	Uitspraak door bisschop Otto, toekennend aan het kapittel tegenover de abdij van St. Paulus de tienden bij Uitwijk, 1226 febr. 4	1226
18	Toewijzing door bisschop Otto aan het kapittel van de novale tienden van de buitendijks aanwassende landerijen te Beuzichem, 1226 mrt.	1226
20	Vredesverdrag tusschen den bisschop van Utrecht en den graaf van Gelre gemaakt onder bemiddeling van den pauselijken nuntius, Conradus episcopus Portuensis & S. Rufinae, 1226 januari 28 (1226. V. Kal. Febr.). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen. Reeds uitgegeven in 't Charterboek 1.D.2. Afdeel nr. 127. Zie ook Sloet blz. 489.	01-01-1226
22	Ontwerp van overslag van zekere schatting over de vier kwartieren Nijmegen, Zutfen, Arnhem en Roermonde, tot bevrijding des graven van Moers, z.j.. 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1226
24	Renversaal van Reiner van Raesfeldt voor het consent tot belasting van een stuk lands onder Middagten met 250 gulden jaarlijks, z.j.. 1 charterN.B. 0002 Leenkamer van Gelre en Zutphen. Zijnde deze brief ongeteekend en onbezegeld.	01-01-1226
26	Renversaal van J. van Schrieck namens Johan van Steenbergen tot Nijenbeeck voor het consent tot belasting van deszelfs leengoed met 4000 gulden, z.j.. 1 charterN.B. 0002 Leenkamer van Gelre en Zutphen. Zijnde deze brief nog ongeteekend en onbezegeld.	01-01-1226
28	Akte van schuldbekentenis door Nikolaas Cruyswecht van / 1554.- aan Jacomina van Ruiven wegens koop van 20 hont 50 roeden, 1645; gecancelleerd,z.j.	01-01-1226
30	Akten van belening door het leenhof van Warmond met twee maal 2 morgen in Hazerswoude, 1544-1666.	01-01-1226
32	Akte van bevestiging door graaf Dirk VII van Holland en Aleid, zijn vrouw, van schenkingen aan de abdij Rijnsburg,1199; afschrift, met aantekeningen, z.j.	1226
34	Testamenten, 1508 en 1523.	01-01-1226
36	Testament van Griete Grobben, waarbij zij aan het klooster Ter Hunnepe vermaakt al het goed, dat zij in het klooster zal achterlaten.	01-01-1225
38	Rentebrief, groot 12 pond kleine penningen jaarlijks, uit 10 1/2 morgen lands, in Varachter kerspel gelegen.	01-01-1225
