	Titel	Datum
0	Akte van uitwinning van een huis te Lenculen door het kapittel op Egidius Noerenberch, wegens het niet betalen van verschuldigde cijns. Met akte waarbij genoemd huis gerechtelijk aan het kapittel wordt toegewezen, 1419., 1418 februari 10. reg Doppler Schep, nrs 1195, 1196	01-01-1195
2	Verdrag tussen de hertogen van Gelder en Brabant houden tolprivileges voor de inwoners van Gelder in Brabant zonder datum (1196)zonder datum	01-01-1196
4	Akte waarbij Adolf I van Altena, aartsbisschop van Keulen, de rechten en bezittingen van de proosdij Meerssen bevestigt. Met bijlage op papier	1195
6	Brief, waarbij graaf Dirk VII de Abdij in bescherming neemt, [c. 1196]. 1 charter	01-01-1196
8	Akte houdende transactie tussen het kapittel en de burgers van Utrecht over de opbrengst en het onderhoud van het huis, door de kanunniken gebouwd bij de Burgbrug (St. Maartensbrug), en de grond van af dat huis tot het St. Mariakerkhof, 1196 (na april 30)	1196
10	Overeenkomst tusschen het kapittel van St. Marie en de burgers van Utrecht, waarbij het geschil over een huis bij de Borchbrug aan de gracht, door de kanunniken gebouwd en over den grond van dat huis af tot aan het kerkhof van St. Marie tusschen den steenweg (Zadelstraat) en de daartegenover aan de zuidzijde liggende huizen, volgens de uitspraak van de prioren der Utrechtse kerk aldus wordt beslecht, dat de inkomsten van het huis en van de gebouwen op den grond voor de helft zullen toekomen aan de stad en voor de wederhelft aan het kapittel, terwijl beide partijen ook gelijkelijk tot het onderhoud van de huizen zullen bijdragen, 1196	1196
12	Brief van de stad Keulen aan de stad Utrecht, waarbij zij verklaart, dat het geschil over de goederen der Keulse burgers, door heer Willem, broeder van den graaf van Holland, hun ontnomen, na lezing van de brieven van Dirk, bisschop van Utrecht, en van de stad Utrecht is geëindigd, (1196-1197)	1196
14	Akte, waarbij keizer Hendrik VI de schenkingen van de burggraaf Alardus en zijn vrouw aan het hospitium te Nijmegen bevestigt en deze en alle andere rechtens verworven goederen onder zijn bescherming stelt 1196	01-01-1196
16	Obligatie, groot 600 gulden, opgenomen door het Schippersgilde bij Derk Centen en Anna Heyligers, onder verband van het gildehuis, gelegen achter het Gasthuis of de Vismarkt	01-01-1196
18	Akte van bevestiging door bisschop Balduinus van de schenking door proost Arnoldus aan het kapittel van de tiende in Buurse, 1195 juli 25	1195
20	Akte van schenking door Albert van Dinther aan de abdij van Berne van zijn goederen in de nabijheid van de uithof Berneheze, de helft van het broekland Loesbruch en vrij gebruik van water, wei en en bos in Heeswijk, 1196	1196
