	Titel	Datum
0	"Akte van transport door Aelbert Sanderszoon van der Steech aan Eechte, weduwe van Johan Michielszoon, van de erfpacht van de helft van een huis en hofstede op het Heilige Leven (nu: Korte Jufferstraat), naast het Wittevrouwenklooster tussen de ""herensteeg van St. Johanne"" en de Lange Rietsteeg, 1470. Met geïnsereerde retroacta vanaf 1326"	01-01-1326
2	1326-01-12. 1326 januari 12 (sonnedaegs na Dertiendach)Schepenen van Heusden geven vidimus van akte van 1316 mei 31 (regestnr 5) en oorkonden tevens, dat:Godevaart van Medewen samen met Diedrik Godevaartszn afstand hebben gedaan van het daarin genoemde huis en erf, voor Diedrik Merlant, waarna Diedrik Merlant deze weer overgedragen heeft aan Diedrik Godervaartszn voor cijns van 20 schellingOrigineel (inventarisnr 662)Met schepenzegels Jan Buening en Jan BrustenOp rugzijde: 'Den brief, dat Dirk Merlant Sinte Kateline thegen heeft 20 schellingen upt hoekhuis H(i?)lle Scuts'.Charter was waarschijnlijk doorstoken met een jongere akte	01-01-1326
4	Akte van erfverhuring door de stichting De Beyart aan Henricus de Loe, schout, van de hofstede van wijlen kanunnik Johannes Bayart te Tweebergen voor elk Luikse marken jaarcijns, 1326 december 1. reg. Doppler Schep. nr. 208	01-01-1326
6	Akte waarbij de officiaal van het bisdom Luik in naam van bisschop Adolf II van der Mark een aflaat bekrachtigt, door een aantal bisschoppen verleend aan hen die onder bepaalde voorwaarden de Onze-Lieve-Vrouwekerk bezoeken, 1325	1325
8	Akte waarbij Adolf II van der Mark, bisschop van Luik, aan het kapittel van Onze-Lieve-Vrouw toestaat om de aflaten welke de paus en een aantal bisschoppen aan de Onze-Lieve-Vrouwekerk hebben verleend, plechtig af te kondigen, 1326	1326
10	Akte van overdracht door Johannes de Libra aan Henricus, zoon van Johannes de Valkenborgh, van een area in de Platielstraat, voor een rente van 3 solidi, 1326	1326
12	Testament van Johannes, genoemd van Montenaken, met onder meer bepalingen tot stichting en dotatie van het altaar van de H. Felix en Adauctus, 1326	1326
14	Pachtakten van 12 morgen land aan de Geltebelinge steeg, 1325-1579	1325
16	Arbitrale uitspraak van bisschop Guy in het geschil tussen de proost en Johan Rotards en Willem Godfriedsz, over achterstallige pacht van landerijen op het Hoogland, 1316, met een vidimus van de op grond van deze uitspraak tussen hen en de proost gesloten nadere overeenkomst uit 1316, 1325	1316
18	Gerechtelijke eigening voor het kapittel aan een erfpacht van 2 pond 2 hoenders uit een hofstede aan de Stroosteeg, 1435, met akte van uitgift van de erfpacht, 1325	1325
20	Akte waarin Gerard van Voorne, burggraaf van Zeeland, verklaart, dat in het gasthuis zieke en gezonde personen worden opgenomen, drenkelingen worden ondergebracht, voordat ze ter aarde kunnen worden besteld, dat hier dagelijks de mis wordt gelezen, dat het gasthuis in geldnood is en tenslotte, dat de heer Jan van Driest, bisschop van Utrecht, heeft bevestigd de aflaat van 13 aatsbisschoppen en bisschoppen aan begunstigers van het gasthuis, omdat het tussen 1314 en 1326 tot tweemaal toe is afgebrand, 1326, febr. 21. 1 charter.	01-01-1326
22	Acte waarbij de hertog van Gelre zijn raad heer Johan van Bylant, ridder, beleent met de tynsen te Angeren en Angeroyen, afkomstig van heet Willem van Doornick, en tevoren uitgegeven aan Johans vader heer Dirk van Bylant, 1392. Met een ouderen brief van 1337, en een lijst der aan Wolter van Doornick toekomende tynsen, circa 1325. 3 charters	01-01-1325
24	Register van charters en bescheiden over de jaren 1326-1590 van het stift, (midden 17e eeuw).	1326
26	Acte van beleening van ZWEDER VAN RECHTEREN, knape, met het slot te Rechteren, 1326.	1326.
28	Eigendomsbewijs voor de commanderij te Arnhem van 6 hond land op de Pollen, afkomstig van Bernard van den Sande, 1326. 1 charterN.B. Reg. no. 58.	1326
30	Rentebrief ten behoeve van de commanderij te Arnhem, groot 8 solidi 's jaars, voor de helft gaande uit huis en erf van Jacob Wannemaker buiten de Spykerpoort, voor de andere helft uit een tuin naast den molen, 1325. 1 charterN.B. Reg.no. 56.	1325
32	Rentebrief ten behoeve van de commanderij te Arnhem, Everardus Croegh en Wilhelmus Pistor een rente van 2 ponden 's jaars, gaande uit een stuk land, beloven te waren en Cesarius Mauricii en Christianus, de zoon van Aleydis van Hoevelaken, evenzoo een rente van 1 pond, gaande uit het huis van Reynerus van Presinckhave, 1325. 1 charterN.B. Reg.no. 57.	1325
34	Eigendomsbewijs voor de commanderij te Arnhem van 4 morgen op de Malburger weide, afkomstig van Johan van Arde en zijn vrouw, 1332. Met een bijbehoorende acte van 1326, 1326, 1332. 2 chartersN.B. Reg.nos. 59 en 71.	01-01-1326
36	Akte van overdracht door Yda, begijn, zuster van wijlen Macharius Bessemere, ten behoeve van vier altaren in de kerk van Sint-Servaas te, weten het altaar van de heilige Laurentius, het altaar van het Heilig Kruis vóór het koor, het altaar van de heilige Nicolaus en het altaar van de heilige Petrus in de grote crypte, van twintig Luikse solidi jaarcijns op een huis in de Looiersstraat, voor het jaargetijde van Macharius en Yda. Met retroacte, 1315., 1326 juli 29. reg. Doppler Schep. nrs. 129, 128	01-01-1315
38	Akte van erfverhuring door kanunnik Baldewinus de Molendino aan Johannes de Aquis, wagenmaker, van een huis op de Houtmarkt voor 28 Luikse solidi jaarcijns, 1325 juni 21. reg. Doppler Schep. nr. 190	01-01-1325
