	Titel	Datum
0	Vidimus van een overeenkomst betr. het dorp Hopferstatt, tussen Michael sr. von Seinsheim und Schwartzenberg en Albrecht, graaf zu Wertheym, probst zum Neuenmünster etc.	1455
2	Preuve du mëme	1455
4	Notariële akte van subpriorin en convent van Vrouwenklooster bestemd voor bisschop David van Bourgondië bevattende de procedure van de verkiezing van Geertruida van Groenesteijn tot priorin, met het verzoek om haar verkiezing te bevestigen, 1456 nov. 21	1456 nov. 21
6	Akte van bevestiging door bisschop David van Bourgondië van de verkiezing van Geertruida van Groenesteyn tot priorin van Vrouwenklooster, 1456 dec. 3	1456 dec. 3
8	Bul van paus Calixtus III, hernieuwende de bul van Nicolaas V, van 1453, waarbij een kruistocht tegen de Turken gepredikt, een aflaat voor de kruisvaarders vastgesteld en gelden voor de tocht aangewezen waren, 1455 mei 15. Afschrift	01-01-1453
10	Akte van transport door Egbert van Aemstel en zijn vrouw Margriet aan Peter Braem van een huis en hofstede aan de oostzijde van de Oudegracht bij de Jansbrug, 1457. Met geïnsereerd retroactum, 1455	01-01-1455
12	1455-1467	01-01-1455
14	Akten waarbij het gerecht Huge Vuystinck als schuldeiser de eigendom overdraagt van een huis aan de Nieuwegracht bij de Wittevrouwenbrug (nu: Drift 27), vroeger bewoond door Rutger Berchmaker en door deze verhypothekeerd voor de huwelijksgift van zijn nicht Adryaen, vrouw van Huge Vuystinck, en voor een legaat aan Ghijsbert Berchmaker, bastaard van Ghijsbert Berchmaker, van wie Huge deze schuldvordering heeft gekocht, 1455-1467	1455
16	Akte van transport door Steven Butendijck en zijn vrouw Marije aan Claes Symonssoen van een rente, vermeld in een getransfigeerde akte, waarbij schepenen tevens verklaren dat Johan Moeken en zijn vrouw Hase in 1447 afstand hebben gedaan van de erfenis van Henricus Pauli ten behoeve van zijn vrouw Hadewych, 1456	1456
18	Akte van transport door Aelbert van Rijn en zijn vrouw Alydt aan Margariete Dirk Dirkszoonsdochter van een rente, vermeld in een getransfigeerde akte, 1455. Met geïnsereerde retroacta vanaf 1452	01-01-1452
20	Akte van transport door Dirck Baers en zijn vrouw Hillegonda aan Roeloff van Ysendoren van een rente, vermeld in een getransfigeerde akte, 1455	1455
22	Akte van transport door Dirck Heer Godert Herensoen en zijn vrouw Cinijlgen aan Dirck Heer Claes Florenss. van een rente, vermeld in een getransfigeerde akte, 1456	1456
24	Acte waarbij Symon Cael en zijn vrouw Elske aan Reyner Calen, en zijn broeder Henryck en hun zuster Wendele 1/3 deel van een erf, gend. Aelreyse Voirt onder Doetinchem overdragen, 1474. Met een oude acte van overdracht, 1456. 2 charters	1456
26	Akte van overdracht, door Gerrit Gerrit Bayenzn, aan Adriaan Gibenzn, rentmeester kartuizers, van land in Raamsdonk, 1456Tevens akte van vercijnzing door Adriaan, aan Gerrit, van dat land, 1456	1456
28	Akte van verkoop, door Gijsbrecht Noey, kloosterling van Berne, aan zijn broer Jan Noey, van land in Sandoel in Raamsdonk, met toestemming abt Peter van Hemert, 1456Met titelbriefje uit 16e eeuw	01-01-1456
30	Akte van schenking, door Hadewig, weduwe Rudolphus Kemp, aan Jan Steenken, prior, van erfcijns in Meeuwen, 1455	1455
32	Akte van overdracht, door Aarnt van Dik Hackenzn, en door Cathelijn, Willem, Jan en Hack van Haren, aan Willem van der Eelborg, voor kartuizers, van akte met daarin beschreven land De Hogen Kamp onder Gorinchem, 1456	1456
34	Testament van Peter Loekaert en zijn echtgenote, Aleid, 1452 - 1455	1452
36	Akte van overdracht, door Adriaan Willemszn van der Oen, aan Adriaan Gibenzn, voor kartuizers, van land en moer in 's Gravenmoer, 1456Tevens akte van vercijnzing, door Adriaan Gibenzn, rentmeester kartuizers, aan Adriaan Willemszn van den Oen, van dit land, 1456	1456
38	Akte van toestemming, door Johannes, bisschop van Luik, aan uitvoerders testament wijlen Anselmus van Breda, protonotarius en corrector van Apostolische brieven, aartsdiaken van Henegouwen en deken van de Onze Lieve Vrouvekerk in Antwerpen, om huis en goederen in Breda te bestemmen voor armenhuis, fotokopie, 1455	1455
