	Titel	Datum
0	Akte van transport door de kelner c.s. van Vrouwenklooster aan Gerkesklooster van een losrente, 1585.	01-01-1585
2	Koopbrief van het aandeel in Haus Horna (Groot Terhorne) metomliggende landen door Georg Wolfgang I van Eberhard von Grumbachgekocht voor de som van 2200 goudguldens, voorzien van de aktevan afloop der proclamatiën, getekend door W. van Grovestins	1585
4	Koopbrief van de landen behorende tot het Ringie-leen, door Geore Wolfgang I gekocht van Eberhard von Grumbach, waarbij een kwitantie voor een deel der koopsommen in 1603, getekend door H.W. von Grumbach. 1585.	01-01-1585
6	Koopbrief van eeuwige jaarlijkse stedepachten te Sneek, gekochtdoor Sjouck (Susanna) van Meckema, vrouw van Georg zu Schwartzenberg,en haar broers Philips en Julius van Meckema als erven van Feyevan Meckema. En door Huldrich, Onno, Wigbolt en Hyma van Ewssumtoe Rasquert, Baffloo enzovoort, jonkers en hovelingen, erven van Christopher van Ewssum enzovoort. De akte door allen ondertekend.	1586
8	Een verklaring van de regering van de Heerlijkheid Cruninghen over het testament van Jacqueline de Bourgogne, vrouw van Jehan van Cruninghen	1585
10	Patente (par Philip II) de gouverneur de la ville et baillage de Bapalmes, pour Paul de Noyelle	1586
12	Thomas con Rithovius, kanunnik en officiaal te Atrecht, verleent aan Paulus de Noyelle en Anna de Cruninghen dispensatie voor de beletselen, wegens verwantschap in verboden graad, van het alreeds door hen aangegane huwelijk, daartoe gemachtlgd door een ingelaste bul van paus Sixtus (V), dd. 5 december 1586 en 12 februari 1587 te Atrecht, in latijn.	01-01-1586
14	Akte van verkoop door de geërfden van de marke van Noord- en Zuidbarge aan Hendrik van Selbach van een weiland aldaar, 1586. 1 charter	1586
16	Eigendomsbewijzen voor Elisabeth van der Loe, weduwe van Peter van Aldenboickum van een weidemaat, genaamd de Muisermaet, gelegen in de buurschap Speelberg, 1610, 1617. Met ouder eigendomsbewijs, 1585. 3 charters	01-01-1585
18	Stukken betreffende processen voor het hof van Utrecht en het landgericht van Ommen tussen de kinderen en erfgenamen van Godard van Reede en Geertruid van Nijenrode over de verdeling van hun nalatenschap en de uitvoering van eerder gemaakte overeenkomsten, met name betreffende het huis Amerongen, de Saasveldse goederen in Overijssel en de Brandlichtse goederen in Bentheim, 1586-1613	1586
20	Stukken betreffende financiële verplichtingen aangegaan door Gosen van Raesfelt en zijn zoon Reinier, waarbij hun goederen in Munster als onderpand gesteld waren, 1537-1586	1537
22	Akte van benoeming door vrouwe Catherina van Oostrum en convent van Vrouwenklooster van Johan van Abcoude van Meerten tot heemraad van de Lekdijk Bovendams, 1586 april 26	1586
24	Akte van aanstelling door de graaf van Leicester van Charles van Trello, heer van Schullebergh, tot schout in plaats van jhr. Nicolas van Suylen, heer van Drakenborg etc., die uit de stad gezet is, 1586	1586
26	Akte van transport ten overstaan van het gerecht van Lisse door Cornelis Dircxsz. Pautgen aan jonkheer Johan van Mathenesse en Lisse van anderhalve morgen ontgonnen weiland liggende over het duin in de Lageveenen onder hypotheekstelling van twee morgen weiland genaamd de Hongercamp, 1586	1586
28	Stukken van de familie Lieftinck, 1586-1797	1586
30	Akten van verkoop en transport door Hans George Scheffer en zijn vrouw Maria van Drongen aan Simon van Veen van het zesde huis claustraal van het kapittel van St. Marie, 1634, 1638, 1652. Met retroactum, 1620	01-01-1586
32	Akten van verkoop en transport aan de parochie van vijf panden in de Mariahoek, die oorspronkelijk deel uitmaakten van het achtste huis claustraal, 1586-1750. Met bijlage, 1758	1586
34	Akte van transport door de erven van Jan Gerritsz. van Brienen ten behoeve van Steven van Schadebroeck van een huis aan de noordzijde van de Mariaplaats, 1632. Met retroactum, 1586	01-01-1586
36	Akten van verkoop en transport door Gerardt de Leeu aan Simon van Veen van een huis in de Walsteeg, 1646-1647. Met renversaal waarbij Divera van der Eem, weduwe van Simon van Veen, verklaart dat het huis weliswaar door haar man is gekocht, maar toebehoort aan Abraham van der Matt, 1652	01-01-1586
38	Akten van verkoop en transport door de erven van Dirck de Goyer aan Berend van Zutphen en Simon van Veen van het zevende huis claustraal van het kapittel van St. Marie, 1648-1649, 1652, 1710. Met renversalen waarbij de kopers verklaren, dat zij slechts als naamleners hebben gefungeerd ten behoeve Abraham van der Matt, 1652, en van de parochie van St. Gertrudis, 1750	01-01-1586
