	Titel	Datum
0	Akte waarbij Alef van Vernnenborch verklaart, dat de bisschop van Utrecht aan de priorin van Vrouwenklooster toestaat de eerstvolgende prebende te begeven aan haar nicht Alide en de daarop volgende begeving van een prebende voor zichzelf reserveert, 1365 mrt. 4	1365
2	Akte waarbij de broederschap van het St. Agatha-gasthuis aan Otto van Coudenhoven een hofstede in de oude Springwijk bij het St. Catharijneveld (nu: Vredenburg) op de plaats van de vroegere oude Schupstoel in erfpacht geeft, 1394. Met geïnsereerde retroacta vanaf 1366	01-01-1366
4	Akte van overdracht, door Godevaart Gizebrecht Smeedszn, aan Michiel, prior, van cijns in Meeuwen, 1366	1366
6	Akte van overdracht, verleden voor schepenen Gosewijn Faeszn, Gosewijn Hellinc, schepenen van Maren, door Jan en Willem van Geesel, aan Gerit van Amersoijen, zwager van Gertrudis des Loeijen, van al hun goed, erf en have, met akte van 2 december 1365, 25 november 1360	25 november 1360
8	1365-11-15. 1365 november 15 In domo habitacionis nostre, quam infra emunitatem ecclesie Beate Marie Traiectensis inhabitamusNotaris Johan van Calcer, geestelijke bisdom Utrecht, instrumenteert, dat officiaal curie van Utrecht, op verzoek van Hildegundis, abdis van klooster Mariëndal buiten Utrecht, vidimus geeft van akte van 1361 juli 24 (regestnr 51) / van akte van 1362 juni 3 (regestnr 58) / van akte van 1363/4 (regestnr 70)Origineel (inventarisnr 3)Met handmerk notaris en zegel curie Utrecht	01-01-1365
10	Akte van overdracht voor de schepenbank Roermond door Carijs, zoon van Carijs Kost van Sent Nyclaes aan Ditken genoemd Rag(?)ens van Mersen van een huis in de Sint Nicolaasstraat	1365
12	Akte van overdracht door het kapittel van Onze-Lieve-Vrouw aan Jacobus Uchelman van een huis in de Kleine Stokstraat, voor een rente van 2 marken, 11 solidi, 9 denarii en 4 kapoenen, 1365	1365
14	Akte van verpachting door het kapittel van Onze-Lieve-Vrouw aan Heinricus de Bruysterborghe en Philippus Reymboldi van de tienden te Sint-Pieter, 1366	1366
16	"Akte waarbij het kapittel van Onze-Lieve-Vrouw de kapelanen Winandus Mees en Johannes, genoemd Decker, benoemt tot ""procuratores negotiorum"" (zaakwaarnemers) van de broederschap der kapelanen, 1365"	1365
18	Pachtakte van 3 morgen land in het Veen, 1365 nov. 16	1365 nov. 16
20	Proces-verbaal, waarbij de proost Peter van den Velde zich bereid verklaart de overeengekomen uitkeringen aan de kanunniken via de aan te wijzen functionaris te voldoen, tot welke functie Tydeman de Goyer, Utrechtse burger, zich niet beschikbaar stelt, 1365 sept. 9	1365
22	Overeenkomst tussen bisschop Jan en de kapittels om hun geschillen over het recht van visitatie van de kapittels door de bisschop 30 jaren in statu quo te laten, met uitspraak van de pauselijke commissaris, dat de zaak 28œ jaars aldus zal blijven, 1365, 1366	1365
24	Burgh, Burghambacht, Koudekerkerambacht, Renesse-ambacht en Zuidland, 1365 dec. 14	1365 dec. 14
26	(Erf)pachtakten van een viertel veen en veld te Westbroek, 1365-1654	1365
28	Ordonnantie van hertog Albrecht op de uitwatering van het Sticht te Spaarndam, met bijbehorende kwitantie, 1363. Transsumpten, 1365	1365
30	Arbitrale uitspraak van Burgemeesteren en Raad van Groningen tussen het Vrouw Sywen- en het Vrouw Menoldis-convent over de afvoer van hemel- en ander water, 1365	1365
32	Arbitrale uitspraak van Burgemeesteren en Raad van Groningen tussen het Vrouw Menoldis- en het Vrouw Sywen-convent over het afvoeren van hemel- en ander water., 1365	1365
34	Akte van bevestiging door paus Urbanus V van de uitspraak van de pauselijke rechter Guillermo de Gimello in een geschil tussen abdis en convent van de cistercienserinnenabdij te Roermond en de dorpsgemeenschap van Someren over het Latbroec, waarbij bepaald was, dat het gebied aan de abdij toekwam en dat de dorpsgemeenschap schadevergoeding moest betalen, met benoeming van de proosten van S. Gereon te Keulen, S. Agricola te Avignon en O.L.V. te Aken tot uitvoerders, 1366 mrt. 10	1366
36	1365 Januari 13De provisor en deken van Rijnlandia geeft vidimus van een brief d.d. 1362 Januari 3 (zie nr. 512). Datum nostre visionis anno et die predictis (anno Domini millesimo tricentesimo sexagesimo quinto feria secunda in octava epyphanie Domini)	1365
38	Schadeloosbrieven uitgegaan van Arnt, graaf van Loon, heer van Rummen, 1366, 1367. 2 charters	01-01-1366
