	Titel	Datum
0	Akte van overdracht, door Heinrik Zegerszn van Weindelsnesse, aan Corstiaan, procurator, van moer onder 's Gravenmoer, 1356	1356
2	Akte van overdracht, door Heinrik Zegerszn van Windelsnesse, aan Corstiaan, procurator, van moer onder 's Gravenmoer, 1356	1356
4	Akte van belening, verleden voor Karel IV, keizer, in Praag, door Dirk van Meerheym en Maria van Boxtel, van leengoederen, geërfd van Willem van Boxtel, broer van Maria, met kopie uit 19e eeuw, 1356	1356
6	1355-01-07. 1355 januari 7Aarnt Yuwijn Yuwijnsz en Dirk Pouwelsz, schepenen van Heusden, oorkonden, dat Witte Lemmensz van Doveren, bij executie eigenaar werd van boerderij onder DoeverenGhegheven in 't jaer ons Heren dertienhondert ende vive ende viiftich 's Woensdages na DertiendachOrigineel (inventarisnr 56)Met fragment-zegel Dirk PouwelszMet transfix van 1355 september 5 (regestnr 9)	01-01-1355
8	1356-02-21. 1356 februari 21Rechter en heemraden van Raamsdonk oorkonden dat Jan Droge Coppaartszn overgedragen heeft aan Meus van Loven: land in Raamsdonk, dat laatstgenoemde daarna in erfcijns aan Heinman Gieliszn en Peter Buissens kinderen gafKopieën van vidimus inventarisnr 1, folio 24-24v, r; inventarisnr 2, 1e deel, folio 102v, R 10; inventarisnr 17, folio 8-8v, B 27Zie ook regestnr 752	01-01-1356
10	Akte waarbij Lambertus de Bunde verklaart aan de broederschap jaarlijks schuldig te zijn zes solidi jaarcijns op een huis te Lenculen, 1355 juni 13. reg. Doppler Schep. nr. 516	01-01-1355
12	Akte van erfverhuring door Elisabet de Molendino, dochter van wijlen Henricus de Molendino schepen van Maastricht, aan Christianus de Sancto Trudone, tweede rector van het altaar van de heilige Nicolaus, van het achterhuis in de Heggenstraat voor drie Luikse marken jaarcijns, onder de verplichting de bewoners van het voorhuis toegang te verlenen tot het privaat van het achterhuis. Met akte waarbij de bewoner van het voorhuis van zijn recht afstand doet, 1408., 1355 juli 24. reg. Doppler Schep. nrs. 518, 519	01-01-1355
14	Akte van overdracht door Petrus Vlesser de Brede c.s. aan de broederschap van vijf solidi jaarcijns op zijn huis op de Grote Gracht, 1355 augustus 25. reg. Doppler Schep. nr. 523	01-01-1355
16	Akte van overdracht door Reinerus de Herborch, ten behoeve van het altaar van de heilige Georgïus, Ouirinus en Ewaldus, van twintig solidi, en ten behoeve van de tafel van de Heilige Geest te Maastricht van vijf solidi en zes denarii jaarcijns op diverse goederen. Met retroacta, 1296, 1355., 1355 december 13. reg.- en van de akte van 30 november 1296 de tekst in extenso-Doppler Schep. nrs. 47, 45-46	01-01-1296
18	Akte van overdracht door Elizabet, dochter van wijlen Gyselbertus de Molendino, aan Elizabet de Molendino, dochter van wijlen Henricus de Molendino schepen van Maastricht, van een Luikse mark jaarcijns op een huis op de Jeker op de hoek van de Hoenderstraat, 1356 maart 26. reg. Doppler Schep. nr. 545	01-01-1356
20	Akte van overdracht door Rolandus, schoenmaker, ten behoeve van het altaar van de heilige Matthias, Cornelius en Genoveva in de omgang der kerk van Sint-Servaas, van twintig solidi jaarcijns op zijn huis in de Muntstraat, 1356 mei 21. reg. Doppler Schep. nr. 549	01-01-1356
22	Akte van overdracht door Hubertus de Libera aan het kapittel van Onze-Lieve-Vrouw van een rente van 4 kapoenen ten laste van een huis in de Kleine Stokstraat, 1355	1355
24	Akte van overdracht door het kapittel van Onze-Lieve-Vrouw aan Levaldus de Goessel van een huis in de Brugstraat, voor een rente van 7 marken, 5 solidi en 15 kapoenen, 1356	1356
26	Akte waarbij Lambertus Ketelsleger de goederen die hij geërfd heeft van zijn zuster Maria, overdraagt aan Henricus, genoemd Sceellart van Maarland, 1356	1356
28	Verklaring door bisschop Jan, dat de kerk niet ontheiligd is door de daarin door de priester Nicolaus Heelt gedane poging tot zelfmoord, en de kerkelijke diensten er kunnen plaatsvinden, 1355 jan. 16	1355 jan. 16
30	Akte van schenking door de proost Hendrik van Rijn aan het kapittel van de twee akkers land, door hem gekocht van Willem Rosen, 1356 sept. 28	1356
32	Akte van décharge van de proost voor het kapittel uit hoofde van de afrekening van de gelden van de houtverkoping van de Vuursche, 1356 sept. 23	1356
34	Akten van overdracht van 2(?) percelen land, elk van 2 morgen, te Lopik, 1356, 1357, met (erf)pachtakten, 1356-1591	1356
36	Akte van overdracht van 3 percelen land te Lopik, respectievelijk van 2,3 en 4 morgen, 1360, met akte van overdracht van het perceel van 3 morgen, 1355	1355
38	Verbintenissen van bisschop Jan jegens de kapittels om buiten hen om thans geen vrede te sluiten met de graaf van Holland noch in het algemeen eigenhandig oorlog te verklaren of vrede te sluiten, om naar landrecht recht te spreken en dergelijke, 1355	1355
