	Titel	Datum
0	"Akte van Maximiliaan I waarin hij verklaart dat op de rijksdag te Worms mede besloten is dat Albrecht van Saksen de ""mergliche summa gelts"" - welke hij van de Rooms-Koning moet krijgen - naar eigen ""notdorfften, willen und gefallen"" met steun van de keurvorsten, vorsten en andere standen van het Heilige Roomse Rijk mag innen, indien het bedrag niet op tijd wordt betaald. Gegeven te Worms op 6 september 1495. Afschrift (transsumpt) met aanhangend zegel van Johannes, bisschop te Meissen."	01-01-1495
2	"De stadhouder, raden - waaronder Fuchsen zu Fuchsperg ""verweser des marschalckampts zu Ynszpruck"" en Walthern von Stadion ""pflegers zu Vellemberg"" - te Innsbruck, tevens stadhouder en raden van de schatkamer aldaar, schrijven keurvorst Berthold zu Mainz dat zij ""ein ernstlich schreiben und bevelch"" van Maximiliaan hebben ontvangen inzake de rente (""nachraitunghalbe""), waarover hertog Albrecht van Saksen veelvuldig heeft geschreven. Zij hebben de ""nachraitung von artickel zu artickel untz aff sand dionisien tag (=9 okt.) nehst- vergangen weysend ubersehen"". Van de 83926 goudgulden en 21 stuiver ""nachschuld"" (rente) over de verschuldigde hoofdsom, zal Filips 50000 gulden betalen. Van het resterende bedrag zal Maximiliaan 24000 gulden zal betalen, waarover een schuldverklaring (""schultbrieffe"") moet worden opgesteld. Gegeven te Innsbruck op 27 oktober 1496. Afschrift (vidimus door Berthold van Mainz), met afhangend zegel van Berthold van Mainz."	01-01-1496
4	"Akte waarbij Rooms-Koning Maximiliaan verklaart dat hij de 50000 Rijnse gulden ""redlicher gestenndiger schuld und dargelihens geld"" bij Albrecht van Saksen heeft verkocht met het recht van wederkoop, voor een jaarlijks bedrag (""zinszs und guld"") van 2500 goede Rijnse gulden (een 20e penning), in twee termijnen te Neurenberg te betalen, waarvoor de opbrengsten uit het graafschap Tirol als pand dienen. Gegeven te Innsbruck op 27 oktober 1496. Afschrift (transsumpt door aartskanselier Berthold van Mainz) afhangend zegel is verloren gegaan."	01-01-1496
6	"Akte van Rooms-Koning Maximiliaan I dat hij de 125928 Rijnse goudgulden, welke hij Albrecht van Saksen schuldig was, aan de hertog heeft verkocht (""rechtlich zu kawffen geben haben"") voor een jaarlijks bedrag van 6296 Rijnse goudgulden en 24 kreutzer (i.c. een 20e penning ofwel 5% rente), in gelijke helften te betalen op Pasen en Michaelis. Gegeven te Lindau op 18 november 1496. Afschrift (vidimus door Berthold van Mainz), met afhangend grootzegel van aartsbisschop Berthold van Mainz."	01-01-1259
8	"Akte van Rooms-Koning Maximiliaan waarin hij verklaart dat de op de rijksdag te Worms afgekondigde landvrede hertog Albrecht van Saksen niet zal beletten bij de inning van zijn schulden. Hij mag deze naar zijn wil en behoefte met behulp van de keurvorsten, vorsten en andere standen van het rijk vorderen. Daarenboven is hij niet verplicht de daarvoor uitgeschreven ""gemeinen phennyng"" te betalen. De hertog zal ""so frey steen als er vor solchem reichsztag gewesen ist"". Gegeven te Worms op 6 september 1495. Expeditie, met afhangend zegel van Maximiliaan; en afschrift (vidimus van bisschop Johannes van Meissen)."	01-01-1495
10	Scheidsrechterlijke uitspraak in een geschil tussen Johan Reynsoen en Heer Fedde, priester te Husum, over de goederen, die de zoon van Johan en de nicht van Fedde bij hun huwelijk zullen ontvangen, [1 augustus] 1495	01-01-1495
12	Stukken betreffende de jurisdictie van het klooster over de meiers in Lange wold, Achtkarspelen en Burum, 1476-1495.	01-01-1476
14	Leenbrief van Lourentz, bisschop van Würtzburg voor Burchart von Gnotstatt en zijn broers Jürgen en Niclaes, wegens tienden te Stockheim.	1496
16	Akte, waarbij de hertog van Gelre verklaart dat Coenraad van Leesten is aangesteld als dijkgraaf van Veluwe tegen afstand van enige jaarrenten, staande op goederen van Herman de Vos c.s. te Heerde, en betaling van 50 molder haver, en dat Coenraad van Leesten hem 200 enkele Rijnse guldens heeft geleend (reg. nr. 45), 1496. 1 charter	1496
18	Akte van verkoop door Jan van der Does (Janus Dousa), heer van Noordwijk, en zijn vrouw Elisabeth van Zuylen aan abdis Catherina van Oostrum ten behoeve van het convent van Vrouwenklooster van een hof en erf op St. Jans Oudwijk tussen de Wittevrouwenbrug en de Plompetoren aan de westzijde van de Nieuwegracht bij het Begijnhof en naast de woning van de abt van de St. Laurensabdij van Oostbroek, 1581, met akte van overdracht, 1581, en retroacta, 1495, 1520.	01-01-1495
20	Akte van overdracht door Egbert Gerytssoen van Abstede aan Ghijsbert Jan Eerstenssoen ten behoeve van Vrouwenklooster van de hofstede in Tolsteeg aan de oostzijde van het water, 1496 sept. 12	1496
22	1495-07-20. 1495 juli 20Schepenen in Grave oorkonden, dat voor hen overgedragen werd, voor zuster Aleid Hermens Maasdr, wonende in begijnhof aldaar: kamp bij stadskampUittreksel transfix (gestoken door de oorkonde in regest nr 20), inventarisnr 1, pagina 60	01-01-1495
