	Titel	Datum
0	Overeenkomst van Erckinger van Sawensheim (Seinsheim) met Otto, bisschopvan Würtzburg omtrent het bouwen van de vesting Wildpurg	1345
2	Akte van omschrijving, door priors kartuizerkloosters van Herne en Sint-Maartens-Bos, van grenzen gebied, waarbinnen procurator en monniken van het klooster zich mogen begeven, met voorwaarden, 1342Met goedkeuring door generaal kapittel, 1345	01-01-1342
4	1346-03-21. 1346 maart 21 (sdynsdages voer Onser Vrouwendach in merte)Schepenen van Heusden oorkonden, dat Robbrecht van Wissel heeft overgedragen aan Peter den Louwer:8 morgen onder Oudheusden op Voorste Uutrot, waarna Peter dit land weer aan Robbrecht overdroeg voor cijns van 10 pondOrigineel (inventarisnr 484)Met schepenzegel Hessel van Welle, dat van Gerard Doesburg is afgevallenMet transfix van 1352 oktober 26 (regestnr 31)Hieraan zijn gehecht akten van 1362 juni 11, 1406 juli 29 en 1406 november 14 (regestnrs 59, 312, 316)Kopie in groot cartularium (inventarisnr 120) pagina 26	01-01-1346
6	1346-04-09. 1346 april 9Schepenen van Uden, Henrik Polselauwer / Jacob van Dicto / Aalbrecht Belenman / Wautger de Scriver / Gijsbrecht de Ridder / Mys van der Meer, oorkonden, dat Roelof Glovens gegeven heeft aan Jan de Jongen:perceel land op Tuvetese in Uden, voor erfcijns van 36 schelling en erfpacht van 2 mud roggeKopie in groot cartularium (inventarisnr 120) pagina 189Kopie in perkamenten cartularium (inventarisnr 121) folio 85rOrigineel had transfix van 1382 oktober 17 (regestnr 140)Wat betreft de naam Tuvetese: opschrift in groot cartularium pagina 188 geeft: 'Opt Duyfhuis'	01-01-1346
8	Johannes de Canne, kanunnik, 1345	1345
10	Akte van verpachting door het kapittel van Onze-Lieve-Vrouw aan Alexander de Hontheym van de tienden te Heugem, 1346	1346
12	Akte van uitgifte in erfpacht door Johannes van Elderen, rector van het altaar van de H. Catharina, aan Gentes van Rymst van 2 bunder en 9 roeden akkerland te Heukelom, 1345	1345
14	Akte van overdracht door Petrus, zoon van wijlen Scarnau, aan de kapel van de H. Evergislus van een rente van 20 solidi ten laste van een huis te Wyck, 1346	1346
16	Akte van overeenkomst tussen Johannes de Jonchout en de kapelanen in en buiten de kerk van Onze-Lieve-Vrouw inzake testamentaire beschikkingen van Elisabeth de N.N. ten gunste van de genoemde altaren en kapellen, 1345	1345
18	Statuut van bisschop Jan van Arkel op het beheer van goederenrechten van ambtsdragers van de kapittels bij afwezigheid zonder toestemming, 1345 sept. 28	1345
20	Verbod van het kapittel voor de prelaten om hun diensten door 'vicari non perpetui' te laten waarnemen, 1346 jan. 7	1346 jan. 7
22	Akte van afstand door bisschop Jan aan het kapittel van zijn aanspraken op de novale tienden onder Baarn, 1346 okt. 21	1346 okt. 21
24	Akte van verkoop door Heyne Kamelaer aan Mychiel Conegundenzn van goederen, die hij verworven heeft van Spirinc van Hezewijc, 1345 sep 30	1345 sep 30
26	Acte, waarbij Willem IV bekend maakt, dat Gerrit Alewijnsz. zijn rechten in Albrandswaard onverkort mag handhaven	1345
28	Acte, waarbij Gerard Alewijnszoon van Leiden oorkondt den geheelen Albrandswaard aan den graaf opgedragen en van dezen als leen terugontvangen te hebben	1345
30	Acte waarbij Sophia van Bylant aan heer Willem van Dornick de Koewaard, waarvan dezen reeds de helft toebehoort, overdraagt, 1345. Met acte van bevestiging door haar echtgenoot Willem van den Bergh, 1345. 2 charters	01-01-1345
32	Vidimus door burgemeesters en raden van Groningen van een brief d.d. 1346 der raden van Hamburg aan de abt van Aduard betreffende de bescherming hunner kooplieden, met verklaring, dat die van Aduard aan de Hamburgers brieven van vrede en vriendschap hebben teruggezonden, [1346]	1346
34	, 1346 Januari 21 (“Datum anno Domini MCCC quadragesimo sexto in die beate Agnetis virginis, Wichero Enonis, Thies zone Hugine, Everardo Wicboldi, Bertoldo filio domine Ave quatuor burgimagistris nostre civitatis ex istentibus dicti anni”.: Consules in Groninge oorkonden mr. Albertus door middel van de schout Ghilmarus in bezit gesteld te hebben van de rente van 12 denarii Sterl., welke Winandus hem jaarlijks in 2 termijnen uit een deel van zijn huis. “Stickelshus” geheten, verschuldigd was. Oorspr., zegel is afgevallen. (Inv. nr. 196.) Hierbij een transfix d.d. 1378 Januari 21 (Reg. nr. 15), welke mede transfix was bij de Oork. d.d. 1344 Januari 13. (Reg. n°. 3), en 1350 Febr. 10 (Reg. nr. 8).	1346
36	Acte, waarbij MARGARETA VAN RECHTEREN c.s. aan JAN VENECAMP, priester, het door HERMAN VAN VOORST en zijn vrouw LUTGARD gestichte altaar in de kerk te Dalfsen toewijst, 1345. Met acte van bevestiging van den officiaal van den aartsdiaken van Deventer, 1345.	1345.
38	Aantekeningen betreffende de aanwezige charters over de periode 1346-1580 op het huis Almelo, [midden 18e eeuw].	1346
