	Titel	Datum
0	Akte waarbij Dirkje van Noort, Johanna en Adriaen van Ommeren en Jacobus Sandbrink aan Jean de Bouffard de Madiane en Antonia de Vree twee huizen c.a. te Rhenen verkopen, 1765	01-01-1765
2	Akte waarbij Jan de Vrind en Geertruijd van Ysendoorn aan Jean de Bouffard de Madiane en Antonia de Vree een huis c.a. te Rhenen verkopen, 1765	01-01-1765
4	Aanstelling van Georg Frederik II zu Schwartzenberg als grietman van Menaldumadeel, gegeven door de Staten van Friesland.	1766
6	Akten van ratificatie van de overdracht door Reiniera Charlotta van Goltstein en haar overige kinderen van hun aandeel in de heerlijkheid Verwolde aan Frederik Wilhelm van der Borch, 1766,1767. 3 charters	01-01-1766
8	"Akte van overdracht door Harm Gerrits aan Ties Andries van der A en zijn vrouw Fenna Harms van 1.000 car.gld. ""restant coopschatpenninge"" en het recht van gereserveerde eigendom van een behuizing ""met boe en hofjen alsmede met de boekweitenmolen c.a. buiten de Apoort"", 1758. Met dorsale kwijting, 1766"	1758
10	Bul voor Abel Eppo van Bolhuis wegens zijn promotie in de medicijnen, 1766	1766
12	Akte van cessie en transport door Hindrik Eppes en Annegjen Arents, echtelieden, aan J. Tideman van het recht van gereserveerd eigendom over de behuizing met beklemming van een moestuin aan de oostkant van de straat buiten de Boteringepoort, aangekocht door Annegien Berents, 1765. Met retroactum, 1763.	1763
14	Akte van aanvaarding door Maria van Reigersberg, weduwe van Johan Pieter van der Brande, van een hypotheek ten behoeve van Josias Smijtegeld, rustend op de door haar in 1765 van Jan Quesnel en Catharina de Lange gekochte herberg De Gouden Leeuw te Middelburg, 1766, met retroakten vanaf 1731	01-01-1731
16	Akte van bevestiging van de huwelijkse voorwaarden tussen Frederik C.R. van Reede en Anna Elisabeth van Tuyll van Serooskerken door de Staten van Gelderland, 1779 december 3, met afschrift van de akte van huwelijkse voorwaarden, 1765. Transfix.	01-01-1765
18	Choorstraat D 14, De Bonte, 1765 aug 14	1765 aug 14
20	Akte waarbij Joan Giesbert Heest met het landgoed Lütorenheest, gelegen in het gerecht van Emblichheim wordt beleend door George III als graaf van Bentheim, 1765	01-01-1765
22	Testament van dr. Wessel Jacob Godefrid van Eyll en Anna Maria Theresia Hackfort, 1762. Met acte van dépot, en octrooi van den heer van Loenersloot, 1766. 2 charters en 1 omslag	1766
24	Akte van aanstelling, door Willem V, van Gerrit Spengler, tot vaandrig regiment van luitenant-generaal van Randwijk, 1766	1766
26	Akte van aanstelling, door Staten-Generaal, van Nicolaas François, Baron de Breda, kolonel infanterie, tot wachtmeester-generaal infanterie republiek, 1766	1766
28	Akte van transport door Isabella Jacoba Ockerse aan Alletta Johanna Hayman, huisvrouw van Willem Cornelis Ockerse, van 6 gemeten ambacht gelegen in 's-Gravenpolder, 1765. Met gelijktijdige akte van belening door de Gecommitteerde Raden van Zeeland. 2 charters (transfix)	01-01-1765
30	Akte waarbij door de Staten van Holland de ambachtsheerlijkheid Spijkenisse wordt verheven van Johanna Backus op Johan Christiaan van Gelsdorp	1766
32	Octrooi van de Staten van Holland aan Johan Christiaan van Gelsdorp betreffende het vermaken van zijn leengoederen	1766
34	Rentebrieven ten laste van de provincie, opgenomen door de rentmeester, 1630, 1631, 1635, 1641, 1642, 1657, afgelost 1666, 1667, 1671, 1672, (1766)	01-01-1630
36	Aanstellingen van Georg Christiaan Meijer tot verschillende militaire rangen, 1765 en 1766	1765
38	Acte van overdracht door Derk Reinders en Wiske Berents e.l. te Zuidhorn aan A. H. van Swinderen rekenmeester en Joh. de Marees e.l. van 4 grazen los land te Saaxum ten O. van den weg en 1 1/2 gras beklemd land aldaar, in gebruik bij Hindrik Jacobs tegen 4 car. g. 's jaars. Met een aanteekening, dat de 4 grazen later in vaste beklemming zijn uitgegeven tegen 20 g. 's jaars, 20 juni 1766	20 juni 1766
