	Titel	Datum
0	Akte waarbij Johan van Minden en zijn zoon Johan verklaren van de priorin en het convent van Vrouwenklooster in pacht te hebben ontvangen 12 morgen land op het Veen in het gerecht van Vrouwenklooster en in Aarnoud Proys gerecht, 1336 mei 10	1336 mei 10
2	Oude of eerste cartularium, register van de akten betreffende de goederen over 1391-1523, met retroacta sedert 1335, met aanwijzingen betreffende de vindplaats van de bijbehorende charters in het archief, aangelegd ca. 1407 en bijgehouden tot en met 1546	01-01-1335
4	1336-02-06. 1336 februari 6Willem van Duvenvoorde, heer van Oosterhout, ridder, oorkondt dat hij voor stichting kartuizerklooster gegeven heeft goederen in en bij Namer, land Die Brant en renten van land van Gerard van Wieldrecht tussen Geertruidenberg en UlendonkAuthentieke kopie van vidimus inventarisnr 2, 1e deel, folio 149-150 (Frans)Kopieën inventarisnr 1, folio 1-1v, I, inventarisnr 2, 1e deel, folio 30v - 31, F1Zie ook regestnr 13Gedrukt in Taxandria XLVII (1940), pagina 123 -127Regest in P. Muller: 'Regesta Hannonensia', pagina 235	01-01-1336
6	1336-02-08. 1336 februari 8Willem, graaf van Holland, oorkondt dat hij goedkeuring verleent aan: kloosterstichting van 1336 februari 6 / hij goederen amortiseert / hij kloosterlingen toestaat gemachtigde aan te stellen voor hun goederenbeheerAuthentieke kopie van vidimus inventarisnr 2, 1e deel, folio 149 -150 (Frans)Kopieën inventarisnr 1, folio 1v - 2, II, inventarisnr 2, 1e deel, folio 31, F 1Zie ook regestnr 13Gedrukt in Taxandria XLVII (1940), pagina 127-128Regest in P. Muller: 'Regesta Hannonensia', pagina 235	01-01-1336
8	1336-12-03. 1336 december 3Herman, proost Augustijnen op Coudenberg in Brussel, geeft vidimus van akte van 1336 februari 6 (regestnr 10) en van akte van 1336 februari 8 (regestnr 11)Authentieke kopie inventarisnr 2, 1e deel, folio 149-150, F 2 (Frans)	01-01-1336
10	1336-12-04. 1336 december 4 (des woendaegs na sente Andriesdach)Schepenen van Heusden oorkonden, dat Arnt Sluseken van Veen overgedragen heeft aan Ricout van Hesewic:manschap van 3 morgen en 2 hond onder Veen op de Withaghe en de Tweerakker;waarna Ricout aan Hack der Ammenzn eigendom van dit land overdroeg en Arnt Sluseken aan Hack overdroeg 7 hond in de Enge en 14 voet dijk, waarna Hack dit land weer overdroeg aan Arnt tegen cijns van 5 pondOrigineel (inventarisnr 509)Met fragment-schepenzegels Klaus Maaszn en Gerard van den HoveleMet 2 transfixen van 1341 augustus 31 en 1402 juni 11 (regestnrs 16 en 276)Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 77r	01-01-1336
12	"Vidimus door Wilhelmus, zoon van Wilhelmus de Gronselt, notaris, van het testament van Henricus de Duobus Montibus van 18 juni 1280, met onder meer een legaat van een sextarius tarwe 's jaars ten laste van landerijen bij de ""Kaudenbergh"", ten behoeve van de kerken van Sint-Servaas en Onze-Lieve-Vrouw en de broederschap der kapelanen van de Onze-Lieve-Vrouwekerk, 1336"	1336
14	Akte van verpachting door het kapittel van Onze-Lieve-Vrouw aan Henricus de Ruremunde, investitus van de kerk te Wijshagen, van de tienden aldaar, 1336	1336
16	Akte van overdracht door Aleydis, weduwe van Christoforus, genoemd Offers, aan de rector van de kapel van de H. Evergislus van een rente van 8 denarii ten laste van een huis in de Cortenstraat te Maastricht, 1335	1335
18	Pachtakte van een akker land te Noorden, 1335 sept. 9	1335
20	Overeenkomst tussen de deken en het kapittel om de St. Stephanus-kapellanie bij beurten te vergeven, 1335 mei 13, met akte van bevestiging door de officiaal namens de bisschop, 1336 mei 13	1336 mei 13
22	Twee schepenen in Tyell geven een vidimus van een notarieel extract uit een oude kroniek, berustende in Sunte Martijns kerck te Tyell, houdende, dat in 1336 door tussenkomst van de koning van Frankrijk een verdrag is gesloten, waarbij de hertog van Gelre Tyell, Zandwick en Herweden van de hertog van Brabant ontving tegen overgifte van de heerlijkheid van Hoesden. Den lesten dach van Augusto anno etc. ende XXXVIII. Oorspronkelijk op papier inventarisnummer 103. De opgedrukte zegels van de schepenen Peter dye Rover en DirckNeeringh zijn verloren.	1336
24	1833Graaf Willem III beveelt de baljuw van Rijnland en het Land van Woerden, de baljuw van Delfland en Schieland en de hoogheemraden om een landscheiding met Schieland te leggen van 24 roeden breed.	1336
26	1335 Januari 6Gillis, deken van Sente Pieters kercke te Middelburgh, Jacop, gardiaan der Minderbroeders aldaar, Pieter, prior der Augustijnen aldaar, en Lam, provisor en deken van Walchgheren, geven vidimus van een brief d.d. 1333 Februari 22 (zie nr. 248). Ghegheven int jaer ons Heren up den Dortiendach vorseit (dusent driehondert vive ende dortich)	1335
28	1335 Maart 31Johannes, bisschop van Traiectum, bevestigt de stichting van twee vicarieën in de parochiekerk van Westmonster door Wilhelmus Stuvesant, cureit der halve parochiekerk van Westmonster, en door Johannes de Zobborch, breeder vermeld in den brief d.d. 1335 Februari 10, waardoor deze gestoken is, (zie nr. 257) en in dien van 1333 Februari 22 (zie nr. 248), door welks vidimus d.d. 1335 Januari 6 deze gestoken is, (zie nr. 256) en vergunt Wilhelmus Stuvesant, priester, die door de beide stichters met deze vicarieën is begiftigd, beide tegelijk te bezitten. Datum anno Domini M CCC tricesimo quinto feria sexta post Letare	1335
30	1336 April 20Mr. Hugo Braem, officiaal van den aartsdiaken van den Dom te Traiectum, geeft vidimus van een brief d.d. 1279 October 21 (zie nr. 79) en bevestigt den inhoud er van. Datum anno Domini MCCC tricesimo sexto vicesima die mensis Aprilis	1336
32	1336 April 20Mr. Hugo Braem, officiaal van den aartsdiaken van den Dom te Traiectum, geeft op verzoek van Oliverus, abt van het St. Maria klooster te Middelburg, vidimus van een brief d.d. 1316 Juli 3 (zie nr. 145) en bevestigt den inhoud er van. Datum anno Domini MCCC tricesimo sexto vicesima die mensis Aprilis	1336
34	1336 April 20Mr. Hugo Braem, officiaal van den aartsdiaken van den Dom te Traiectum, geeft vidimus van een brief d.d. 1332 November 13 en 14 (zie nr. 243) en bevestigt den inhoud er van. Datum anno Domini MCCC tricesimo sexto vicesima die mensis Aprilis	1336
36	Eigendomsbewijs voor Ghiselbertus Koc van 12 morgen uit 16 morgen land te Hiir, afkomstig van Johannes Koc heer Rycoldusz., ridder, 1335. 1 charter	1335
38	Acte, waarbij Theodericus de Haep en zijn vrouw aan heer Nicolaus, kapelaan van de vrouwe van Wisch, de jaarlijksche pachtsom van 10 morgen in de mark van Doetinchem overdragen, 1335. Met acte van bekrachtiging door hun zoon Hermannus, 1336 2 charters	01-01-1335
