	Titel	Datum
0	Vidimus van prelaten, grietmannen en mederechters uit Oostergo en Westergo, van twee brieven met handelsprivileges Staveren verleend door koning Albert van Zweden etc. uit 1368, 6.7.1435. (1 stuk; met opgedrukt zegel; Charterboek I pag. 511; zie voor de brieven zelf Charterboek I pag. 230 t/m 233).	01-01-1368
2	Akte waarbij de prelaten van verschillende kloosters uitsluiting van de erfenis voor kloosterlingen afwijzen, z.d. (1436-1449).	01-01-1436
4	Testament van Menno Pannama, 1436.	01-01-1436
6	Gerrit van Arnhem, Jan van Sallandt en Wijnant Ridder geven vidimus van de oorkonde van 20 augustus 1429 (reg. nr. 14). Afschrift in inv. nr. 243.	1435
8	Akte van transport door Geertruyt, weduwe van Aernt van Tiell, en haar zoon Ott aan Beatrijs, vrouw van Gerijt Jacobszoon, van een rente van 2 pond, vermeld in een getransfigeerde akte, 1457. Met geïnsereerd retroactum, 1436	01-01-1436
10	Akte waarbij Lijsbeth, weduwe van Jan Roec, c.s. beloven Lubbert Gijsbertszoon niet aan te spreken voor een erfrente van 3 pond, gevestigd op een huis en hofstede, vermeld in een getransfigeerde akte, 1436	1436
12	Akte van transport door Beernt Snuede en zijn vrouw Lysbert aan Gysbert Splinter van een huis en hofstede, vermeld in een getransfigeerde akte, 1446. Met insertie van 1435	01-01-1435
14	Akte van transport door Geryt Schaey en zijn vrouw Geertruyt aan Aernt Ram van een rente van 14 pond en 6 schellingen, nader omschreven in een getransfigeerde akte, 1476. Met geïnsereerde retroacta vanaf 1436	01-01-1436
16	Akte van transport door Jan Vuijstinck aan zijn zoon Christiaen van een huis en hofstede aan de noordzijde van de Koestraat, 1526. Met retroacta, 1435-1494	01-01-1435
18	Akte van transport door Peter Voscuyl en zijn vrouw Risselden aan Johan Louwenzoon van Schonoven van renten van 2 pond en van 6 pond, 3 schellingen en 4 penningen ten laste van de stad, 1448. Met geïnsereerde retroacta vanaf 1435	01-01-1435
20	Akte van schenking, door Wilhelm, zoon wijlen Wilhelm van der Water, aan kartuizers, van cijns in Breda, 1429Akte van bekrachtiging door officiaal bisschop van Luik, 1435	01-01-1429
22	Akte van schenking, door Margareta, dochter wijlen Raso van Boymer, aan kartuizers van cijns in Breda, 1430Akte van bekrachtiging door officiaal bisschop van Luik, 1435	01-01-1430
24	Akte van verkoop, door Jacob Willem Oebrechtszn, aan kartuizers, van renten in Den Haag, 1435	1435
26	1435-04-23. 1435 april 23Schepenen van 's-Hertogenbosch, Henrik Dicbier en Petrus de Erp, oorkonden, dat Nicolaus, zoon wijlen Gibo Lobbe, heeft overgedragen aan Gibo, zoon wijlen Gibo uyter Else:erfcijns van 7 pond uit boerderij, huis en hof in Schijndel aan de Straat, welke cijns Arnold, zoon wijlen Wilhelm Veren Hadewigenzn, had beloofd te betalen aan Nicolaus voornoemd, en uit akker aldaar, welke Arnold aan Nicolaus in onderpand had gegeven voor deze cijnsGevidimeerd in Brabants Boek van Vidimus (inventarisnr 88) folio 93vKopie in perkamenten cartularium (inventarisnr 121) folio 40v	01-01-1435
