	Titel	Datum
0	Koopbrief van goederen te Eichfeld, die vroeger aan Erckinger von Seins- heim hadden toebehoord: door deze aan Hans, Fritz en Margriet Truchssets von Baldelcheim waren overgedragen, en nu gekocht worden door de gebroe- ders von Tungfeld zu Sthombach	1406
2	Stukken betreffende de aankoop door en eigendomsbewijzen voor Reinder Albert Lodewijk van Isendoorn à Blois van huizen en grond te Vaassen 1 charter en 5 omslagen	01-01-1406
4	Akte van goedkeuring door de rentmeester van de graaf van Holland als erfheer van het land van Utrecht, van de overdracht door Goert Dirksz. aan Dirk Woutersz. van de helft van de erfpacht van de wind en molen te Leersum l542 april 3.	01-01-1405
6	"Akte van uitgifte in erfpacht door Dirk van Broekhuizen aan Goert Dirksz. van een hond land tussen Leersum en ""het gat van de berg"", waar Goert Dirksz. een molen op zal zetten, l541 augustus 25."	01-01-1405
8	Akte waarin de bisschop van Utrecht, met toestemming van kapittels, edelen en de stad Utrecht, Zweder van Montfoort beleent met het erfelijk dijkgraafschap van de Lekdijk Benedendams, 1405 mei 16	1405 mei 16
10	Akte van overeenkomst tussen Henric Mont en Johan Ghisebrechtszoon betreffende de erfscheiding tussen hun huizen aan de oostzijde van de Springwijk, 1406	1406
12	Schepenakte van transport door Dirc Jansz. Kreijec aan Harmen Vrederixsz. Vinc van een rente op een erf gelegen aan de Nieuwbrug	1406
14	Akte van afstand, door erfgenamen Frank Diedwarenzn, van hun recht op zijn goed onder Leiderdorp, ten gunste van Wilhelm uten Camp, broeder bij kartuizers, 1405	1405
16	Akte van schuldbekentenis, door Agniose Pouwelsdr, aan Geertruid Pietersdr, van erfelijke rente in Rotterdam, 1440	1440
18	Akte van vercijnzing, door Peter Brouwer, rentmeester kartuizers, aan Jan den Vosse en Jan die Bonte, van land Grote Broek in Raamsdonk, 1406	1406
20	Vidimus door graaf Willem VI van Holland van 4 akten van belening uit 1334 - 1356 door graaf van Holland van Jan en Willem van Drongelen, met heerlijkheid Eethen en Meeuwen en jaarlijkse rente van 100 Hollandse ponden, 1406Authentieke kopie, 1662	01-01-1406
22	1405-04-29. 1405 april 29Notaris Johan van Oudheusden Arnoldzn, geestelijke bisdom Utrecht, instrumenteert, dat Elizabeth, weduwe Egidius Kievit de Doveren, bij testament vermaakt heeft aan:haar zuster Aleid haar roerende en onroerende goederen / abt klooster Mariënkroon 2 bunder min 1 hond in Herpt in Hoeyslaghen / idem aan haar zuster Aleid / Elizabeth, dochter van Petrus Walterzn, 2 rokken en 1 mantelOrigineel (inventarisnr 288)Met handmerk notarisGehecht aan akte van 1403 augustus 13 (regestnr 284)Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 29r	01-01-1405
24	1405-11-10. 307. 1405 november 10 (op sente Mertensavont in den winter)Schepenen van Heusden oorkonden, dat Wouter Spiering, deken van Heusden, afstand heeft gedaan van:6 morgen onder Oudheusden in Weert, voor Hacke van Oudheusden, kanunnik in Luik;verder geven schepenen vidimus van akte van 1393 juni 9 (regestnr 200)Origineel (inventarisnr 468)Met schepenzegel AarntYnwijn Ynwijnszn, dat van Wouter Gerard Wouters is afgevallenGehecht aan akte van 1393 juni 9 (regestnr 200)	01-01-1405
26	1406-03-23. 1406 maart 23Schepenen van Heusden oorkonden, dat Liesbeth Jan Zegersdr van Hemert en haar zusters Mechteld en Katelijn afstand hebben gedaan van:1/2 van 7 morgen land in Herpterbroek / van 1/2 van 15 hond op Ooyslaghe / 1/2 van 11/2 hond en 20 schaft / 1/2 van 4 hond op Feweyde, alles in Herpt, zoals deze percelen land, die zij geërfd hadden van Liesbeth, vrouw van Willem Zuurmont, voor Jacob van den Velde;tevens geven zij vidimus van akten van 1404 november 30 / 1405 juli 21 / 1403 januari 16 (regestnrs 297, 304, 278)Origineel (inventarisnr 289)Met schepenzegels Jan van Beijnen Janszn en Merten AalbrechtsznKopie in groot cartularium (inventarisnr 120) pagina 94	01-01-1406
28	1406-07-29. 1406 juli 29 (sdonredages na sente Jacobsdach)Schepenen van Heusden oorkonden, dat Jacob van Berne / zijn zoons Simon, Peter en Henrik / Niclaas Koenraadszn, als man van Bele / Simon van Cuijk, als man van Liesbeth / Margriet Jacobsdr van Berne / Ide, Alveraat en Gloria, haar zusters, afstand hebben gedaan van:cijns van 10 pond uit 8 morgen in Oudheusden op Voorste Uutrot;3 pond uit 1/2 boerderij, die Janne van Dinter, vrouwe van Helmond, en haar kinderen gemeen hebben met Hacke der Ammenzn, in Heesbeen naast kerk, voor Jan Jacobszn van Berne en Jacob Bryevong, zijn broer;waarbij zij tevens verklaren eigendomsbewijs van deze cijns gezien te hebben van 1406 juli 28Origineel (inventarisnr 484)Met schepenzegel van Goetscalc van Veen en fragment van dat van Dirk JacobsznGehecht aan akte van 1346 maart 21 (regestnr 25)Gevidimeerd in akte van 1406 november 14 (regestnr 316)Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 23v	01-01-1406
30	1406-08-21. 1406 augustus 21 In monasterio Mariënkroon predicto in camera dicti domini abbatisNotaris Renerus Nicolauszn de Ethen, geestelijke bisdom Utrecht, geeft, op verzoek van Thomas, abt klooster Mariënkroon, vidimus van akte van 1367 mei 23 (regestnr 79)Origineel (inventarisnr 9)Met handmerk notarisAkte van 1367 is in duplo aanwezig. Hier is gevidimeerd de akte, die geen opgave doet van plaats en getuigen.	01-01-1406
32	1406-10-15. 1406 oktober 15 (svridaghs na sente Victoersdach)Schepenen van Heusden oorkonden, dat Aarnt Willem Heinenzn van Vlijmen heeft overgedragen aan Klaus Spiering Dirkszn van Aalborg:3 morgen onder Engelen in Korte Mergen, waarna Klaus dit land weer aan Aarnt heeft overgedragen tegen cijns van 1 Hollands schildOrigineel (inventarisnr 217)Met schepenzegel Jan van Beyenen Janszn, dat van Dirk Jacobszn is afgevallenHieraan gehecht akte van 1427 augustus 19 (regestnr 549)Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 138v	01-01-1406
34	1406-11-14. 1406 november 14 (tsondages na sente Mertynsdach in den winter)Schepenen van Heusden oorkonden, dat Jan van Berne Jacobszn en zijn broer Jacob Bryevong hebben overgedragen aan Thomas, abt Mariënkroon:cijns van 10 pond uit 8 morgen in Oudheusden op Vorste Uutrot;waarna zij verklaren gezien te hebben akte van 1406 juli 29 (regestnr 312)Origineel (inventarisnr 484)Met schepenzegel Goetscalc van Veen Janszn en geschonden zegel van Jan CoppensznGehecht aan akte van 1346 maart 21 (regestnr 25)Kopie in groot cartularium (inventarisnr 120) pagina 26Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 25r	01-01-1406
36	1406-12-15. 1406 december 15 (swoensdages na sente Lucyendach)Schepenen van Heusden oorkonden, dat Henrik de Greve heeft overgedragen aan Jan Nicoel:akker onder Baardwijk; waarna Jan Nicoel deze weer heeft overgedragen aan Henrik de Greve tegen pacht van 12 vat roggeOrigineel (inventarisnr 138)Met schepenzegels Meerten Aalbrechtszn en Dirk JacobsznGevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 125r	01-01-1406
38	Akte van overdracht door Johan van Jutphaas en Margriet, dochter van Jacob Haven, aan Wouter Haven van 3 morgen land te Galecop, 1405	1405
