	Titel	Datum
0	Akte van transport door Gherijt de Haen aan Henric Jacob Vredericzoonszoon van een huis en hofstede aan de Steenweg, 1425	1425
2	Akte van verkoop, door Heinrik die Late, alias Hein van Oeyen, aan Hugeman, zoon van Mertiin Floriszn, priester, van erfpacht in Breda, 1426Met authentieke kopie uit 16e eeuw	01-01-1426
4	Vidimus van bevelschrift uit 1405, van Willem, graaf van Holland, waarin hij Jan Grietenzn, schout in Leiden, opdraagt uitspraak te doen in geschil tussen kartuizers en erfgenamen van Frank Diewarenzn in Leiderdorp, en van vonnis, in datzelfde jaar door schout geveld, 1426	1426
6	Akte van overdracht, door Gerrit, prior, aan Aarnt van Dik Hackenzn, van akte, met daarin beschreven land De Hoge Kamp onder Gorinchem, 1426Met kopie uit 16e eeuw	01-01-1426
8	Vidimus en akte van bevestiging, door hertog Philips van Bourgondië, van schenking in 1420 door hertog Jan van Beieren aan Willem, heer van Ysendoren, van waard en buitendijks gelegen grond in Kedichem, 1426	1426
10	Vidimus van akte van 1426, van hertog Philips van Bourgondië, ruwaard van Holland, waarbij hij kartuizers bij Geertruidenberg en hun goederen in bescherming neemt, 1446	1446
12	1426-09-30. 1426 september 30Deken en kapittel van Geertruidenberg geven vidimus van akte van 1405 mei 10 (regestnr 499) en 1405 mei 13 (regestnr 500)Origineel inventarisnr 138	01-01-1426
14	1425-06-11. 1425 juni 11 (op sente Odulfsavont)Schepenen van Heusden oorkonden, dat Jacob van den Velde zich heeft laten rechten aan:huis in Heusden aan Potterstraat, dat van Godert van Drongelen was, en dit verkocht heeft aan Peter Dirkszn voor verlopen cijnsOrigineel (inventarisnr 397)Met schepenzegels Wouter Jan Wouterszn en Aarnt van DuffelMet transfix van 1425 juli 5 (regestnr 531)Gehecht aan akte van 1383 maart 3 (regestnr 145)	01-01-1425
16	1425-06-20. 1425 juni 20Schepenen van Heusden oorkonden, dat Mathijs Jan Potterszn heeft overgedragen aan Gerard Rutgerszn van Ophoven:huis en erf in Heusden met 1/2 gang ernaast in Hoogstraat en 1/16 huis en erf, welke goederen Gerard hem weer overdroeg tegen pacht van 3 Franse kroon;verder geven zij vidimus van akten van 1422 mei 20 en 1424 juni 26 (regestnrs 490, 521) en verklaren akte gezien te hebben van 1423 september 15Origineel (inventarisnr 423)Met schepenzegels Simon Jacob Werenszn en Dankaart van der WerkenGehecht aan akte van 1423 augustus 4 (regestnr 504)	01-01-1425
18	1425-06-30. 1425 juni 30 (tsaterdages na sente Jansdach in den somer Baptist)Schepenen van Heusden oorkonden, dat Zaalmon, weduwe Robbrecht van Drongelen, heeft overgedragen aan Jan, abt Mariënkroon:huis en hoeve aan Potterstraat in Heusden; waarbij zij echter levenslang recht van gebruik voorbehoudtOrigineel (inventarisnr 409)Met schepenzegel van Aarnt van Duffel, dat van Dirk Jacobszn is afgevallenGevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 143r	01-01-1425
20	1425-08-29. 1425 augustus 29 (op sente Jansdach Decollatio)Gerrit de Hoghe, rechter in De Werken, oorkondt, dat Corstiaan van Herwinen, bastaard, verklaard heeft, dat voor hem, als rechter, en voor Klaas van Malsen / Adriaan Jan Aarntsznszn / Wouter Gevaart / Huge Jacobszn, als heemraden aldaar, eertijds Jacob Boey, priester, geschonken heeft aan Jan van Goch, abt Mariënkroon:101/2 morgen en 1/2 hond, in De WerkenOrigineel (inventarisnr 523)Met zegel rechterGehecht aan akte van 1411 juni 16 (regestnr 351)Kopie in groot cartularium (inventarisnr 120) pagina 31Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 85r	01-01-1425
22	1425-12-11. 1425 december 11Schepenen van 's-Hertogenbosch, Bertholdus de Lu en Jacob Goevy, oorkonden, dat Laurentius de Andel, zoon wijlen Johan van Andel, beloofd heeft aan Rutger de Kessel, zoon wijlen Kortrok:erfcijns van 10 pond uit huis en erf in Orthensestraat, welke cijns Laurentius vandaag heeft verworven van RutgerGevidimeerd in Brabants Boek van Vidimus (inventarisnr 88) folio 61rKopie in perkamenten cartularium (inventarisnr 121) folio 2v	01-01-1425
