	Titel	Datum
0	Brieven van maintenue, betreff. erfdienstbaarheden te Miedum waarover een geschil is ontstaan tussen Andries van Hiddema en Bote Bootesz.	1625
2	Acte du roi Phillipe (=Philips TV van Spanje), over kosten van een proces tegen de baron de Hesdin	1625
4	Patente/aanstelling van Hugues de Noyelle tot drossaard van Fauguemont(=Valkenburg in Zd. Limburg)	1626
6	Patente/aanstelling door Filips TV van Hugues de Noyelle tot stadhouder en kapitein van Limburg	1626
8	Akte van scheiding van de nalatenschap van Eelco Clant en Willemina Hinckart, 1626. 1 charter	1626
10	Akte van ruiling van verschillende goederen in Groningen tussen Adriaan Clant van Stedum en Hendrik Hooftman enerzijds en Johan Huninga en Lambert Tjarda van Starkenborch anderzijds, 1626. 1 charter	01-01-1626
12	Acte van huwelijksvoorwaarden van Reiner Swaefken met Geertruyt toe Boecop, 1625. 1 charter	01-01-1625
14	Acte van huwelijksvoorwaarden van Derrick van Dorth en Anna Crijdts, 1625. 1 charter	01-01-1625
16	Vonnis van de Hoge Raad in Holland in het proces van Dirck van Vryenes, man van Grietgen van der Stael, te Schoonhoven, tegen Reynier Reniers te Gouda, mede voor de andere erfgenamen van Lijsbeth Wouters, over de preferentie onder de crediteuren van mr. Pouwels op Straten en Marijtgen Kuyff, de laatste de grootvader (bij Adriaan de Lange) van Grietgen van der Stael, 1625. 1 charter	01-01-1625
18	Huwelijkscontract tussen Bernhardus Altingh, advocaat der provincie, en Clara van Hulten, 1625	1625
20	Akte van huwelijkse voorwaarden tussen Oswald van Boetzelaer en Margareta van Pasqualijn, 1625 juli 18	1625
22	Akte van openbare verkoop (in tweevoud) in opdracht van G.D.S.A. Byrde aan Jacob Constantijn Martens van het huis Janskerkhof H 594, met veilingaffiche (gedrukt), 1828. Met retroacta, 1626- 1726, met bijbehorende stukken, 1829, en met stukken betreffende de afkoop van een rente aan het kapittel van St Jan, 1843-1845.	01-01-1626
24	1625	1625
26	Akte van huwelijksvoorwaarden tussen Johan Pater en Antonetta Wttewael. In drievoud, 1625	1625
28	Akte van losrente door abdis Johanna van Reede en de jufferen van Mariëndaal voor de erfgenamen van Jan van Lichtenberch vanwege diens lening voor de kinderen van de overleden rentmeester Cornelis van Beeck, 1624 juli 29, afgelost, 1625.	01-01-1624
30	Akte van uitgifte van een erfrente door Godert van Reede van Amerongen, thesaurier van de conventen van Oudwijk en Vrouwenklooster, ten behoeve van Peter Schaide, advocaat voor het Hof van Utrecht, vanwege een lening tot betaling van de aannemers en werklieden van de veengriften van Vrouwenklooster onder verband van het vrij eigen goed van Vrouwenklooster in het gewest Utrecht, 1626 juni 17, afgelost, 1649.	01-01-1626
32	1669, met retroacta, 1625, 1630	01-01-1625
34	Akte van verkoop bij decreet vanwege het Hof van Utrecht op verzoek van de erfgenamen van Maria van Lienden en ten laste van Wouter van Leeuwen aan Thonis Henricksz. van Doenroy van een vierdedeel van een huis aan de oostzijde van de Plompetorengracht, 1626	1626
36	Akte van verkoop door Eduwert van Hemert aan de broederschap van de zielspriesters in de Janskerk van een losrente van 35 gld. op een hoofdsom van 700 gld. in verband met de overdracht door Anthonis Cornelisz. aan Eduwert van de koop van drie morgen land in Tienhoven, afkomstig van genoemde broederschap, 1626, met in dorso kwitantie wegens aflossing, 1632	01-01-1626
38	Akte van schuldbekentenis door Goosen Ellert van Loenen, kistenmaker, aan Geurt, Jozyna en Elisabeth van Bree, kinderen van Thomas van Bree en Yda Geent van Woudenberchsdr., van 1000 gld., met hypotheekstelling van een huis aan St.Jans Oudwijk bij het Begijnehof, 1625	1625
