	Titel	Datum
0	Aanstelling van Johan Sicco zu Schwartzenberg, tegenwoordig (in 1736) commsndeur van het kasteel van Namen, tot commandant van de stad Furnes, gegeven door de Staten-Generaal.	1736
2	westzijde Burgh of Kikkerstraatje 2 huizen, Willem la Coste	1725
4	Huwelijkscontract tussen Ludolph Luirt, baron van Ripperda van Winsum en Maria Isabella, barones van Ewssum, 1735	1735
6	Huwelijkscontract tussen Frederick Jan van Cloeck, zoon van Arnold Henderick van Cloeck tot den Beerenklauw en Clara Getruidt van Heckinge, en Alberdina Johanna de Drews, dochter van Regnier de Drews en Abelia Busch, 1736	1736
8	Akte van belening door Henriette van Nassau-Zuylestein van Willem Cornelisz. van Brinckererve met de tijnsweer van een huis, erf en grond genaamd Het Bontepaard, in de Overstraat te Amerongen, in te richten tot smederij, 1736 maart 21	1736
10	Bul van de Universiteit van Utrecht waarbij Paul Engelbert Martens promoveert tot doctor in de rechten, 1735	1735
12	Akte van eedsaflegging als advocaat voor het Hof van Utrecht, 1735	1735
14	Eigendomsbewijzen van het logement La place roijale aan de zuidzijde van de Minrebroederstraat, met lijst, 1735-1810	1735
16	Choorstraat D 13, Klein Stegenburg, 1736	1736
18	Akte van transport ten overstaan van schepenen van Edam door Jacob Poort aan Pieter van der Leij van een stukje land, gelegen aan de Grasdijk in de Zeevang, 1735	01-01-1735
20	Akte van aanstelling van Pieter van der Leij tot dijkgraaf van de Purmer, 1736	01-01-1736
22	Acte van overdracht door Johanna Reints van het erf de Haegen, 1 morgen hooiland de Houw in Lierder- en Speuldermark, een half vierel in Breukelermark en het hooiland aan de kleine Leygreve onder Beekbergen aan Alard Wynand Hackfort, 1758. Met oudere stukken betreffende deze goederen, 1736, 1743 en z.j.. 1 charter en 1 omslag	01-01-1736
24	Akte van belening, door stadhouder leenhof Cuijk, aan Peter J. Verheyen, van perceel land 'opt Roth', onder Escharen, bij dood van Hendrik C. van Wevelichoven, 1736	1736
26	Vonnis van Raad van Brabant tot betaling geld, door Johan Beeris, aan Pieter Beeris, tot inkoop in Manhuis in Breda, 1736	1736
28	Akten van belening door de stadhouder van de lenen van Gelderland met de Ploegtiend onder Zevenaar, 1736-1785. 3 charters	01-01-1736
30	Akte van transport aan de erfgenamen van Margaretha Repelaer van twee percelen land in Cromstrijen	1736
32	Stukken betreffende vaststelling van een plan tot bedijking en droogmaking van een aantal uitgeveende polders en poldergedeelten onder Esselijkerwoude, Ter Aar, Oudshoorn en Rijnsaterwoude en tot vervening, bedijking en droogmaking van drie poldergedeelten onder Oudshoorn, en verkrijging van octrooi van de Staten van Holland en West-Friesland tot uitvoering van bovengenoemd plan volgens een bij het octrooi behorend reglement, 1731-1736	01-01-1731
34	Akte van overeenkomst tussen Marij Barentsz. en dijkgraven en waarschappen van Drechterland betreffende het gebruik van haar huis genaamd De Weed als logies voor dijkgraven en andere dijkregenten met de daarbij behorende manschappen, 1735	1735
36	Akten van overeenkomst ten overstaan van schout en schepenen van Overschie en Hogenban tussen ambachtsbewaarder en kroosheemraden van Schieveen enerzijds en Dirk Chiele van der Wadding (1732) en Johan van der Hoeven (1733) en de voogden over de kinderen van Jan Corneliszn. Visch (1736) anderzijds betreffende de overname door ambachtsbewaarder en kroosheemraden van waarborggelden tot convertering (omzetting) daarvan in afkoopgelden, betreffende de afkoop van lasten door de verveners en betreffende hun onderhoudsplicht van kaden, wegen, banwerken en aandammingen bij verveende percelen	1732
38	Erfpachtsbrief van de Staten van Holland en Westfriesland aan dijkgraaf en heemraden van Alloysen- of Bovenpolder van twee partijen gors genaamd de Liezen en de Biezen, ten noorden en ten zuiden van de Kop van de Biesbosch	1735
