	Titel	Datum
0	Vidimus door de gardiaan van het Minderbroedersklooster betreffende een akte van 11 november 1276 waarbij door het stadsbestuur het burgerschap en tien jaar vrijdom van alle belastingen aan de wolwevers en ververs wordt beloofd	1341
2	Aankomsttitels van erven en huizen, waarvan de ligging niet nauwkeurig omschreven is., 1276, 1304	1276
4	Afschrift van een vidimus van 1417 van de giftbrief van graaf Floris V uit 1276 aan Gerard van Wateringen betreffende de visserij voor de sluizen in Vlaardingerambacht	1276
6	Vidimusbrief van de domdeken van Utrecht van een acte van 1275, waarbij Arnold van Amstel van de Domkapittel 10 hoeven land cum annexis bij de Achtersloot te Benschop, in erfpacht ontvangt, 1550. 1 charter	01-01-1275
8	Schout, burgemeesters, schepenen en raad van Amsterdam geven vidimus van de zoen van Jan Persijn, Heer van Waterland, met zijn onderzaten op 27 december 1275, 1460 januari 31	01-01-1275
10	Johannes Persijn, miles et dominus Terre aquose, verzoent zich met die van Terre aquosa op verschillende voorwaarden, n.l.: zij zullen hem in festo Walburgis als twee beden betalen zes en twintig ponden en op St. Jansdag in den zomer dertien ponden en op Kerstavond dertien ponden, jaarlijksche schulden; verder ontvangen die van Waterland eenige voorrechten aangaande de rechtspraak ; hij belooft zijn kasteel Swanenborch niet weder in steen op te bouwen, enz. Datum anno (festum) Domini MCC Septuagosimo quinto feria secunda past nativitatis Domini. Vidimus, gegeven in no. 35. (Inv. no. 3). Gedrukt bij v. d. Berg, Oork. Holl.; en Zeel. II, no. 301. v. Mieris I, 379. 1 charter, zegel(s) ontbreken.	1275
12	Stukken betreffende een geschil tussen de proost en het kapittel van Onze-Lieve-Vrouw inzake het recht tot benoeming van de scholaster met afschrift, 1275	1275
14	Akte waarbij de erfvoogd van Güls, Syfridus de Bruule, aan de inwoner van Güls voor 14 jaar vrijdom verleent van rechten en diensten die hem toekomen, en verklaart dat hij, bij vervreemding van de erfvoogdij, deze het eerst zal aanbieden aan de abt van Siegburg en de inwoners van Güls, 1276 januari 4. reg. Doppler nr. 203	01-01-1276
16	Akte van overdracht door de gezusters Ida en Margareta, dochters van Godefridus de Wingarberch, begijnen, aan de abdij Val-Dieu van een jaarcijns van twaalf Luikse solidi en twee kapoenen op een huis op de Houtmarkt. Met retroacte, 1267, 1276 juni 24. afgedruktbij Doppler Schep. nrs. 3, 2	01-01-1267
18	Akte van overdracht door de gezusters Margareta en Ida, begijnen, aan de abdij Val-Dieu van een jaarcijns van tien Luikse solidi op een huis aan de Grote Gracht. Met retroacte, 1271, 1276 juni 24 reg. Doppler Schep. nrs. 5, 4	01-01-1271
20	Akte van attestatie van Otto van Gulik, proost van Sint-Servaas, dat de cijnshof van Kodichoven aan het kapittel en niet aan de proost behoort, 1275 maart 20. reg. Doppler nr. 201	01-01-1275
22	Deurwaardersexploot aan het Hof van Holland uitgebracht inzake de eis van Hendrik Jansz. Cursor te Haarlem als curator van Pieter van Foreest ten laste van mr. Johan de Groot secretaris van Delft tot betaling van een schuld van 1275 gulden. Met bijlage.1597	01-01-1275
24	Akte van belening van WOLFERDUS en zijn broeders, zoons van HENRICUS genaamd WISSEN, door graaf FLORIS V met het leengoed, vervallen door de dood van hun broeder NICHOLAUS.1276	01-01-1276
26	Akte waarbij Wouter genaamd Van Crayenhorst, ridder, verklaart land binnen de stadsvrijheid aan de raden van de stad verkocht te hebben, 13 december 1276	01-01-1276
28	Akte waarbij de aartsbisschop van Bremen de graaf van Holland bericht dat diens mensen, die geld in zijn gebied zijn verloren, dit zullen terugkrijgen, waarschijnlijk tussen 1275-1288, 16 oktober, OHZ IV nr. 2365	01-01-1275
30	Vaststelling door de collector van de pauselijke tienden over de provincie Keulen enz. van het aandeel van de vijf kapittels en St. Paulusabdij daarin op 200 pond, 1276 sept. 24	1276
32	Akte waarbij graaf Adolf van Berg vidimus geeft van een akte van hertog Hendrik IV van Limburg uit 1234 waarbij de goederen van het klooster Marienthal te Irresheim ontheven worden van de voogdij van W. de Kuchenheim, ridder, 1275	1275
34	Schenking door de proost-aartsdiaken Wilhelmus van enige goederen te Mijdrecht tot verbetering van de prebenden en onder voorwaarde van een voor hem te stichten memorie, 1276 dec. 13	1276 dec. 13
36	Mathias de Are, ridder, bekend voor de 100 mark Ceuls, zo als hij van den overledenen graaf Otto ontfangen had, aangekogt te hebben de goederen te Wedis tusschen Keulen en Bo[n] en belooft vervolgens die goederen van den graaf te leen (subtitulo feodali) te zullen houden, 1275 (zonder dagtekening). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1275
38	Theodoricus de Bremth verkoopt aan graaf Reinald van Gelre zijn aandeel van het bosch van Elmth (partem memoris de Elmth), 1276 juni 16 (1276. feria 3. post diem b. Barnabae apostoli). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1276
