	Titel	Datum
0	Akte waarbij de burgemeesters en de raden van de stad Groningen verklaren dat Stad en Lande van Groningen hebben verkocht aan Adriaen Wildervanck, rentmeester van Groningen, c.u. drie stukken grond in Groningen, 1726	01-01-1726
2	Huwelijkscontract tussen Johan Stachouwer, heer van Schiermonnikoog, en Gratia Susanna Tjarda van Starkenborgh. 1725. Met afschrift z. j	01-01-1725
4	oostzijde Breestraat in de Pastoorswarande 4 huizen, Jacobus van der Hoek.	1726
6	westzijde Burgh of Kikkerstraatje 2 huizen, Willem la Coste	1725
8	Conditiën en voorwaarden van veiling van goederen, waarbij Hendrik van Isendoorn het herengoed Den Haag in Dijkhuizen en 2 percelen land in Vemde koopt, 1725. Met latere akten van investituur en oprukking, 1743-1759. Met kwitantie voor Jura, 1743. 2 charters en 1 omslag	01-01-1725
10	Akte, waarbij de Gelderse Rekenkamer Johan Hendrik van Isendoorn à Blois investituur en oprukking verleent van een herengoed, Brouwerserf genaamd, 1781. Met oudere stukken betreffende dit goed, 1726-1781. 4 charters en 1 omslag	01-01-1726
12	Acte van belening voor Hendrik Jan Knoppert met de Boedelhoevermaat onder Eefde, na dode van Macarius Henrick Knoppert, 1725. 1 charter	01-01-1725
14	Akte waarbij de leenhof van Gansoyen Jan Lambertse van Doveren toestaat 1/4 in de koren en smalle tienden ten behoeve van zijn minderjarige zoon Jan Janse van Doveren te bezwaren met een rente ten gunste van Cornelia ten Haegen, weduwe van de burgemeester Jan van der Graef te Woudrichem, 1726, met een dorsale notitie over de afbetaling, 1750. 1 charter	01-01-1726
16	Akte, waarbij Martien Fockes, weduwe Galtie Ajolds te Muntendam de afdoening regelt van de nagelaten verplichtingen van haar man aan Eppo Botterman, 1726	1726
18	Akte van verkoop door J. Sparringa en A.M. Sibinga, echtelieden, en J. Sijlman weduwe H. Sijbinga aan Pieter Berghuijs van een behuizing op vrije grond in de Pelsterstraat westzijde, 1725. Met retroacta, 1712, 1707, 1695	1695
20	Akte van uitgifte in erfpacht door de ridderschap van Utrecht aan Henderikus Bosch van het huis Den Daal c.a. ter grootte van 3 morgen, 2 hond en 63 roeden land, en 4 morgen en 140 roeden bouwland te Zuilen door hem gekocht van Hendrik Steenoven, 1725 april 18	1725
22	Akte van transport door de kerkmeesters van de Buurkerk aan Dirkje van Elden, weduwe van Pieter van der Burgh, van de grafstede in het middenschip no. 86, met kwitantie, 1726	1726
24	Octrooien door de Staten van Utrecht voor Jan van Kerckraed te Utrecht en voor Johanna Smout, weduwe van David van Kerkenraad, om te mogen testeren, 1726, 1728	1726
26	Stukken betreffende het beheer en de administratie van de effecten van Pieter Quarles, 1725- 1744	1725
28	Akte van benoeming door de Staten van Zeeland van Nicolaas van der Haer, vader van Henriette, tot griffier van de Hoge Raad van appèl, 1726 mei 31	1726 mei 31
30	Akte van schuldbekentenis door Jan Aertsen Voorn en zijn vrouw Aletta van Wijckersloot aan Jacobus van Baren, predikant te Odijk, met hypotheekstelling van 6 morgen weiland onder Odijk, genaamd de Zandweyde, 1716. Met retroacta, 1680, 1686, 1702, en met bijlagen, 1723, 1726	1680
32	Akte waarbij door de Landcommandeur van de Balije van de Ridderlijke Duitse Orde in erfpacht wordt gegeven aan Dirkje van Loenen, weduwe van Cornelis van Acquoy, een perceel bouwland onder Odijk, groot 3 morgen en 3 hond, 1726. Met retroacta, 1619	1619
34	Akte van transport ten overstaan van schepenen van Edam door Pieter Keulen aan Pieter Hendriksz. van der Leij van een stuk land, gelegen in de Oosterweren in de Zeevang, 1725	01-01-1725
36	Akte van aanstelling van Claas Croon tot ontvanger van de gemene landsmiddelen over de stad en het kwartier Edam, 1726	01-01-1726
38	Testament van Anna Maria van Eyll ten behoeve van Wesselius Josephus Gothofridus, enigen zoon van haar broeder dr. Theodorus van Eyll, 1726, met een afschrift en acte van dépot. 1 charter en 1 omslag	01-01-1726
