	Titel	Datum
0	Koopbrief van een zate te Sexbierum. Verk. door Epo Jetses te Sexbierum aan de in inv. nr. 1245 genoemde kopers, 1598	01-01-1245
2	"Akte waarbij deken en kapittel van Sint-Servaas e.a. vidimus geven van de schenking van de ""obedientia"" van Herk-de-Stad door Arnoldus, proost van de kerken van Sint-Gereon te Keulen en Onze-lieve-Vrouw te Maastricht, in 1232 gedaan aan de kerk van Onze-Lieve-Vrouw en in 1234 bevestigd door bisschop Jan van Eppes van Luik met afschrift, 1246"	1246
4	Koop- en huurcontracten voor de kerk te Zeerijp, 17e en 18e eeuw	1246
6	Toekenning aan Hayo Ripperda van het jus collationis over de kerken van Holwierde, Uitwierde, Jukwerd, Krewerd, Marsum en Tjamsweer, 1246	1246
8	Verdrag tussen Fernandus, graaf van Vlaanderen, en Floris IV van Holland, betreffende Zeeland, met de borgtocht der getuigen,16 april 1227 Vidimus van december 1246 Afschrift Godefroy.[z.d.]	01-01-1227
10	Stadsrecht, verleend door graaf Willem II, 23 november 1245	01-01-1245
12	Akten, waarbij opvolgende graven de privileges van hun voorgangers bevestigen, 1299-1468. Deels met vidimussen	01-01-1245
14	Akte van Filips van Bourgondië waarbij hij bepaalt dat het college van tachtig met ingang van 7 september 1455 vervangen zal worden door een college van 44, 18 februari 1454. Met aangehecht kwitanties vanwege de betaling van het vorige privilege (inv. 115), 17 september en 2 oktober 1445. Met vidimus van de commandeur van St. Jan 24 januari 1458	01-01-1245
16	Akte waarbij Wouter van Oudheusden de rechten die hij voor de duur van zijn leven op het bodeambt heeft aan de stad opdraagt, 23 mei 1437. Met akte waarbij hij belooft deze overdracht door Karel van Bourgondië te laten bevestigen, 23 mei 1467	01-01-1245
18	Akte	01-01-1245
20	Akte en stukken betreffende afkondiging	01-01-1245
22	Akte waarbij Filips van Bourgondië de stad de schulden en renten, door de stad aan partijgangers van Jacoba van Beieren verschuldigd voor het aangaan van de Zoen van Delft tot zes weken daarna, en bij de zoen door hem geconfisqueerd, schenkt, 1 augustus 1428. Met vidimus van de commandeur van Sint Jan, 26 juli 1454	01-01-1245
24	Akten	01-01-1245
26	Akten, waarbij in pacht wordt genomen van de stad het vroonland 'die Hoeve' in Vronergeest, 1448, 1457, 1487. Met gecancelleerde akten inzake de pachtovereenkomsten met de landsheer, 1447, en een akte waarbij de landsheer een pachter van het contract ontslaat, 1449	01-01-1245
28	Akte waarbij graaf Albrecht de schenking van het kostersambt in verband met de vrijwillige afstand door Hendrik van Lunen in ruil voor een jaarlijkse vergoeding aan de stad bevestigt, 17 januari 1399. Met vidimus van de prior het Predikherenklooster, 6 september 1469 en missive van graaf Albrecht om de geldelijke vergoeding aan Simon van der Schuur in plaats van aan Hendrik van Lunen uit te betalen, 24 januari [1399]	01-01-1245
30	Akte waarbij graaf Albrecht bepaalt dat van poortersgoederen slechts tot een waarde van 60 pond, in geval van doodslag 80, verbeurd verklaart mag worden, bepaalt aan welke voorwaarden leden van het stadsbestuur moeten voldoen om benoemd te worden en dat de schout misdrijven binnen een jaar moet berechten, 6 juni 1394. Met vidimus van de commandeur van St. Jan, 27 maart 1420	01-01-1245
32	Akte waarbij graaf Willem VI bepaalt dat Haarlemse poorters in andere steden niet aan strengere keuren onderworpen mogen zijn dan de eigen poorters, men na doodslag op een Haarlems poorter slechts landwinning van de landsheer zal krijgen na verzoening met de verwanten, de schout binnen 300 roeden van de stad misdadigers mag arresteren en dat de nalatenschappen van kinderloos overleden bastaarden die drie jaar poorter zijn geweest in moederlijke lijn vrijelijk mogen vererven, 3 november 1411. Met vidimus van baljuw, rentmeester en leenmannen van Kennemerland, 1 juli 1558	01-01-1245
34	Akte waarbij Jan van Beieren bepaalt dat niemand, die zelf de stad niet mag of durft te betreden, aanspraken op een poorter op diens goederen mag verhalen, poorters slechts binnen een jaar en dag na dato van een delict getuigenis hoeven af te leggen en dat er geen nieuwe zusterhuizen binnen een mijl buiten de stadsvrijheid gebouwd mogen worden, 18 augustus 1422. Met vidimus van de commandeur van St. Jan en de prior van de Karmelieten, 10 oktober 1422	01-01-1245
36	Sententie	01-01-1245
38	Mandement	01-01-1245
