	Titel	Datum
0	Akte van transport door Tyman Claesz. c.s. aan Johan Claes Gherytsoensz. de Wael van de helft van een huis bij de Reguliersbrug (nu: Weesbrug), 1445. Met geïnsereerde retroacta vanaf 1414	01-01-1414
2	Akte van transport door Dirk Pijl namens de huismeesters van het St.Bartholomeus-gasthuis aan Johan Tullenszoen van de helft van een rente van 10 pond, 1445. Met geïnsereerde retroacta vanaf 1439	01-01-1439
4	Akte van transport door Mathys Voscuyl en zijn vrouw Elsbenen aan Ave, weduwe van Claes Stevenssoen, en haar zoon Steven van een rente, vermeld in een getransfigeerde akte, 1445. Met geïnsereerde retroacta vanaf 1433	01-01-1433
6	Akte van transport door Johan van Tiel c.s. van zeker eigendom. Fragment, 1445	1445
8	Akte van transport door Beernt Snuede en zijn vrouw Lysbert aan Gysbert Splinter van een huis en hofstede, vermeld in een getransfigeerde akte, 1446. Met insertie van 1435	01-01-1435
10	Akte van transport door Rycout van der Horst en zijn vrouw Alyt aan Willam Block Egberssoen van een rente, vermeld in een getransfigeerde akte, 1446	1446
12	Akte van transport door Herman van Zanten en zijn vrouw Lysbetten aan Alydt, weduwe van Gheryt Splinter, van een rente, vermeld in een getransfigeerde akte, 1446	1446
14	Akte van transport door Gheryt van Voern en zijn vrouw Clemensen aan Reyer Aerntssoen van een rente, vermeld in een getransfigeerde akte, 1448. Met geïnsereerd retroactum, 1445	01-01-1445
16	Akte van transport door Gysbert van Loenen aan Jan Gherytszoen van Campen van de helft van een huis en hofstede, vermeld in een getransfigeerde akte, 1449. Met geïnsereerde retroacta vanaf 1446	01-01-1446
18	Akte van transport door Lijsbet, weduwe van Jan Ryem, aan haar dochter Belye van de helft van een rente, vermeld in een getransfigeerde akte, 1454. Met geïnsereerde retroacta vanaf 1446	01-01-1446
20	Vidimus van akte van 1426, van hertog Philips van Bourgondië, ruwaard van Holland, waarbij hij kartuizers bij Geertruidenberg en hun goederen in bescherming neemt, 1446	1446
22	1446-12-07. 1446 december 7Schepenen van 's-Hertogenbosch oorkonden, dat Johan Ricold Frankzn heeft overgedragen aan zijn broer Henrik:pacht van 3 mud en 4 lopen rogge uit 6/7 huis, erf en hof in Waalwijk en uit 6/7 van 3 percelen land aldaar, welke pacht Petrus Ricold Frankzn had verworven van Franco, Johan en Henrik, diens broers en van Laurentius, zoon van Everard Roelofszn, en had beloofd aan Johan voornoemdOrigineel (inventarisnr 521)Schepenzegels Gooswin Heym en Godefrid Boest zijn afgevallenGehecht aan akte van 1441 november 15 (regestnr 696)Gevidimeerd in Brabants Boek van Vidimus (inventarisnr 88) folio 116r	01-01-1446
24	1446-07-19. 1446 juli 19Deken en kapittel van Dordrecht geven vidimus van akte van 1375 december 5 (regestnr 193)Kopie inventarisnr 2, 1e deel, folio 35, F 19	01-01-1446
26	1446-10-01. 1446 oktober 1Deken en kapittel van Dordrecht geven vidimus van akte van 1426 juli 27 (regestnr 767)Origineel inventarisnr 12	01-01-1446
28	1445-01-04. 1445 januari 4Schepenen van Heusden, Dirk Kuist van Veen en Jacob Hugenzn, oorkonden, dat Hack Wouterszn en Aarnt Aarntszn van Helvoirt, gasthuismeesters in Heusden, hebben overgedragen aan Jan Dirkszn:huis in Peelserstraat;tevens geven zij vidimus van akte van 1444 juli 27 (regestnr 745)Gevidimeerd in akte van 1446 april 30 (regestnr 766)Origineel had transfix van 1446 februari 28 (regestnr 765)	01-01-1445
30	1445-01-06. 1445 januari 6Schepenen van Heusden oorkonden, dat Willem van Wijk Aarntszn / Willem Zegerszn van Cuijk / Thonis Klaasdr van den Velde hebben overgedragen aan Cornelis, prior van Mariënkroon:1/2 van 2 mud rogge uit 4 morgen in Genderen in de Bollick;tevens geven zij vidimus van akten van 1444 oktober 14 en 1421 maart 3 (regestnrs 746, 465)Origineel (inventarisnr 221)Met schepenzegels Huge van Wijk en Jan de MomberGehecht aan akte van 1421 maart 3 (regestnr 465)	01-01-1445
32	1445-04-08. 1445 april 8Schepenen van Heusden oorkonden, dat Dankaart van der Werken heeft overgedragen aan Cornelis, prior van Mariënkroon:akten van 1430 oktober 12 en 1396 januari 25 (regestnrs 577, 222), waardoor deze is gestokenOrigineel (inventarisnr 510)Schepenzegels Lubrecht Pouwelszn van Woeringen en Henrik van der Beek zijn afgevallenGevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 79v	01-01-1445
34	1445-09-22. 1445 september 22 (op sinte Mouritiusdach)Schepenen van Heusden oorkonden, dat Jan van Hellu en Dirk Jacobszn, aan Hack den Bakker Wouterszn hebben overgedragen:2/3 deel van 41/2 morgen land op Hoyslagen in Herpt;waarna Hack dit land weer aan Jan van Hellu heeft overgedragen voor erfcijns van 5 gouden wilhelmusschild;tevens geven zij vidimus van akten van 1434 januari 13 en van 1439 augustus 10 (regestnrs 608, 669)Origineel (inventarisnr 327)Schepenzegels Huge van Wijk en Lubert Pouwelszn van Woeringen zijn afgevallen	01-01-1445
36	1446-01-22. 1446 januari 22Schepenen van Heusden, Klaas Spiering van Aalborg Klaaszn en Aarnt Spiering van Aalborg, oorkonden, dat Berthout Henrikszn van Lier heeft overgedragen aan Gerit de Bie Jacobszn:11 hond en 32 roede (onder Oudheusden in Gaarswei);waarna Gerit deze weer aan hem heeft overgedragen voor erfpacht van 1 mud roggeKopie in groot cartularium (inventarisnr 120) pagina 212Origineel had transfix van 1500 april 8 (regestnr 1612)	01-01-1446
38	1446-04-30. 1446 april 30Schepenen van Heusden oorkonden, dat Rolof Roloofszn heeft overgedragen aan Wouter Jan Melisznszn:huis in Heusden in Peelserstraat, belast met 15 schelling;waarna Wouter dit huis weer aan Rolof heeft overgedragen voor cijns van 1/2 schild;waarna zij vidimus geven van akten van 1445 januari 4 en 1446 februari 28 (regestnrs 752, 765), waarvan 1e door 2e was gestokenOrigineel (inventarisnr 415)Met schepenzegels Peter de Vose en Aarnt Spiering van AalborgGevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 162r	01-01-1446
