	Titel	Datum
0	Aanstelling door de Staten-Generaal der Verenigde Nederlanden gegeven aan Wilco Holdingha zu Schwartzenberg als sergeant-majoor bij het regiment van de kolonel van IJsselstein	1635
2	Octroi, accordé par Philippe IV, roi d'Espagne à Hugues IV de Noyelle et Marguerite de Bourgogne de pouvoir tester	1635
4	oostzijde Korte Hoogstraat, Goswinus van Heijnsbergen	1635
6	Akte, waarbij Diederik van Haeften aan Harmen Warners voor 5000 daalders het erf de Schepersstede in pandschap geeft, 1635. 1 charter	1635
8	Akte, waarbij de Gelderse Rekenkamer Elbert van Isendoorn à Blois investituur en oprukking verleent van het herengoed Tymanserve, 1662. Met eigendomsbewijzen en akten van investituur en oprukking, 1636-1770. 4 charters en 1 omslag	01-01-1636
10	Gillis Pieck, 1635 1 charter	01-01-1635
12	Huwelijksonctract tussen Wigboldt Ripperda en Ave Isabella van Heerma, 1636	1636
14	Saaksum, 1635 feb 19	1635 feb 19
16	Aanstelling van Joost Polman tot lid van de Raad der Admiraliteit van Dokkum door de Staten-Generaal, 1635	1635
18	"Ake van bevestiging, na gerechtelijke verkoop door Sijmon Cornelis, geconstitueerde redger van Loppersum en Wirdum, ter instantie van de crediteuren van wijlen Jan Peters Backer en wijlen Anna, ehelieden, van Hindrick Dillink te Groningen, in de eigendom van ""seekeren achtpart husz, hoff ende grondt"" te Wirdum en een ""anpart"" van een heemstede aldaar, 1635"	1635
20	Huwelijkscontract tussen Wilhelm Gerlacius en Jantien van Heeck ehelieden, 1636	1636
22	Akten van verkoop door de Staten van Utrecht van lijfrenten aan Carel Martens en Jacoba Lampsins, 1636	1636
24	Akte van toestemming van het Hof van Utrecht aan Carel Martens en Jacoba Lampsins om ten overstaan van een notaris over hun goederen te beschikken, 1636	1636
26	Codicil, 1636	1636
28	Akte van verkoop en overdracht door Coenraet Steck aan Johan Deutz, beiden koopman te Amsterdam, van het zesde deel van zijn goederen in De Vuursche, erfpachtgoed van Vrouwenklooster, 1636 juli 7	1636
30	"Akte van transport ten overstaan van het gerecht van Abstede door de erfgenamen van Jan Franss. van Bemmel aan Dirck Franss. van Bemmel van het huis ""daer het bonte vercken uythangt"", met boomgaard, gelegen aan de stadsgracht bij de St. Nicolaaskerkweg, 1636"	1636
32	Eigendomsbewijs van een grafstede in de Jacobikerk voor Mathijs Clemens van Aecken, 1636	1636
34	Akte van transport door Bartholomeus van de Cley en zijn vrouw Gijsberta van Blanckendael aan hun (schoon)vader Adriaen Claess. van Blanckendael van een huis aan de zuidzijde van de Neude, 1635	1635
36	Eigendomsbewijzen van de naast elkaar gelegen huizen Oudegracht 213, 215 en 217 (B 1-3) met de daarachter gelegen woningen aan de Zwaansteeg en de Jacobsgasthuissteeg, 1636-1881	1636
38	Testament van Peter Cools, 1635	1635
