	Titel	Datum
0	Akte van verkoop betreffende Aesingazathe (80 pondematen) in de Suiderend te Grouw van Sophia van Roorda wed. van Benedictus van Velsen, gerechtsscholtus van de Fries Nassause regimenten voor Henrick de Sandra, ridder, ritmeester van een compagnie te paard, en Margaretha Tostarolis e.l., 1665; geconsenteerd (door grietman C. Roorda), 1667, gekwiteerd, 1665 1667	01-01-1665
2	Aanstelling van Georg Frederik I zu Schwartzenberg als ritmeester over een compagnie ruiters, gegeven door de Staten-Generaal der Verenigde Nederlanden	1665
4	Aanstelling van Georg voornoemd als kolonel over een regiment ruiters, gegeven door de Staten-Generaal	1665
6	Lettre du roi Philippe IV, portant permission pour Eugène de Noyelle de vendre 42 mesures de terre du comté de Noyelle	1665
8	Patente de capitaine d'une compagnie d'infanterie Wallone pour Hugues V Noyelle	1666
10	Kwitanties, aktes van afstand e.d., wegens (eeuwige) rente op land in de heerlijkheid Fallais ten behoeve van de paters Jesuiten te Leuven. Met een charter betreff. (eeuwige?) rente op land bij Molenbeeke, waarvan Peeter Hellemans fideicommissair erflater is	1618
12	Akte van aanstelling van de Staten van Holland en West-Friesland voor Willem Joseph baron van Gent als luitenant-admiraal, van het admiraliteitscollege Amsterdam, als opvolger van Cornelis Tromp	1666
14	Akte van transport door de weduwe van Troylus van Dam aan David van Marlot	1656
16	Een hof te Lohuizen met land in het Noorlerholt, 1665 1 charter	1665
18	Eigendomsbewijzen voor Adriaan van Isendoorn en zijn vrouw Peterken Hendriks Daems van land onder Vemde en Dijkhuizen, 1658-1665. 6 charters	01-01-1658
20	Akten van verpanding aan Hendrik van Isendoorn en zijn vrouw Hermelina van Hoecklum van land onder Vemde en Noorle, 1682-1688. Met vermoedelijk bijbehorend ouder eigendomsbewijs, 1665. 4 charters	1665
22	Onderhandse akte van boedelscheiding tussen de erfgenamen van Schotto Tamminga en Catrina Sickinghe, 1666	1666
24	Schuldbekentenis, groot 1.500 car. gulden, ten laste van Eucka Gaikinga anders Renghers en ten bate van Popco van Peusum, 1654. Afgelost, 1666	1654
26	Schuldbekentenis, groot 700 dalers ten laste van Sicco Rengers, vrijheer van Ameland, jonker en hoveling te Loppersum, Wirdum etc. en ten bate van Jannes Jansen te Oostum, 1650. Afgelost, 1665	1650
28	Aanvulling van haar op 13 oktober 1666 gemaakt testament door Cisilia Tamminga, ten bate van haar echtgenoot Lamorael van der Noot van Risoir, 1669	1669
30	Schuldbekentenis, groot 316 car. gulden, 13 stuivers en 5 plakken, wegens ontvangen winkelwaren, ten lase van Christina Altingh, weduwe burgemeester Hieronimus Eyben, en ten bate van Egbert van Lingen en Aaltje Sonnema, ehelieden, ehelieden, 1665	1665
32	Akten van verkoop en overdracht voor Godard van Reede van drie percelen land aan de Stichtse zijde van de Rijn in het Schild of Spijk, samen ca. 10 morgen, afkomstig van diverse personen, 1632-1666	1632
34	Akten van verkoop en overdracht door de rentmeester van het voormalig convent te Wijk bij Duurstede aan Godard Adriaan van Reede van drie percelen land onder en op de Burgwal te Amerongen, samen ruim 5½ morgen, 1665-1666	1665
36	Akte van huwelijkse voorwaarden tussen Godard van Reede en Ursula van Raesfelt, met akte van bevestiging en akte van ondertrouw, met bijlage, 1666	1666
38	Stukken betreffende de aankoop door Jacoba Lampsins van 10 morgen land in Reyerscop, 1654-1666	1654
