	Titel	Datum
0	Akte, waarbij de landvoogdes de 60.000 Carolus guldens, die door de Staten aan de Keizer zijn toegestaan, accepteert, 8 juli 1545	01-01-1545
2	Toezegging van de Landvoogdes, dat de akte van de gift van de 60.000 Carolus guldens aan de Keizer, na voldoening van dit bedrag zal worden teruggegeven, 2 november 1545	01-01-1545
4	Akte van schenking door Willem Berentz en zijn vrouw aan het klooster van al hun goederen, 1545.	01-01-1545
6	Akte van afstand door Rennert Austz aan het klooster van zijn eigendomsrech ten op een stede te Burum, 1545.	01-01-1545
8	Testament van Taco van Herama	1545
10	Koop -en consentbrief van eeuwige rente. Verk. door Anne Epedr te Morra aan Gabbe Epezn AEsgema te Oosterlittens	1545
12	"Twee aan elkaar gehechte koopbrieven van een eeuwige rente, eerst verkocht door Menno Fritema, later door Barthold Robarts. Koper in 1545 is Robart Kremer, met zegel van de stad ""Grenynghen"" (Groningen?). Koper in 1573 is Johan Veelcker, met zegel van Sycke Panser, hoevelynck tho Veenhuesen (Veenhuizen?)"	1545
14	Koopen consentbrief waarin Alydt Petersdr., wed. van Prend Peters te Leeuwarden een zate te Stiens verkoopt aal Watse van Roorda te Kubaard	1546
16	Bail de la cense (= contract van een grondrente) de Noyelle, par Ghilain de Noyelle	1545
18	Ratification du traite de mariage de Francois de Noyelle avec Marie de Lanoy, et donation ( huwelijksgift) de sa mère (-Madeleine de Culembourg) à cette occasion	1545
20	Donation de la terre de Roosbeeke par Ghilain de Noyelle â Francois de Noyelle	1545
22	Donation de la terre de Stade de Ghilain de Noyelle à Francois de Noyelle	1545
24	Donation et acte d'usufract de Ghilain de Noyelle à Francois de Noyelle	1545
26	Relief de fiefs concernant la terre de Lens dans la baronie de Berlaymont, après le trépas de Josse (Jehan) de Cruninghen	1545
28	Contrat de mariage de Francois de Noyelle et Marie de Lanoy	1545
30	Idem (als inv. nr. 2138) met een afschrift	1545
32	Minuten, kladden en verdere stukken, behorende tot het register van recessen en acten (inv. nos, 6251-6256), 1545-1571. 1 pak en 1 charter	01-01-1545
34	Akte van verkoop door Willem Bloem Jacobsz. en zijn echtgenote Marie aan Huybert van Triest, pastoor te Kesteren, van de helft van ca. 5 morgen land in het kerspel van Ochten, 1546 februari 22	1546
36	Akte waarbij abt Jacop van Baeren en het convent van Oostbroek verklaren in pacht te hebben ontvangen van het convent van Vrouwenklooster 31 morgen en 1 hond land tussen het Oostbroekerbos en de Dwarswetering te Beerschoterveld en een vierkant kampje land van 3 morgen en 2 hond in Beerschoterveld te De Bilt, 1545 mrt. 12	1545
38	Akte van transport ten overstaan van het gerecht van de Hoge en Lage Weide door Willem van Hattum Gheritsz te Ingen aan Jan Gheertszoon van Rijn van een halve morgen land in een perceel land genaamd De Biescampe, strekkende van de Rijn tot aan de Diefdijkswetering, 1545	1545
