	Titel	Datum
0	Vidimus van abt klooster van Sint-Truiden, van akte van bekrachtiging uit 1220 (zie regestnr 2) door Hugo, bisschop van Luik, van schenking door Mechtildis, abdis van Bilsen, van kapel in Biezen aan Duitse Orde, 1266Authentieke kopie van circa 1655	01-01-1266
2	Akte waarbij Marcoaldus, aartsdiaken van het bisdom Luik, en Gerard van Nassau, proost van het kapittel van Onze-Lieve-Vrouw, de kapel te Cadier afsplitsen van de moederkerk te Heugem en tot parochiekerk verheffen met afschriften, 1266	1266
4	Erfpachtakte voor Ernest van Wulven van een halve hoeve land, gelegen voor zijn huis in Langbroek, 1265. Notarieel transsumpt, 1410 mei 10	1265
6	Akte waarbij afgevaardigden van de graaf van Gelre en het kapittel van St.-Marie een regeling treffen over betwiste eigendomsrechten te Harderwijk, 1266 1 charter	1266
8	Akte van uitgifte in vruchtgebruik door de monniken van Val-Dieu aan de priester Lambertus supra forum van een huis gelegen aan het Vrijthof en een jaarcijns van een ander huis, 1265 september 6. reg. Doppler Schep, nr. 1806	01-01-1265
10	Akte van overdracht door Claes Volbuycks aan Johan, zoon van Reyner van Lutge, van 22 schellingen jaarcijns op een huis te Sint Pieter, 1426 augustus 1. reg. Doppler Schep. nr. 1265	01-01-1265
12	Getuigenverklaring van de inwoners van het bos van Echt, genaamd de Havart, betreffende het al dan niet ressorteren onder de heerlijkheid Heinsberg, bekrachtigd door de bisschop van Luik Hendrik III,[c.1260].	01-01-1255
14	Statuut, bepalende dat aan een kanunnik gedurende hoogstens vijf jaren verlof tot afwezigheid kan worden gegeven en dat uit de opbrengst van zijn prebende alsdan 10 pond zal worden uitgekeerd aan de dienstdoende kanunniken, 1266 sept. 9	1266
16	Akten van overdracht door de proosten Dirk van Hoorne en Dirk van Wijkenrode van de kerk van Woerden met tienden enz. aan het kapittel, 1265, 1288	1265
18	Bul van paus Clemens IV, waarbij deze het kapittel bevestigt in de vroeger verkregen voorrechten, 1265 mei 4	1265 mei 4
20	Akte waarbij graaf Diederik VI van Kleef op verzoek van zijn zuster, hertogin Judith van Limburg, enige tienden te Lommersum aan de abdij schenkt, 1265	1265
22	Akte, waarbij de bisschop van Utrecht het visitatierecht en de cure der Begijnen aan den Abt geeft, 1266. 1 charter	1266
24	Stukken betreffende de oprichting der parochie en hare afscheiding van die van Westmonster, 1266-1270. 3 charters	01-01-1266
26	Acte van overdracht aan de vicarissen van een rente, groot 1 oud schild 's jaars, gaande uit een huis achter Rodenburg, 1535. Met ouderen overdrachtsbrief, 1501. 2 chartersN.B. (Regesten 1265, 1352).	01-01-1265
28	1266-09-04. 1266 september 4 (in crastino beati Remacli)W., abt Sint-Truiden, geeft vidimus van akte van 1220 (regestnr 2)Authentieke kopie, circa 1655 (inventarisnr 205)Deze kopie is door M. Kortenbach, notaris in Maastricht, opgemaakt naar origineel. De bij J. Grauwels, 'Oudenbiezen', van I, nr 54 vermelde kopie dateert van 1733 en is gemaakt door W.F. Clanner, secretaris balije Oudenbiezen. De lezing van beide kopieën verschilt in datumregel vidimus, respectievelijk 1266 en 1261, en in getuigenlijst gevidimeerde oorkonde.	01-01-1266
30	Contract gesloten door het kapittel en de stad, 1266. 1 charter.	1266
32	Akte waarbij het stadsbestuur en de baljuw van Zuidholland bepalen dat het burgers van Dordrecht tot 24 juni a.s. verboden is onder hun naam koopwaren te laten invoeren of uitvoeren door vreemdelingen, die op deze manier de grafelijke tollen ontduiken	1266
34	Akte waarbij de aartsbisschop van Keulen aan zijn borgmannen in Holte een borgleen van 400 mark geeft, te ontvangen uit de tol te Neuss.	1266
36	Vidimus van een losrentebrief van 5 £ 's jaars op land bij Oudenburg en kwijtschelding aan de abdij van Loosduinen van haar bijdrage.	1265
38	Akte van een schenking van 8 morgen land door Aleid van Henegouwen, weduwe van Jan van Avennes.	1266
