	Titel	Datum
0	Akte van institutie door Philips, koning van Spanje, van Riquinus Groningensis als abt van Gerkesklooster, 1576.	01-01-1576
2	Een verklaring van Paul de Noyelle in een zaak van hem tegen Herman graaf toe Nuwenaer und Moers, aangaande de Tol te Tiel	1575
4	Akte van Philips II voor Charles de Bourgogne	1575
6	Nee obligaties en een kwitantie van Jan van Varick en vrouw Maria van Erp	1576
8	Patente de collonel d'un regiment d'infanterie Wallone, pour Paul de Noyelle	1576
10	Relief de la terre d'Estambecke (Steenbeeke), tenue en fief liège du roi notre seigr., par Maximilien de Cruninghen	1576
12	Akte van verkoop door Johan Elferdink aan Maurtis Ripperda van een stuk land, genaamd De Spickenmait in Ruurlo, 1575, met retro-acte, 1573. 2 charters, getransfigeerd	01-01-1573
14	Akte, waarbij Dirk van Keppel erkent schuldig te zijn aan Hendrik van Isendoorn à Blois en zijn vrouw Sophia van Stommel een jaarlijkse pacht van een goudgulden voor het recht een molen te leggen op de beek waar die in de Grift loopt, bij het huis van Dirk van Keppel tot Haeffcamp, in (1565) vergund aan Hendrik van Keppel, vader van de oor-konder, 1572, Met akte, waarbij de kinderen van Hendrik van Keppel deze goudgulden 's jaars beloven te betalen en de heer van de Cannenburg de voorkoop te gunnen, 1575. 2 charters	1575
16	Akte van attestatie door Henrick Janszone de Weerdt, kapelaan van Vrouwenklooster, Pauwels Gerritszone en Anthonis Corneliszone te De Bilt, dat Aerdt Adriaenszone, in leven kostkoper in Vrouwenklooster, zijn nalatenschap aan Vrouwenklooster heeft vermaakt, 1575 sept. 19	1575
18	Akte van transport door Belichgen, weduwe van Jasper van Honthorst, aan Dominicus Roeloffsoen en zijn vrouw Alidt Jansdr. van de helft van een huis en hofstede aan de Visbrug (nu: Kalisbrug) ten zuiden van de straat die loopt van de Visbrug naar de Lakensnijders (nu: Choorstraat), 1576	1576
20	Onderhandse akte van verkoop door Johan van Hensbeeck aan Gerardt Gerritsz. wonende op Zwezereng in het gerecht van Zuilen aan de Lageweidsedijk van een losrente van 18 gld. op een hoofdsom van 300 gld., 1575, met dorsale aantekening, 1595	01-01-1575
22	Akte waarbij Cornelia Jansdr., weduwe van Bruijn Frederickssoen van Raephorst, ten behoeve van Margriet Corsten Buysdr., alsmede de andere erfgenamen van haar overleden broer Hendrick Janssoen de borgstelling opheft die genoemde Henrick haar overleden man heeft gegeven voor diens schuld aan Cornelis van Duverden te Amersfoort bestaande uit een losrente van 125 gld. op een hoofdsom van 2000 gld., in 1575 verkocht onder hypotheekstelling van haar huis aan de Twijnstraat, 1587	01-01-1575
24	Schepenakte van transport door de toezichthouders op het weeshuis aan Barent Dircxz. van een wijnkelder naast het Mariënbornklooster aan de Willem Oskensstraat	1575
26	1575-06-13. 1575 juni 13Jacob Willemsz van Wijk en Willem Boudewijnsz van Wijk, schepenen van Heusden, oorkonden, dat Joost Waalwijnsz, namens kapittel van Heusden, na executie wegens verlopen erfcijns, eigenaar werd van landgoed onder Wijk aan de Auwen Auwaart en van 3 morgen onder Veen in de KievitseGegeven in 't jair ons Heeren XVc vijff ende tseventich opten dertiensten JunyOrigineel (inventarisnr 84)Met zegels schepenenMet transfix van 1576 juni 30 (regestnr 433)	01-01-1575
28	1576-06-01. 1576 juni 1Willem Boudewijnsz van Wijk en Geerling Willemsz van Engelen, schepenen van Heusden, oorkonden, dat Joost Waalwijnsz, namens kapittel van Heusden, na executie wegens onbetaalde erfcijns, eigenaar werd van 5 morgen onder VeenGegeven in 't jaer ons Heeren XVc ses ende tseventich opten eersten dach JunyOrigineel (inventarisnr 85)Met zegels schepenenMet transfix van 1577 april 17 (regestnr 435)	01-01-1576
30	Gezellenbrief voor Corneille Gherard	1575
32	Akte der schepenen van St.Pieter bij Maastricht -PetronelIa van Herode schenkt aan de Jezuïeten te Maastricht een wijngaard te St.Pieter 'onder de gauschen driesch gelegen' welke zij van haren oom Richalt van Merode geërfd had	1575
34	Brief van Balduinus ab Arigelo, provinciaal der Jezuïeten voor Nederland, meldende de oprichting van een college zijner orde binnen de stad Maastricht	1575
36	"Schepenen van Maastricht.- De jezuïeten kopen van Johan Stael de oude, een huis ""staelen huis"" geheten en gelegen bij de St.Nicolaaskerk op den hoek der Wolf- en der Bredestraat. voor de oprichting eener Latijnsche school. De koopprijs zijnde 2000 gulden, wordt hen verstrekt door de Landscommandeur der Duitschen ordens der Balijen van den Biessen"	1575
38	"Schepenen van Maastricht-Overdracht aan de Jezuïeten van 2/5 van een huis geheten ""den gulden boum' gelegen in de Bredestraat en uitkomende in de Wolfstraat. 1575 juni 15 Met transfixbrief van 26 juni 1577 waarbij Mathias Bulen den Jezuïeten kwitantie geeft van 50 brab.gulden. welke zij hem van voormeld huis waren schuldig gebleven"	01-01-1575
