	Titel	Datum
0	Contrat de mariage entre Jean de Noyelle, vicomte de Langle et Calome, seigneur de Corbehau etc., et sa cousine Marguerite de la Viseuille	1395
2	Akte waarbij priorin Alijt van Broechusen en het convent van Vrouwenklooster zich verplichten tot jaarlijkse memoriediensten voor Gijsbrecht van Abcoude en zijn vrouw Johan van Huern en voor Willem van Abcoude en diens vrouw Mary van Walcourt, 1396 febr. 18	1396
4	Akte van kwijting door Johan van der Velde en zijn vrouw Hildegonde voor priorin en convent van Vrouwenklooster wegens aflossing van hun aandeel in de lening die zij samen met Riquin Optenoort aan Vrouwenklooster hadden verstrekt, 1395 nov. 16	1395 nov. 16
6	Akten van transport door Dyrc Roemaei en zijn vrouw Gheertruyd en Vrederic Hubertszoen aan Henric Lichtenap van huizen en hofsteden, 1396 en 1419	1396
8	Akte van overeenkomst tussen mr. Gherijd van der Sterre, priester, en zijn broer Claes van der Sterre enerzijds en Wouter Halle anderzijds betreffende de vestiging van enkele erfdienstbaarheden op de hun toebehorende percelen deel uitmakende van de hofstede Te Drielenberch, 1395	1395
10	Akte van verkoop, door Henrik Aarntszn, aan Frank Diedwarenzn, van land in Leiderdorp, 1396Met authentieke kopie uit 16e eeuw	01-01-1396
12	Vidimus van akte van hertogin Johanna van Brabant van 25 januari 1396, waarin zij bestuur van 's-Hertogenbosch, en rentmeester beden aldaar, verbiedt Duitse Orde en inwoners van Gemert schattingen en beden op te leggen, 1396(Authentieke) kopie uit 17e eeuw, 1396	1396
14	Akte van overdracht, door Philips Geerlofszn, aan kartuizers, van land in Mattenesse, 1396	1396
16	Akte van overdracht, door Gisebrecht van Riede Ermgaardenzn, aan Gisebrecht van Riede Hugenzn, voor kartuizers, van 2 schepen-akten met daarin beschreven cijns in Woudrichem, 1396	1396
18	1396-02-07. 1396 februari 7Godschalk van Veen Jansz en Klaus Hoirden, schepenen van Heusden, oorkonden, dat Roelof Gerard Nevensz overdroeg, aan Gijsbrecht Jansz:huis en boerderij onder Heusden op de dijk, tegen erfcijns van 2 schilden per jaarGegeven in 't jair ons Heeren dertienhondert ende ses ende tnegentich sMaendaechs na Sinte AechtendachGevidimeerd in akte van 1513 december 20 (regestnr 260)In originali met transfix van 1420 januari 10 (regestnr 65)	01-01-1396
20	1396-01-25. 1396 januari 25 (op sente Pouwelsdach)Schepenen van Heusden oorkonden, dat Aarnt Janne Aarnt Obbenszn heeft overgedragen aan Berys Aarntszn van Wijk:4 hond met huis onder Veen in Eynge, waarna Berys dit land weer overdroeg aan Aarnt voor cijns van 1 pondOrigineel (inventarisnr 510)Met schepenzegel Jacob de Sas, dat van Pouwels Dirkszn is afgevallenMet 2 transfixen van 1430 oktober 12 en 1445 april 8 (regestnrs 577, 759)Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 78v	01-01-1396
22	1396-01-30. 1396 januari 30 (tsondages na sente Pouwelsdach)Schepenen van Heusden oorkonden, dat Dirk Nicoel Janszn, en zijn vrouw Liesbeth Willemsdr van Haren, hebben overgedragen aan Henrik Willem Philipsznszn:31/2 hond en 1 morgen in BaardwijkOrigineel (inventarisnr 134)Met schepenzegels Wouter van den Stale en Klaus HordenMet transfix van 1396 september 29 (regestnr 231) Gehecht aan akte van 1370 februari 12 (regestnr 91)	01-01-1396
24	1396-02-07. 1396 februari 7 (smaendaighs nae sinte Aechtendach)Schepenen van Heusden, Gootsscalck van Veen Janszn en Klaas Horden, oorkonden, dat Roelof Gerard Nevenzn heeft overgedragen aan Gijsbrecht Janszn:huis met hof op de dijk onder Heusden voor erfcijns van 2 Hollandse schild, waarna Gijsbrecht zich borg stelde voor dijklastenGevidimeerd in akte van 1513 december 2 (regestnr 1746)Origineel had transfix van 1420 januari 20 (regestnr 453)	01-01-1396
26	1396-03-07. 1396 maart 7 In camera dicti domini abbatis in quadam turri ibidemNotaris Renerus Nicolauszn de Ethen, geestelijke bisdom Utrecht, geeft ten behoeve van Wernerus, abt klooster Mariënkroon, vidimus van:4 getransfigeerde akten van 1340 april 2 / 1341 augustus 12 / 1366 mei 13 / 1375 oktober 5 (regestnrs 14, 15, 77, 115);akte van 1387 maart 14 (regestnr 168);2 getransfigeerde akten van 1380 november 20 en 1389 oktober 29 (regestnrs 125, 187);akte van 1394 mei 18 (regestnr 207)Origineel (inventarisnr 557)Met handmerk notaris	01-01-1396
28	1396-03-24. 1396 maart 24 (feria sexta post dominicam, qua cantatur Judica, anno Domini millesimo tricentesimo nonagesimo quinto)Schepenen van 's-Hertogenbosch, Martin Berwout en Theodoor Lu, oorkonden, dat Johan Nicolauszn de Baarle beloofd heeft aan Jacob, zoon wijlen Gerard van Vladeracken:erfcijns van 1 tournoyse groot en erfpacht van 101/2 lopen rogge uit perceel land Huisakker in Oisterwijk op Berkel, en uit recht van doorgang van Hoevel op Berkel naar Berkelsakkeren, welke percelen land en welk recht Johan had verworven van Jacob voor genoemde cijns en pachtGevidimeerd in Brabants Boek van Vidimus (inventarisnr 88) folio 102rKopie in perkamenten cartularium (inventarisnr 121) folio 69r	01-01-1396
30	1396-04-14. 1396 april 14Schepenen van Heusden oorkonden, dat Willem Luwe van Vlimen en Peter Jan Gerardszn van Vlimen, hebben overgedragen aan Peter van Leenten:1/4 hoeve onder Vlijmen in Naakte Hoek;waarna Peter van Leenten het weer aan Willem en Peter heeft overgedragen tegen pacht van 8 vat roggeOrigineel (inventarisnr 571)Met schepenzegel van Wouter van den Stale en fragment van dat van Klaus HordenGehecht aan akte van 1387 november 15 (regestnr 172)Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 131v	01-01-1396
32	1395-07-01. 1395 juli 1 (feria quinta post octavum beatorum Petri et Pauli apostolorum)Schepenen van 's-Hertogenbosch, Theodoor Berwout en Johan Coptiten, oorkonden, dat Johan, zoon wijlen Petrus Vanny, heeft beloofd aan Jacob, zoon wijlen Gerard van Vladeracken:erfpacht van 2 mud rogge uit 2 bunder beemd in Oisterwijk in Udenhout, welke 2 bunder Johan van Jacob in pacht had gekregen voor 2 oude grootGevidimeerd in Brabants Boek van Vidimus (inventarisnr 88) folio 101rKopie in perkamenten cartularium (inventarisnr 121) folio 71r	01-01-1395
34	1395-07-25. 1395 juli 25 (ipso die beati Jacobi apostoli)Deken en kapelaans kerk Heilige Katharina in Heusden geven vidimus van akten van 1393 april 25 (regestnr 199) en 1394 september 24 (regestnr 210)Origineel (inventarisnr 624)Met zegel kerk	01-01-1395
36	Oorkonde, waarbij Frederik van Blankenheim, bisschop van Utrecht, de stedelijke voorrechten van Vreeland bevestigt, 1395	1395
38	Dirk van der A aan Johan Ysbrandsz. Coeken van de erfpacht van een deel van een huis en hofstede aan de gracht Onder de Schuitenmakers bij de regulieren, 1394, met transfix betreffende de overdracht door Johan Ysbrandsz. Koec aan Korstiaan van Voorst, 1395	01-01-1394
