	Titel	Datum
0	Akte van verkoop betreffende een zathe c.a. van 34 pondematen te Engwierum, van Aeffke Meints, huisvrouw van Dirk Cornelis, te Anjum voor Cornelis Bosman, secretaris van Oostdongeradeel, en Aurelia van Wijkel, e.l. te Metslawier, 1685	01-01-1685
2	Akte waarbij Teuntje Claes van Heijcop, als gemachtigde van haar echtgenoot Jan Cornilje, c.s. aan Cornelis Botter, burgemeester van Vianen, landerijen te Altena nabij Vianen verkopen, 1686	01-01-1686
4	zuidzijde Herenstraat, hoek dwarsstraatje, Elisabeth Claassen, wed. Hendrik Lucas.	1685
6	Akte van transport aan Willem Reiniersz. Corswager van grond in de Rietpolder en de Huiszittenpolder te Stompwijk 1782; met retroacta	1685
8	Akte van huwelijkse voorwaarden tussen Anna Maria Ripperda en Assueer Torck, 1686. 1 charter	1686
10	Akte van huwelijkse voorwaarden tussen Eelco Clant en Anna van Millinga, 1685. 1 charter	1685
12	Akten van verpanding aan Hendrik van Isendoorn en zijn vrouw Hermelina van Hoecklum van land in het kerspel Oene, 1685-1702. 2 charters en 1 stuk	01-01-1685
14	Akte van scheiding van de nalatenschap van Adolf Hendrik Ripperda, 1686. 1 charter	1686
16	Huwelijkscontract tussen Ficco Veltman, commies provinciaal, zoon van Henrick Fickens Veltman, rentmeester der stad Groningen en wijlen Aeldegonda Wedda, ehelieden, en Johanna Maria Menger, dochter van Henricus Menger, burgemeester van Emden en Etta Smith, 1685	1685
18	Akte van publieke verkoop door de weduwe van Gerrijt Huijsers aan Jan Vliege van een behuizing in de Nieuwe Ebbingestraat oostzijde, 1701. Met retroactum. 1686.	1686
20	Akte van erfpacht door de stad Rhenen aan Godard Adriaan van Reede van de Zandberg, zijnde een aanwas bij Rhenen beneden de Berg tussen de Tang en het huis Remmerden, 1646, met stukken betreffende het bekrammen (met stromatten versterken van die aanwas), 1686	01-01-1646
22	Akte van overdracht na schenking door George Frederik van Waldeck Pyrmont aan Godard Adriaan van Reede van een stuk waard groot ca. zeven hond, gelegen aan de Amerongse zijde van de Rijn, met bijlagen, 1685-1687	1685
24	Stukken betreffende processen voor het hof van Utrecht door Joachim, Steven en Oswald van Boetzelaer en hun nakomelingen enerzijds, en Carel Schenk, vrijheer van Toutenburg en Batinge anderzijds, over de nalatenschap van Frederik Schenk van Toutenburg, in leven aartsbisschop van Utrecht, 1582-1686	1582
26	1686	01-01-1686
28	Akte van verkoop en transport door Hermanus van Weverwijk en zijn vrouw Dirkje Westerhout aan Jacob Constantijn Martens van Sevenhoven van het huis en erf genaamd het Regthuis van Sevenhoven, 1837, met bijbehorende stukken, 1837-1839. Met retroactum, 1686.	01-01-1686
30	Akte van benoeming door de Staten van Utrecht tot gecommitteerde tot de financiën, met aantekening betreffende het afleggen van de eed, 1686	1686
32	Akte van overdracht door Justus van Cuylenborgh, rentmeester van de ridderschap van Utrecht, aan Dirck Steenoven van 13 morgen land te Zuilen tegenover Den Daal, te weten van 4 morgen de Schaepscamp bij de Daalse steeg, 4 morgen en 448 roeden bij de Daalsesteeg, de hofstede Den Daal en de Daalsedijk, 1686 mrt. 30	1686
34	Akte waarbij het Hof van Utrecht toestemming verleent aan Johannes Lastdrager en Jacomijntjen Huyck om ten overstaan van een notaris over hun goederen te beschikken, 1685	1685
36	Choorstraat D 13, Klein Stegenburg, 1686	1686
38	Akte van openbare verkoop bij decreet van 74 roeden land onder Catharijne, eigendom van Jan van Ceulen, aan Hendrik van Vloten, 1685	1685
