	Titel	Datum
0	Dossier betreffende de nalatenschap van Jan Gondee, overleden in 1844, 1845 - 1846. Met retroacta, 1691 - 1769	01-01-1691
2	Akte waarbij de zonen van Abraham van Bylandt worden erkend als te behoren tot de Nederlandse adel, 1845 februari 8	1845
4	Akte van openbare verkoop (in tweevoud) in opdracht van G.D.S.A. Byrde aan Jacob Constantijn Martens van het huis Janskerkhof H 594, met veilingaffiche (gedrukt), 1828. Met retroacta, 1626- 1726, met bijbehorende stukken, 1829, en met stukken betreffende de afkoop van een rente aan het kapittel van St Jan, 1843-1845.	01-01-1626
6	"Inventaris (niet ondertekend) van ""de in de Koggekas berustende boeken, kwitantiën enz."". In tweevoud, met door de secretaris opgemaakte inventaris van ""rekeningen, kwitantiën, charters en papieren, berustende in de kasten in het Koggehuis"", 1841, 1846"	1841
8	Acte van verhuur door de diaconie aan Tonnis Pieters Jonker van een boerderij met land te Farnsum, kadastraal bekend gem. Aduard sectie H. nrs. 290-299, 304-314, 1846. Afschrift. Met retroacta, 1787, 1805, 1840	01-01-1787
10	"Diploma waarbij Tjepke Haitsma Mulier wordt aangenomen als broeder in den derden graad"" in de vrijmetselaarsloge ""De Friesche Trouw"" te Leeuwarden"	1845
12	Onderhandse akte, houdende een verklaring van H.O. Feith, archivaris der provincie Groningen, dat hij ontvangen heeft van J. Gockinga:Een brief van Philips II, houdende een octrooiverlening van bier- en wijnaccijns aan de stad Groningen. Doornik. 1582.Een vidimus, bevattende een brief van de Drie Delfzijlen van 31 augustus 1620, waarbij aan het Ooster Helpener Hamrik de afwatering in genoemd zijlvest wordt gegeven. 1629. Groningen, 1846	1846
14	Bul voor Adrianus Marinus Ledeboer wegens zijn benoeming tot lid van het Bataafs Genootschap der Proefondervindelijke Wijsbegeerte te Rotterdam; met een begeleidende brief	1846
16	Akte van benoeming van Mr. Adriaan Theodore Prins tot lid-administrateur van het Bataafsch Genootschap der proefondervindelijke wijsbegeerte te Rotterdam	1845
18	"Stukken betreffende de brouwerij ""De Oranjeboom"" aan de Coolvest bij de Delftse Poort (Prot. No. 1597, 1598, 1599, 1601 a, 1601 b, 1601 d)"	1669
20	Stukken betreffende panden aan de Westewagenstraat	1538
22	Bul van promotie tot doctor in medicijnen aan universiteit Leiden, 1846	1846
24	Inventaris van charters, door A.C. Snouckaert van Schauburg, (ca. 1811). Afschrift ten behoeve van P.J. Vermeulen, (ca. 1845)	1811
26	Inventaris van charters en de bibliotheek, door P. Bondam, P. van Musschenbroek en W.A. van Spaen, (ca. 1811). Afschrift ten behoeve van P.J. Vermeulen, (ca. 1845)	01-01-1811
28	Inventaris van charters, 1e supplement, door P.J. Vermeulen, (ca. 1845). Afschrift door S. Muller Fz., (ca. 1881)	1845
30	Inventaris van charters, 2e supplement, door P.J. Vermeulen, (ca. 1845) en F.A.L. Ridder van Rappard, (ca. 1880). Afschrift door S. Muller Fz., (ca. 1885)	01-01-1845
32	Akte van verkoop door Willem Bosch van Drakestein aan Carel Emanuel van Tuyll van Serooskerken van een hofstede en herberg genaamd De Klop met ca. 15 bunder weiland, sectie C 236-241, 330-335, 342-344 te Westbroek, 1845. Met retroakten vanaf 1703	1703
34	"Stukken betreffende een hofstede en landerijen in Werkhoven, genaamd ""Het Hooge Land"", en betreffende land in Houten, 't Goy en Schonauwen op naam van de familie Van Schaik, 1692-1846"	1692
36	Schuldbekentenissen ten bate van de diaconie en ten laste van particulieren; 1659 -1845	1659
38	Promotiebul van jhr. Henri Guillaume Charles Louis Janssens tot doctor in de rechten te Leiden.1846	01-01-1846
