	Titel	Datum
0	Testament de Loyse de Beaupré, veuve de Hugues III de Noyelle	1385
2	Akte van kwijting door Johan Wantenaar te Utrecht voor priorin en convent van Vrouwenklooster wegens restitutie van schade en ontvangst van achterstallige vorderingen, 1386 april 27	1386
4	Akte waarbij Gheryd Smeer van Leyden aan Herman den Weldighen een hofstede aan de zuidzijde van de Smeesteeg in erfpacht geeft, 1412. Met geïnsereerde retroacta vanaf 1385	01-01-1385
6	Akte van transport door Willam Zoudenbalch en zijn vrouw Willam aan Willam den Vos van de erfpacht van een hofstede bij het Jacobijnen- of Predikherenklooster, 1385. Met geïnsereerde retroacta vanaf 1343	01-01-1343
8	Acte waarbij de bisschop van Utrecht aan de geërfden van Jutphaas, beneden de Rijn in Galencop, in Heycoop, op Raven in de Rosweide en te Papendorp toestaat een watergang te doen graven van Hoencoop tot de Oude Rijn tot beneden het huis van Roetaart van Lanscroon en naar de Vecht, 1385. 1 charter	1385
10	Akte van verkoop, door Heinrik Gisenzn, aan Frank Diedwarenzn, van land onder Leiderdorp, 1385	1385
12	Akte van verkoop, door Jan Dirk Kintszn, aan Frank Diedwarenzn, van land onder Leiderdorp, 1385	1385
14	Akte van verkoop, door Jan, zoon van Dirk van Mattenesse, aan broeder Boudijn, prior, van renten in Mattenesse, 1385	1385
16	Akte van schuldbekentenis, door Jan Klaaszn, aan Willem Obrecht, van rente in Den Haag, 1386	1386
18	Charters graaf van Namen, 1293 - 1385	1293
20	Geschil over recht van Gijsbert Boonaerts, om griffier kwartier Maasland en dijkschrijver Hoog Hemaal te benoemen na overlijden van Engelbert de Man, 1691 - 1693Met kopie-akten , 1386 - circa 1700	01-01-1386
22	1385-06-08. 1385 juni 8 (feria quinta post festum S. Sacramenti)Schepenen van 's-Hertogenbosch oorkonden, dat Johan Bierman heeft erkend, schuldig te zijn aan Willem de Langelaar:rente van 8 pond uit huis in RidderstraatOrigineel (inventarisnr 369)Met fragment-schepenzegels Arnold Stamelare de Penu en Jacob LozeHieraan gehecht akten van 1399 januari 31 en 1411 februari 28 (regestnrs 248, 348)Gevidimeerd in Brabants Boek van Vidimus (inventarisnr 88) folio 51rKopie in perkamenten cartularium (inventarisnr 121) folio 27r	01-01-1385
24	1385-08-14. 163. 1385 augustus 14 (in vigilia Assumptionis beate Marie virginis)Schepenen van Zaltbommel oorkonden, dat Henrikus de Amerzoyen Everardzn, aan Johan Moliart Theodoorzn, voor 200 oude goudschild verkocht heeft:huis en erf in Zaltbommel, vrij van lasten met uitzondering van erfcijnsOrigineel (inventarisnr 695)Met schepenzegels Walter Taats en Rutger de DyeckdenMet transfix van 1385 augustus15 (regestnr 164)	01-01-1385
26	1385-02-24. 1385 februari 24Henrik van Malsen en Aarnt de Lange, schepenen van Heusden, oorkonden, dat Jan Hein Simonsznsz en Hein Kop afstand deden van:40 schellingen per jaar, die Ermgaart, weduwe Peter Slootmaker, trok van Robbrecht Gerard Koelkensznsz van Baardwijk en van 40 schellingen, die zij trok van Rutger den Bloten van Baardwijk, voor Peter FrederikzGhegheven in 't jaer ons Heren dertienhondert ende viif ende tachtentich op Sente MathijsdachOrigineel (inventarisnr 145)Met zegels schepenenMet transfix van 1387 november 17 (regestnr 27)	01-01-1385
28	Akte van overdracht voor de schepenbank Roermond door Johan Dederix son van der Craken en Aleyt aan Zijbrecht Herkenbosch en Lisabet van een grondrente van 40 schellingen, te weten 1 mark ten laste van hun gaam aan de Markt, 20 schellingen ten laste van de vleesbank in het vleeshuis van Pauwei Hagens de vleeshouwer en 8 schellingen ten laste van het huis te Eyssrade in de Hegstraat	1385
30	Akte, waarbij Johan van Osen voor de schepenbank Roermond verklaart Dederyc Bake, Geraert van der Koeken en Goswijn Buser, borgen voor de betaling van een jaarrente van 14 gulden aan Lambrecht van Kruchten de goudsmid en Aleyd, schadeloos te zullen houden	1386
32	Transfix; Voor Johannes de Juleymont en Godefridus de Hese, schepenen van Maastricht verschijnen Johannes genoemd Prelle, koopman en zijn echtgenote Aleydis; Arnoldus de Duobus Montibus, koopman, en diens echtgenoe Elysabet; 6 mark, 1385 juni 29	01-01-1385
34	Akte van huwelijksvoorwaarden tussen Ansean de la Loye en Isabel Daixh, beiden uit het diocees Luik en transfix betreffende grondrente van 100 mud spelt, daarmee samenhangend	1385
36	Akte van overdracht door Walterus Couman, rentmeester van het kapittel van Onze-Lieve-Vrouw, e.a. aan Reynerus, zoon van Macharius de Hese, van een huis in de Bouillonstraat, voor een rente van 33 solidi en 2 kapoenen, 1386	1386
38	"Akte van overdracht door Bartholomeus ""in vico pullorum"", als uitvoerder van het testament van Obertus de Herderen, aan de broederschap van een rente van 4 solidi ten laste van een erf in de Sint-Bernardusstraat, 1386"	1386
