	Titel	Datum
0	Rechtsbronnen betreffende Maastricht, het hertogdom Limburg, de Landen van Overmaze en het Overkwartier van Gelre (typescript) Bevat: - Transcriptie van charter van Jan III, hertog van Brabant, betreffende Itteren en Haren (1330); - Transcripties van charters der hertogen Wenceslaus en Johanna van Brabant betreffende Wittem (1355), Oost (1357), Bemeau (1359), Maastricht (1372 en 1379), Hoensbroek en Vaesrade (1388); - Transcripties van charters van Anthonis, hertog van Brabant, betreffende Maastricht (1405), Maastricht en Vleytingen (1405), de stad Limburg (1405), de Landen van Overmaze (1405), Valkenburg (1405), Maastricht en Valkenburg (1406), Wylre (1406), Valkenburg (1406), Nuth (1406), Gulpen (1406), Clermont (1411 en 1412), de stad Limburg (1412), Geulle (1413), Geleen (1414); - Transcripties van charters van Jan IV, hertog van Brabant, betreffende Maastricht (1416), Valkenburg (1417), Maastricht (1422 en 1423); - Transcripties van diverse charters, betreffende Afferden, Arcen, Asselt, Broekhuizen, Geysteren, Oirlo, Oostrum en Swalmen; - Transcriptie van een charter betreffende borgstelling door onder meer de steden Gelder, Venlo en Goch bij een geldlening; - Transcripties van charters betreffende Asselt (1275), Borgharen (1330 en 1402), Breust (1412), Eijsden (1501 en 1515), Gulpen (1364), Heerlen (1378), Hoensbroek (1388), Meerssen (968, 1145, 1152 en 1321), Nieuwstad (1377), Oud-Valkenburg (1279/1431) en Swalmen (1464 en 1556)	01-01-1145
2	Akte van overdracht door kapelaan Johannes de Merhout, ter vermeerdering van de missen gesticht door cantor Johannes de Haren, van verschillende jaarcijnzen op huizen en erven te Maastricht, voor zijn zieleheil en dat van wijlen kapelaan Lambertus de Hoerne. Met retroacta, 1413, 1415., 1416 augustus 7. reg. Doppler Schep. nrs. 1148, 1145-1147	01-01-1145
4	Vidimus, uitgevaardigd door Bartholomeus de Eyck, deken van de kerk van de heilige Katharina te Eindhoven, van de akte van koning Koenraad III van 1146, waarbij deze bevestigt dat Vlijtingen en de andere banken van Sint-Servaas in het graafschap Loon, te weten Groot-Loon, Koninksem en Mechelen, vrij zijn van de jurisdictie van de graaf van Loon en alleen onder de jurisdictie van de proost vallen, 1466 februari 8. reg. Dopplernrs. 45, 611	01-01-1146
6	Vidimus, uitgevaardigd door het kapittel van Sint-Servaas van de in inv. nr. 924 beschreven akte van 1146., 1521 januari 3. reg. Doppler nr. 716	01-01-1146
8	Charters en oorkonden betreffende Lieshout met o.a.: a.foto's en negatieven zwart/wit en kleur van de akte van 1146 afkomstig van de Nationale Bibliotheek Parijs. b.foto's van charters en zegels (23 stuks) bewaard in de abdij van Postel. c.fotokopieën uit andere bronnen betreffende charters e.d.	01-01-1146
10	Akte waarbij Albero II van Chiny, bisschop van Luik, de vrijheden van de proosdij Meerssen, door bisschop Alexander I van Luik en door aartsdiaken Heriman toegekend en door paus Innocentius II bevestigd, op zijn beurt goedkeurt, met name wat betreft de geleidelijke vervanging van de kanunniken door monniken en de positie van de parochiepriester	1136
12	Akte waarbij koning Koenraad III abt Odo van Sint-Remigius te Reims bevestigt in het bezit van de proosdij Meerssen met haar onderhorig heden; de koning herhaalt de toestemming tot de geleidelijke vervanging van de kanunniken door monniken en vaardigt bepalingen uit ten aanzien van het ambt van voogd over de proosdij. Met bijlage op papier	1145
14	Akte waarbij Hendrik II van Leyen, bisschop van Luik, de akten van zijn voorgangers, de bisschoppen Alexander I en Albero II van Luik en de akten van aartsdiaken Heriman en paus Innocentius II betreffende de proosdij Meerssen bevestigt, met name wat betreft de geleidelijke vervanging van de kanunniken door monniken en de positie van de parochiepriester	1145
16	Akte waarbij de officiaal van Reims vidimus geeft van een akte van Hendrik II van Leyen, bisschop van Luik, uit 1145, betreffende de vervanging van de kanunniken in de proosdij Meerssen door monniken; benevens vidimus van de akte waarbij Hendrik II van Leyen, bisschop van Luik, verklaart dat hertog Godfried III van Brabant het in Lithoyen gelegen allodium van de abdij Sint-Remigius te Reims-dat de hertog wederrechtelijk in bezit had genomen-weer heeft teruggegeven, 1160, 1458 september 9	01-01-1145
18	Bevestiging door paus Eugenius III van de schenking door koning Conrad III aan de kapittels van de Dom en St. Bonifatius (Oudmunster) van het recht om bij vacature een nieuwe bisschop te kiezen, 1146 mrt. 28. Afschrift, (14e eeuw)	1146
