	Titel	Datum
0	Akte van overdracht door Rutger Wouterszone aan Heynrick van der Wiersse ten behoeve van Geertruud die Ridder, vrouwe van Vrouwenklooster, van 4 morgen land in een halve hoeve gemeenschappelijk met Dirck Aertszone te Boeicop, 1468, met retroactum, 1465.	01-01-1465
2	Akte van overdracht door Rutger Wouterszone aan Heynrick van der Wiersse ten behoeve van Geertruud die Ridder, vrouwe van Vrouwenklooster, van 4 morgen land in een halve hoeve gemeenschappelijk met Zweder Henrick Gijsbertssoen te Boeicop, 1468, met retroactum, 1465.	01-01-1465
4	Akte van overdracht door Ernst Reynerszoen van Oudenbernevelt, zijn moeder Ka-tharijn, Alydt Claes Zoes weduwe en Johan de Ridder ten behoeve van de priorin van Vrouwenklooster, zijn zuster, van een halve hoeve land van de Ameronger Wetering tot over de Lekdijk heen te Amerongen, 1466 okt. 15	1466 okt. 15
6	Akte van afstand door Gerijt Gerijtzone, Willam Gerijtszone, Wouter Janszone, Anthonis Dircszone, Henric Gijsbertszone en Peter Willam te De Bilt aan het convent van Vrouwenklooster van de nalatenschap van hun nicht Nelle van Oeyic, 1466 jan. 30	1466 jan. 30
8	Akte van transport door Henric Vogel en zijn vrouw Angnyesen aan Gijsbert Gerytssoen van het achtste deel van een huis en hofstede aan de westzijde van de Mariastraat, 1466	1466
10	"Akte van transport door Jan Crom en zijn vrouw Armgairt aan Dirck Bor van Amerongen Iacopssoen van 2 huizen aan de Korenmarkt (nu: Oudegracht) ""neffen over"" het Regulierenklooster ten zuiden van de stadstrap, 1466"	1466
12	Akte van transport door Gerrit en Johan van der Borch aan Peter van Tornout van een rente, vermeld in een getransfigeerde akte, 1465. Met geïnsereerd retroactum, 1438	01-01-1438
14	Akte ten overstaan van het gerecht van Utrecht. Fragment, 1465	1465
16	Akte van transport door Yde, weduwe van Dirc van Jutfaes, aan Jan van Lewen Aelbertssoen van een rente, vermeld in een getransfigeerde akte, 1465. Met geïnsereerd retroactum, 1465	01-01-1465
18	Akte van transport door Gijsbert en Joost, zonen van Jan de Roden, aan Peter Ottenzoon van de helft van een huis en hofstede, vermeld in een getransfigeerde akte, 1466	1466
20	Akte van transport door Jan van Ryebeeck en zijn vrouw Belij aan Jan van Cleef, van een rente van 11 pond, nader omschreven in een getransfigeerde akte, 1466	1466
22	Acte waarbij de stad Utrecht garantie verleent aan de oude en nieuwe Raden, waaronder Adriaen van Lantscroen, die gelden aan de stad hebben voorgeschoten, dat dit geld hun op aanvrage zal worden teruggegeven, 1465. 1 charter	1465
24	Akte van overdracht door schepen van Breda aan Claeus Wijtmanszn van Meer van ½ huis aan Brugstraat naast diens voorhuis, 1465 oktober 9	1465
26	1465-01-29. 1465 januari 29 (anno Domini millesimo quadringentesimo sexagesimo quarto)Schepenen van 's-Hertogenbosch, Johan van Erp Arnoldzn en Johan van Arkel Petruszn oorkonden, dat Johan, zoon wijlen Johan Vleminc, heeft verkocht aan Johan, timmerman, zoon van Johan van Wit:erfcijns van 40 schelling uit huis en erf van verkoper in straatje aan OrthensestraatGevidimeerd in Brabants Boek van Vidimus (inventarisnr 88) folio 124rKopie in perkamenten cartularium (inventarisnr 121) folio 6v	01-01-1465
28	1465-08-07. 1465 augustus 7Schepenen van Heusden oorkonden, dat Jan Jordenszn heeft beloofd aan hoofdlieden Sint-Catharinangilde en broederschap in kerk van Heusden:cijns van 1 Bourgondisch schild uit 1 morgen onder Oudheusden op Westakker en uit 1 morgen met huis aldaar, welk schild Gerrit Peterszn, priester en pastoor in Genderen, heeft gegeven tot vermeerdering mis in kerk van Heusden op Sint-Catharina-altaarOrigineel (inventarisnr 496)Met schepenzegel Melis Dirkszn, dat van Lubrecht Pouwelszn van Woeringen is afgevallenHieraan gehecht de akte van 1488 juli 20 (regestnr 1482)Gevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 21r	01-01-1465
