	Titel	Datum
0	Handvest van graaf Willem II betreffende het leggen van een schutsluis in de Spaarndam en de bevoegdheid van de heemraden ten aanzien van die dam, de zeedijk, Zwammerdam en de Zijdwinde, 1255	01-01-1255
2	5008/22Willem II belooft dat er geen nieuwe gemeenschappelijke spui zal worden gelegd bij Sparendam en omstreken, evenmin in de landscheiding, zeedijk en de Zwadenburgerdam, zonder overleg met de hoogheemraden.	1255
4	Akte van overdracht door Rutger van Mersche, roededrager der kerk van Sint-Servaas, aan de broederschap van 28 schellingen en een derde kapoen jaarcijns op huizen op het Vrijthof en het Eggerixgaet, voor de jaargetijden van hemzelf, van zijn echtgenote Mechtild en van zijn ouders. Met retroacte, 1424., 1439 september 29. reg. Doppler Schep. nrs. 1257, 1256	01-01-1256
6	Akte van overdracht door Herman van Hese, schepen van Maastricht, aan het kapittel van vier marken, negen schellingen en vijftien kapoenen jaarcijns op verschillende huizen en land, voor het jaargetijde van deken Everard van Reijs, 1424 september 27. reg. Doppler Schep. nr. 1255	01-01-1255
8	Akte waarbij de deken en het kapittel van O.L. Vrouw te Aken de overeenkomst goedkeuren waarbij hun cantor in hun naam aan het kapittel van Sint-Servaas de nona te Dilsen in erfpacht heeft gegeven, 1255 september 9. reg. Doppler nr. 170	01-01-1255
10	Acte van eigendomsoverdracht door de proost van Tiel aan de commandeur van het Duitsche Huis te Hemert van enige goederen door zekere Hubert in leen gehouden, 1256. 1 charterN.B. Beschadigd. Cod. Dipl. nr. 566.	1256
12	Getuigenverklaring van de inwoners van het bos van Echt, genaamd de Havart, betreffende het al dan niet ressorteren onder de heerlijkheid Heinsberg, bekrachtigd door de bisschop van Luik Hendrik III,[c.1260].	01-01-1255
14	Akte van Floris de Voogd, waarbij deze verklaart aan gravin Margaretha van Vlaanderen wegens Zeeland leenhulde te hebben gedaan,21 oktober 1256 Vidimus van 1296 Afschrift Godefroy.[z.d.]	01-01-1256
16	Vidimus van een brief d.d.1256 waarbij paus Alexander IV het klooster vergunt de goederen der nonnen te aanvaarden.1323.	01-01-1256
18	Uitspraak door bisschop Hendrik van Vianden in de geschillen tussen de vijf kapittels en de regering van de stad Utrecht, onder andere over het wijnverbruik van de kanunniken, 1256 jan. 13	1256 jan. 13
20	Akte waarbij het kapittel van Kerpen een grondrente van 10 Luikse solidi, verschuldigd door Henricus de Strithagen, vermindert tot 5 Keulse solidi 's jaars, onder de bepaling dat de abt van Kloosterrade bij wanbetaling de banvloek tegen Henricus de Strithagen zal uitspreken, 1256	1256
22	Acte, waarbij het kapittel van St. Marie aan heer Henrick van de Leck den tol te Smithuysen, later te Emmerik, en de hoven Ewijk en Malburgen in erfpacht geeft, 1255, gevidimeerd in 1344. Met latere stukken betreffende deze verpachting, 1336-1489. 5 charters en 1 omslagN.B. reg. no. 6, 107, 142, 276, 277, 1345 en 2452. Omslag ontbreekt.	01-01-1255
24	Herman, heer van Lon, verkoopt aan graaf Otto, zijn gerichter, jurisdictionem, te Zelhem en Hengelo, als mede vijf plaatsen welke malgoed zijn, en beloofd wegens het castrum Bredevoorth, ledigman van den graaf te zullen zijn, 1255 september 28 (1255 in vigilia beati Michaelis). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1255
26	Door den abt en het conventus monasterii Tuiciensis verkogt aan graaf Otto van Gelre, hunne goederen in Elthingen, in Velpe, in Rinerio en in Wie, voor 400 mark Keuls, 1256 (sonder dagteekening). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1256
28	Belofte van graaf Otto, aan de weduwe van Arnold Pape gedaan, dat, so zij de renthoeve van 't capittel van Sent Maria te Utregt mogte kwijt raken. Hij als den renthoeve in Zevenare, so als gekogt was voor zijn geld, weder zoude behouden of reserveren, 1256 april 9 (1256. in die Palmarum). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1256
30	Brief waarbij Hermannus dominus de Loen aan graaf Otto verkoopt zijne jurisdictie bij Selehem en Hengelo super Goie, alsmede vijf huizen, domus, wel Malegud zijn etc., 1255 september 28 (1255 vigilia beati Michaelis). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen. Aanwezig als vidimus d.d. 1312 juli 24: zie inv.nr. 88. Zie ook 1246 augustus 2, 1256 december 28, 1257 juni 13.	01-01-1255
32	Brief waarbij door 't kapittel van S. Marie te Utrecht aan graaf Otto van Gelre gecedeert en verworden alle de goederen welke het gemelde kapittel tusschen de Lek en de Linge, waarvan twee derde part toebehoorden aan den heer van Rode., 1256 december 28 (1256. in die Sanctorum Innocentum). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen. Aanwezig als vidimus d.d. 1312 juli 24: zie inv.nr. 88. Zie ook 1246 augustus 2, 1255 september 28, 1257 juni 13.	01-01-1256
34	Akte van vergunning, door paus Alexander IV, voor heremieten orde van Sint-Wilhemus, om op draagbaar altaar voor hen en hun ordegenoten plechtige missen op te dragen, 1256	1256
36	Akte van vergunning, door paus Alexander IV, voor heremieten orde van Sint-Wilhelmus, om uit handen van leken tienden te kopen, behoudens recht van oorspronkelijke eigenaren, 1256	1256
38	Stukken betreffende de incorporatie van de kerk van Arnhem in het klooster van Prüm, 1255-1264. Met notarieel transsumpt dezer acten d.d. 1427. 4 chartersN.B. (Regesten 8, 9, 11, 652).	01-01-1255
