	Titel	Datum
0	Akte waarbij keizer Frederik II de kerk van Sint-Servaas onder zijn speciale bescherming neemt en de door zijn voorgangers gegeven privileges bevestigt, in het bijzonder het privilege van rechtsvrijheid voor het personeel van het kapittel, 1215 juli 28. reg. Doppler nr. 73	01-01-1215
2	Akte waarbij koning Karel IV het privilege van keizer Frederik II van 28 juli 1215 bevestigt, 1354 april 2. reg. Doppler nr. 328	01-01-1215
4	Akte waarbij koning Rudolf de privileges door keizer Frederik II op 18 juli 1215 en 9 september 1236 aan het kapittel geschonken, bevestigt, 1273 november 1. reg. Doppler nr. 194	01-01-1215
6	Akte van overdracht door Kathryna, weduwe Martinus de Vorse, c.s. aan het kapittel van een mark jaarcijns op haar huis in de Statenstraat, voor het jaargetijde van genoemde Martinus en Kathryne, 1419 november 11. reg. Doppler Schep. nr. 1215	01-01-1215
8	Akte van overdracht door kanunnik Arnoldus de Cigno aan kanunnik Johannes Meem ten bate van het kapittel van twee marken jaarcijns op zijn claustraal huis, voor de jaargetijden door genoemde Johannes Meem in zijn testament bepaald of nog te bepalen, 1419 december 5. reg. Doppler Schep. nr. 1216	01-01-1216
10	Bul, waarbij paus Innocentius III aan de abdij toestaat tijdens een generaal interdict missen te houden, 1215	01-01-1215
12	Akte, waarbij graaf Willem I uitspraak doet in een geschil tussen de abt en Willem van Egmond over de advocatie, de tol te Alkmaar en andere punten, 1215 (vidimus van 1321)	01-01-1215
14	Akte, waarbij de abt de inwoners van Boekel onder de parochie van Heiloo vrijstelt van het begrafenisrecht en de parochiegeestelijke van Heiloo een graanrente uit abdijlanden in Boekel schenkt, c. 1215	01-01-1215
16	Jacobus, bisschop van Zuden, geeft vidimus van de brief d.d. 1215 augustus 28 (Reg.no. 24). Oorspr. (Inv.no. 98). Het zegel van de oorkonden is verloren.	1215
18	Akte, waarbij Engelbert, proost van de Dom in Keulen en proost van Deventer en Zutphen, zijn goederen, gelegen in Trimethe, verpacht aan het kapittel in Zutphen 1203-1216	01-01-1203
20	Paus Innocentius III neemt het kapittel en de aan hetzelve toebehorende kerken, tienden en hoven onder zijn bescherming, 1215 mei 28	1215 mei 28
