	Titel	Datum
0	Akte waarbij Willem Dop, als gemachtigde van Philip Marie graaf van den Boetzelaar c.s., aan Carel Gustaaf Falck een huis en erf, aan de noordkant van de Voorstraat, en een kamer, aan de zuidkant van de Breestraat te Utrecht, verkoopt, 1775	01-01-1775
2	Aanstelling van Georg voornoemd als curator van de Academie te Franeker, gegeven door de Staten van Friesland.	1776
4	Akte waarbij Wilco thoe Schwartzenberg en Hohenlansberg een korenpapiermolen, percelen land en het klooster te Renkum in leen ontvangt, 1775	01-01-1775
6	oostzijde Blekerslaan, Hendrik Muijdermans.	1775
8	oostzijde Voorburg of Kikkerstraatje 3 huisjes, Jan Anthonie Stam.	1775
10	zuidzijde Westeinde, wijlen Dirk Alefs	1776
12	Akte van belening van Reinder Carel van Isendoorn à Blois met de Emster tiend, grof en smal, leenroerig aan Bahr, 1776. Met latere akte van belening en volmacht, 1783. 2 charters en 1 stuk	1783
14	Onderhandse akte van eigendomsoverdracht door pastoor Franciscus van Dole te Bedum aan pastoor B. Meddens van de vaste en altoosdurende beklemming van een kamp land te Bedum, 1798. Met retro-acta, 1775, 1776 en 1780. Met aantekening, z.d	1775
16	Akte van verkoop en overdracht door Johannes Klinkert en Grietje Jans, echtelieden, aan Roelef Smit en Trijntjen Hendriks, echtelieden, van een behuizing met kelder aan de Vismarkt noordzijde bij de Akerk, 1775. Met retroacta, 1757, 1752	1752
18	Akte van belening	01-01-1738
20	Akte van belening door het leenhof van Zuilen van Aletta Lucretia Martens met 4 morgen land in een perceel van 5 morgen, waarvan 3 in Reyerscop en 2 in Indijk, 1738 (-1776), en uittreksel uit de akte van verdeling van de nalatenschap van David Johan Martens betreffende de toedeling aan haar van dit perceel, 1738.	01-01-1738
22	Akte van aanstelling door de Staten-Generaal van Frederik van Reede tot raad van de admiraliteit van Amsterdam, 1776 april 23	1776
24	Akte van overdracht voor een jaar door Joseph Tolver aan Thomas Quarles van een woonhuis c.a. te Foulsham, voor de som van 15 pond, 1776 nov. 5	1776 nov. 5
26	Akte van benoeming door het stadsbestuur van 's-Hertogenbosch van Jacob Kien tot rentmeester van het politiekantoor, met verklaring van eedsaflegging, 1775	1775
28	Akte van transport door Carel August Wilhelm baron van Bose en zijn vrouw Anna Catharina van Vianen ten behoeve van Cornelis van Blaricum van een huis met erf en grond in de Bemuurde Weerd, 1798. Met retroacta, 1776, 1785	1776
30	Akte van aanstelling van jhr. Balthasar Constantijn van Lijnden, heer van Lunenburg, als buitengewoon raadsheer in het Hof van Utrecht, 1776	01-01-1776
32	Lijst van charters en papieren van adellijke Bronkloostergoed onder Velp, circa 1775 - 1800	1775
34	Schepenakte van transport door Pieter Beelaerts van Blokland met volmacht van zijn vader aan de Nederlands Hervormde Kerk van twee losrenten	1776
36	Akte waarbij door de Staten van Holland Ocker Gevaerts benoemd wordt tot raad en rentmeester-generaal van de domeinen van Brielle, Voorne en de Beijerlanden	1775
38	Lijst van boeken, charters en papieren gevonden in het sterfhuis van Thade Pieters Jongh, betrekking hebbend op dorpszaken; tevens kwitantie, 1775. Eigentijds afschrift	1775
