	Titel	Datum
0	Bul voor Wijbius Wijbrandi wegens het behalen van de doctorsgraad in de rechten aan de academie van Franeker, 1755; met aanhangend zegel.	01-01-1755
2	"""Afcomste van de seer oude Heerlyck en Ridderlyck Huys van Van Haren gelegen in den Lande van Valkenburgh, Over-Mase, onder de Banck van Heerle in Voerendael begrijpende onder zijn Jurisdictie Laet-hoff en Chyns-hoff etc."" Stamboom van de familie Van Haren vanaf ca. 1240, op verzoek van Willem van Haren -de dichter- opgemaakt en bekrachtigd door de Kamer Heraldiek van Maria Theresia, koningin van Hongarije en Bohemen, 1756"	01-01-1240
4	Eigendomsbewijzen en stukken betreffende het beheer van de buitenplaats Bassenhof, sinds c. 1780 Rusthof c.a. te Abcoude Baambrugge,	1755
6	westzijde Brouwersgracht/hoek Klein Spijkermakersslop, Willem Sulders	1756
8	Akte van benoeming van Paul Engelbert Martens tot raad-ordinaris in het Hof van Utrecht, met aantekening betreffende het afleggen van de eed, 1755	1755
10	Akte van transport door Hendrik Hilkemijer aan Gerrit van Middelkoop van een kamer met twee woningen in de Korte Jufferstraat, 1756	1756
12	Akte van benoeming door de Staten van Utrecht van Nicolaas Kien tot ontvanger van de 20ste en de 40ste penning, ingaande in 1755, 1752, met verklaring van eedsaflegging, 1755	01-01-1752
14	Bul als doctor juris van de academie te Leiden voor Johannes Leoninus van Edam, 1756	01-01-1756
16	Leden familie Pattijn, circa 1680 - 1755	1670
18	Akte van machtiging, door prinses Anna machtiging, aan stadsbestuur Breda, tot heffen nieuwe belastingen ten gunste van armenkas stad, fotokopie, 1755	1755
20	Stukken betreffende de borgstelling van de rentmeesters van het kapittel en/of het klooster te Oldenzaal voor hun beheer, 1664-1755.	1664
22	Stukken betreffende de verkoop van percelen houtgewas uit het Kortenbos en het Stokkumerbos in Bergh, 1464-1756. 1 band en 2 chartersN.B. Deze bossen werden in 1728 door Anton Speckeslager in eigendom verworven.	01-01-1464
24	Akte waarbij door de Staten van Holland Ocker Gevaerts veniam aetatis verleend wordt tot het beheren van zijn goederen	1755
26	Akte van schuldbekentenis voor de schepenbank van Maasniel, Leeuwen en Asenray, groot 174 pattacons, ten behoeve van kanunnik T.H. de Pallant en ten laste van Joannes Leyendeckers en diens echtgenote Margaretha Willems	1755
28	Akte van transport door Arnoldus van der Heijde aan de polder van een strookje land in de Middelpolder bij de ringsloot onder Ter Aar, 1755	01-01-1755
30	Akte van transport door Christaen van Dousborg en Cornelia Gelissen, echtgenoten, aan de diaconie van een huis en erf gelegen aan het Helschriksel en genaamd 'De Stadt Dorth', met retroacta 1732 en 1755;	1755
32	Akte van overdracht aan het bestuur van de polder van 93 roeden afgegraven land, door Dirck Bosveld, stadhouder van de Lande van Strijen, ten behoeve van het ophogen en verzwaren van de zuidkade van de molenvliet nabij de Waleweg, alsmede akte van verklaring van landmeter Cornelis Hania	1755
34	Overdrachtsbrieven van landen aan de Wierikkerdijk, onder Bodegraven en Langeweide, aan Rijnland, Delfland en Schieland; met bijbehorende stukken, 1727-1756	01-01-1727
36	Aankomsttitel van een halve ommegang in het Zandsterrecht, 1756	1756
38	Benoeming door de Staten-Generaal van jr. Sjuck Gerrold Juckema van Burmannia Rengers tot Raad van State, 1755	1755
