	Titel	Datum
0	Testament van Sicka Allartsz. te Dronrijp, betreffende o.a. Oedsingahuis aldaar alsmede beschikkingen ten behoeve van de priesters en de armen te Dronrijp. 1476	01-01-1476
2	Akte van transport waarbij het klooster en Harke Sybama land te Burum en Anninghedorp ruilen, 1476.	01-01-1476
4	Stukken betreffende de jurisdictie van het klooster over de meiers in Lange wold, Achtkarspelen en Burum, 1476-1495.	01-01-1476
6	Artikelen betreffende de Maarlinger-zijlen	1475
8	Akte van afstand door Claes van Galencoep ten behoeve van het convent van Vrouwenklooster van zijn aanspraken op 11 morgen land in de Harmelerwaard, 1475 nov. 6	1475 nov. 6
10	Akte van transport door Jan van Ouwecoop en zijn zuster Lysbeth aan hun broer Wouter van een rente, vermeld in een getransfigeerde akte, 1475	1475
12	Akte van transport met een geïnsereerde akte van afstand door Ghellmer, Johan en Beernt van Gronevelt aan hun moeder Beerten van de door hun vader Jacob Tymansz. nagelaten goederen gelegen buiten de stad Utrecht d.d. 1460, 1476. Fragment	01-01-1460
14	Akte van overdracht ten overstaan van leenmannen door Adaem van Heukelum aan Jan van Weerdenborch van de heerlijkheid van Rumpt en Gellicum, met bijbehorende rechten in leen gehouden van de hertog van Gelre, 1475	1475
16	Akte van overdracht door Gherijt Ghijsbert Oudecoepssoen aan Jan Janssoen van een kamp van 13½ hond land te Breukelerwaard, 1476 mei 17	1476 mei 17
18	Akte van transport door Eerst Taets van Amerongen en zijn vrouw Steffeme, alsmede Aernt Dirck Taetsensoen aan Matheeus Koevoet en zijn vrouw Ermgairt van de helft van een rente, vermeld in getransfigeerde akten, 1475	1475
20	Akte van transport door Geryt Schaey en zijn vrouw Geertruyt aan Aernt Ram van een rente van 14 pond en 6 schellingen, nader omschreven in een getransfigeerde akte, 1476. Met geïnsereerde retroacta vanaf 1436	01-01-1436
22	Akte van transport door Jacob Jacobssoen van der Borch aan Alyt, dochter van hem en Alyt, vrouw van Roeloff van Sanen, van een rente, vermeld in een getransfigeerde akte, 1476	1476
24	Akte van transport door Beernt van Gruenevellt aan zijn broer Jan van een rente, vermeld in een getransfigeerde akte, 1476	1476
26	Akte van overdracht, door Jan Noije Jacobszn, aan Klaas van Hoesden, prior, van goed in Sandoel in Raamsdonk, 1475	1475
28	Akte van schuldbekentenis, door Jan Klariszn, aan Herman Haek, van erfrente, 1475	1475
30	Akte van overdracht door Adryaan, zoon Jan Jannis van Eijndmeer, aan heer Gielis van Buersleden, kanunnik in Breda, van huis nader aangeduid in doorstoken brief van 1475, 1478 oktober 10	1475
32	Akte van verkoop, door Jacob, graaf van Heurne, heer van Altena, Cortershem en Cranendonk, aan vrouwe Wilhelmina van Kessel, abdis van klooster in Roermond, van dienst van wagen en knecht met 2 paarden, die haar goed in Huchten aan zijn huis van Cranendonk schuldig is, voor 250 rijnsgulden, 1475	1475
34	1476-06-19. 1476 juni 19Schepenen van Heusden oorkonden, dat Henrik Henrikszn heeft overgedragen aan Lambrecht, prior Mariënkroon:11/2 morgen onder Drongelen op de Rode;waarna Lambrecht dit weer aan Henrik heeft overgedragen tegen cijns van 30 Bourgondische stuiverOrigineel (inventarisnr 195)Schepenzegels Willem van Wijk Willemszn en Gerrit van Katwijk zijn afgevallenGevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 90v	01-01-1476
36	1475-03-08. 1475 maart 8Schepenen van Heusden, Jacob Zegerszn van Cuyck en Jan Matthijs Peterszn, oorkonden, dat Jacob Spiering van Aalborg voor Frank Wouter Biermanszn afstand heeft gedaan van:7 hond onder Hedikhuizen in WijnselGevidimeerd in Hollands Boek van Vidimus (inventarisnr 87) folio 56r	01-01-1475
38	1475-06-05. 1475 juni 5Schepenen van Oirschot geven vidimus van akte van 1450 juni 12 (regestnr 398) en oorkonden dat Aart van Kervelum beloofd heeft aan Joerden Janszn van Geldrop, kanunnik van Oirschot, hem eigendomsakte in geval van nood te overhandigenOrigineel inventarisnr 323Met fragment-schependomszegel	01-01-1475
