	Titel	Datum
0	"Verklaring van de afgezanten (""raeden"") van Karel, Koning van Spanje, dat de inwoners van Friesland, op grond van de overdracht van dit gewest aan de Koning door de Hertog van Saksen, van de eed aan de Hertog zullen ontslagen, zodra zij de Koning hulde hebben gedaan. (op papier), 22 oktober 1516"	01-01-1516
2	Akte, waarbij George, Hertog van Saksen, zijn recht op Friesland aan Keizer Karel V op de daarin genoemde voorwaarden afstaat, 19 mei 1515	01-01-1515
4	Akte van ratificatie door Karel, Prins van Spanje, van de privileges door Heer Floris van Egmond aan de Friezen verleend, 10 augustus 1515; notarieel afschrift uit die tijd	01-01-1515
6	Stukken betreffende verlening van vrijgeleide en bescherming aan abt en klooster door de wereldlijke overheid, 1516-1523.	01-01-1516
8	"Akte van overdracht door Katheryne, weduwe van Dreyss Wymmerts, aan Peter van Heynsberch van een jaarlijkse rente groot anderhalve gulden, komende uit een hof en ""hoppengarde"" aan de ""Sint Ailbrichtstrasse"" te Aken, gepasseerd voor rechter en schepenen van die stad, 1515"	01-01-1515
10	Confirmatiebrief (=bevestiging) betreff. leenbrief uit inv. nr. 805, voor Frederik von Grumbach, drossaart en ambtman te Harlingen	1516
12	Leenbrief van Bildtland door Karel V gegeven aan Hessel van Martena	1516
14	"Andrieu Fremin, knaap, algemeen stadhouder van de sénéschal(k) (= baljuw) van Ternois, baljuw van het graafschap Sainct Pol, en zegelbewaarder van het genoemde sénéschalkschap, met mannen van leen uitmakende het Hof van Sainct Pol (""hommes desservants en la court du chastel du dit Sainct Pol"") oorkonden dat de gemachtigde van Adrien de Mailly, ridder, heer van Ravemberques, van l' Estoille en van Busquoy, heeft overgedragen aan Charles de Bours, heer van Authignoeul, het heerlijk goed Bours met onderhorigheden, volgens de hierbij ingelaste brief dd. 19 nov. 1515, waarbij Jehan de Boillon, raad in Montdidier, koningklijk zegelbewaarder van het baljuwschap Vermendois te Montdidier, oorkondt dat voôr twee notarissen aldaar ditzelfde goed is overgedragen, en met een tevens ?)ierbij ingelaste notariële acte, dd. 25 Bep. 1515, waarbij Isabeau d'Ailly, douairière de Mailly, moeder van Adrien, toestemming verleent tot de overdracht, en van haar kant daartoe procuratie geeft op de genoemde gemachtlgde, St. Pol, 30 nov. 1515."	01-01-1515
16	Don d'une rente de 12 carl. florins (eeuwige rente) aux pauvres de Stade, par Ghillain II de Noyelle et sa femme	1516
18	Koopakte van het graafschap Bours, door de graaf de Noyelle gekocht	1516
20	Acte waarbij de gebroeders Aelbert en Henrick van Eyst aan Reyner van Doetinchem een rente van 15 oude butkens, gaande uit diens goed De Ghiir onder Gorssel, burrschap Eschede, overdragen, 1515. 1 charter	01-01-1515
22	Akten van attestatie dat Anthonis de Ridder pas in 1515 aan het convent van Vrouwenklooster de vier voorgaande charters betreffende 4 morgen land en nog eens 4 morgen land te Boeicop heeft overgedragen, 1521.	01-01-1515
24	Akte van uitgifte van een rente door Marie van Suylen, weduwe van Ghijsbert van Herwaerden, aan Dierckgen, dochter van Dierck van den Velde, vanwege een lening, 1516 april 10	1516
26	Akte waarbij Henrica van Erp, abdis van Vrouwenklooster, procureurs stelt in het proces voor de officiaal van Keulen, 1515 nov. 14	1515 nov. 14
28	Akte van belening door de proost van het kapittel van Oudmunster van Jacob van Leewen Janszoen met een hofstede in de Oudelle (Nieuwegracht), 1502, met aantekening betreffende de vernieuwing van de leenhulde, 1515	01-01-1502
30	Akte waarbij de officiaal van de aartsdiaken aan alle kerkelijke functionarissen en met name de priesters van de Buurkerk opdraagt de wereldlijke autoriteiten aan te sporen de op verzoek van Gijsbert Bomert geëxcommuniceerde Joannes opden Wiel gevangen te nemen en zijn goederen in beslag te nemen, 1516	1516
32	Choorstraat, Groot Stegenburg, 1516	1516
34	Acte van huwelijksvoorwaarden tusschen Reyner van Voerst, heer tot Doirnborch en Lijsbeth Zoudenbalch, 1515. 1 charter	1515
36	Schepenakte van verkoop door Frans Willemsz. Buijs aan Truijken Soetmansdr. van een stuk land gelegen in Heinenoord	1516
38	Testament van Henricus Slaets, inwoner van Gemert, verleden voor Petrus Mathei, vicecureit van Godefridus Hillen, pastoor van Gemert, 1515	1515
