	Titel	Datum
0	Rentebrief, groot 5 witte stuivers jaarlijks, uit een huis te IJselstein voor het kapittel en 2 voor de kosterij.145?	01-01-1166
2	Stukken betreffende de stichting van 7 prebenden in de kerk te IJselstein.1359, 1373 en 1376	01-01-1166
4	Notariële akte aangaande de uitvoering van de opdracht van de paus tot verheffing van de parochiale kerk te IJselstein tot een collegiale, 1396. Met de akte van de paus dd. 1396 en transumpt van deze akten dd.1475	01-01-1166
6	Akte van stichting van een achtste prebende door WILLEM VAN EGMOND, heer van IJselstein, 1448. Met confirmatie door de bisschop van Utrecht, dd.1448	01-01-1166
8	Brief, waarin PHILIPS VAN BOURGONDIË de graaf van Meurs verzoekt om de vrouwe van Heemskerk te beschermen in het bezit van een door haar gekochte waard in het land van Altena.z.j.	01-01-1166
10	Akte, waarbij AERNT VAN ZEVENBERGEN zijn vrouw een lijfrente toezegt, groot 200 gouden franse kronen jaarlijks, uit de accijns van Zevenbergen.146?	01-01-1166
12	Akte van verpachting voor het leven door het kapittel van Oudmunster te Utrecht aan heer JOHANNES VAN MERLOE van een stuk land met tiend, cijns en gerecht in Eiteren. 1263. Met oudere pachtakte dd.c. 1166	01-01-1166
14	Akte van verkoop van een hofstede te Benschop door de Sint-Nicolaaskerk te IJselstein aan CORNELIS JAN PETERSZ.16e eeuw	01-01-1166
16	Akte, waarbij het kapittel van Sint Marie te Utrecht het collatierecht van de kerk in IJselstein, uitgezonderd het dekenaat, aan heer FLORIS VAN EGMOND en opvolgende heren van IJselstein geeft, 1524. Met akte van bevestiging door de bisschop van Utrecht dd.1524	01-01-1166
18	Belofte van bijstand van HENRICH VAN HOMPESCH ten behoeve van [...].	01-01-1166
20	Akte waarbij Philips van Heinsberg, aartsdiaken van het bisdom Luik, verklaart dat Goswinus van Meerssen de kanunniksprebende die hij zonder toestemming van de abt van Reims te Meerssen had verkregen, heeft neergelegd	1165
22	Rentebrief ten behoeve van de vicarissen, groot 3 oude schilden 's jaars, gaande uit een huis in de straat tusschen de Kerkstraat en de Ketelstraat, 1489. Met ouderen rentebrief uit hetzelfde huis, 1421. 2 chartersN.B. (Regesten 583, 1165). Bedoeld is de Zwanestraat.	01-01-1165
24	Akte van schenking door vrouwe Bezela van een huis en hofstede in de 'Platea suburbana' aan de kerken van St. Marie, St. Jan en Oudmunster ter vermeerdering van de verlichting bij de kerkdiensten, 1165 (april 22-juni 18)	1165
26	Akte waarbij keizer Frederik I de bewoners van het bisdom Utrecht vergunt het land Noda te doorgraven, zodat het Rijnwater naar de zee kan stromen, en de dam bij Wijk bij Duurstede in stand te houden en waarbij hij tevens beveelt de door de graaf van Holland wederrechtelijk gelegde dam bij Zwadenburg te slechten, 1165	1165
28	Lijst van bepalingen [van keizer Frederik Barbarossa ?] met betrekking tot het bijleggen van geschillen tussen de bisschop van Utrecht, de graaf van Holland en de Domproost, (1165?)	1165
