	Titel	Datum
0	Akte van aanstelling door het Hof van de abt als dijkgraaf over de dijken en waterwerken van het klooster, 1525.	01-01-1525
2	Akte van schenking door Erke Hetsema en Garbet Robbema aan het klooster van het meer in Augustina, 1526.	01-01-1526
4	Réunion de la terre de Bours en un fief (leengoed), par Marie de Luxembourg, duchesse douairière de Vendormois de St. Pol	1525
6	Akte, waarbij de broers Herbordt en Brandt van Baer een geschil bijleggen met Berendt Valken over het huis, genaamd Barnouw, gelegen in Münster, 1525. 1 charter	1525
8	Akte van institutie door de officiaal van de aartsdiaken van Utrecht van Dirk Willemszoon van Abcoude tot vicaris van het St.Bartholomeus-altaar in de Buurkerk, als opvolger van Gerardus Scriver, 1526, met in dorso akte van inbezitstelling ten overstaan van notaris Henricus de Eyck, 1527	01-01-1526
10	"Akte van transport door schoenmaker Dirck Gerytsz. en zijn vrouw Cornelia aan Wouter Jansz. van de Poll van een huis op het Buurkerkhof ""onder die hall"", 1526"	1526
12	Akte van transport door Henrick Alphertsz. van Lichtenberg en zijn vrouw Elsabe alsmede door Alyt, weduwe van Willem Janss. van Besoyen, en haar dochter Margriet aan Evert Geerloffsz. van Bueren van de beide helften van een in een getransfigeerde akte van transport nader omschreven huis en hofstede, 1525	1525
14	Akte van belening door de vicaris en officiaal van de proost van het kapittel van St. Marie van Goert van Voerd als opvolger van Elze Ghisbert Loeff Bergmakersdr. met de helft van 30 morgen land in Lopik, 1484, met in dorso akte van overdracht door Goert van Voerd aan zijn zoon Goert van Voerd, 1525	01-01-1484
16	Akte van transport door Jan Vuijstinck aan zijn zoon Christiaen van een huis en hofstede aan de noordzijde van de Koestraat, 1526. Met retroacta, 1435-1494	01-01-1435
18	Akte van machtiging door Jan van Gronsfelt van Antonis Loefszoen van E en Alijt van Everdingen, om voor hem van de stad Nijmegen alle renten te innen, die zijn moeder, wijlen Wendelmoet van Zijl, vrouw van Gerrit van Gronsfelt, te vorderen had, 1525	1525
20	Akte ten overstaan van burgemeesters, schepenen, raad, oudermannen en gilden betreffende goederen van Goeyert van Voirdt. Fragment, 1526	1526
22	Magescheid tussen Jacob Coppier Jacobsz., Jacob van Bosschuysen en Cornelis Haeck, als man van Cornelia van Bosschuysen, over de goederen nagelaten door Barbara Coppier, weduwe van mr. Willem van Berendrecht, hun zuster en moei, 1526. 1 charter	1526
24	Acte waarbij Elysabeth Zoudenbalch verschillende goederen onder Doornenburg en Angeren in lijftocht geeft aan haar man Reyner van Voyrst, 1525. 1 charter	1525
26	Burgemeesteren, schepenen en raad der stad Swolle geven vidimus van den brief van Hendrick van Beyeren, elect te Utrecht, d.d. 16 Februari 1525 (zie regest nr. 31). Gegeven int jair ons Heren dusent byffhondert ende vyff ende twintich, op avent Annunciationis Marie verginis.	01-01-1525
28	Schepenakte van transport door Van Zandelinge aan Adriaen Heinricsz. van een stuk land gelegen in Heinenoord	1525
30	Schepenakte van transport door de erfgenamen van Cornelis Woutersz. en Ariaentje Adriaensdr. aan de heilige geestmeesters van een stuk land gelegen in West-Barendrecht, 1524, met schepenakte van bekrachtiging	1525
32	Schepenakte van transport door Wouter Jansz. aan de heilige geestmeesters van een stuk land gelegen in West-Barendrecht, 1525, met schepenakte van bekrachtiging	1526
34	Akte van overdracht, door Liesbet, weduwe Lambrecht Geertszn de Bond, kinderen van Peter Jan Corneliszn en Daniel Lauen, aan Adriaan Dierikszn, gemachtigde kartuizers, van erfcijns onder Riete, 1525	1525
36	Akte van overdracht, door Kleis Willem Kleiszn, aan Hanrik Toniszn Joncheyts, voor Marie Jorisdr, van land in Kyfhoek in Drimmelen, 1526	1526
38	Akte van verklaring, verleden voor schepen van Breda, door Adriaan Boudenszn, Anthonis Jacopszn van den Veke, Jan Peter Braetszn en Cornelis Pauwelszn, dat zij van heer Cornelis van Heusden, priester en kapelaan in Breda, met volmacht van heer Dirk van Meer, priester, mr Gabriël van Meer en van kinderen wijlen Gielis van Meer zes beemden gehuurd hebben, huur ingaande 1526, 1525 april 20	1525
