	Titel	Datum
0	Akte waarbij Wenemaer van Maersen aan Melys haren Amelyssoen van Houweninghen een deel van een huis en hofstede bij het Buurkerkhof naast de steeg van het Buurkerkhof naar de Donkerstraat in erfpacht geeft, 1375. Met geïnsereerd retroactum, 1285	01-01-1285
2	Handvest van graaf Floris V betreffende het afdammen van het Spaarne en het bestuur van het hoogheemraadschap, 1285	01-01-1285
4	Akte waarbij de stichting De Beyart in het bezit gesteld wordt van het legaat van kanunnik Johan Meem, te weten 43 grote en acht en een halve kleine roeden land, gelegen bij Vlijtingen, 1428 november 27. afgedrukt bij Doppler Schep. nr. 1286	01-01-1286
6	Akte waarbij deken en kapittel van Onze-Lieve-Vrouw de verplichtingen van het ambt van custos en de daaraan verbonden inkomsten nader omschrijven, 1286	1286
8	Akte van overdracht door Gerardus de Boxberc ten bate van zes altaren in de kerk van Sint-Servaas, te weten het altaar in de crypte, het altaar onder het Heilig Kruis, het altaar van de heilige Nicolaus, het altaar van de heilige Laurentius, het altaar in het midden der kerk en het altaar in het nieuwwerk, van achttien Luikse solidi jaarcijns op een huis, 1285 oktober 6. reg. Doppler Schep. nr. 12	01-01-1285
10	Akte van overdracht door Arnoldus, officiatus der kerk van Sint-Servaas, van een Luikse mark jaarcijns ten bate van zes altaren aldaar, en van een Luikse mark jaarcijns aan het kapittel voor zijn jaargetijde, welke beide jaarcijnsen gevestigd zijn op een huis en schuur te Maastricht, bewoond door de kopersmid Adam, 1285 juni 20. afgedrukt bij Doppler Schep. nr. 10	01-01-1285
12	Akte van overdracht door Arnoldus, officiatus der kerk van Sint-Servaas, aan het kapittel van een Luikse mark jaarcijns op zijn huis te Maastricht, 1285 juni 25. reg. Doppler Schep. nr. 11	01-01-1285
14	Akte waarbij hertog Jan 1 van Brabant zijn mannen te Maastricht beveelt, hun graan te laten malen in de molen van het kapittel van Sint-Servaas, 1285 maart 4. reg. Doppler nr. 217	01-01-1285
16	Eigendomsbewijs voor heer Willelmus Doys van de heerlijkheid Pannerden, afkomstig van het kapittel van Emmerik, 1285. 1 charter	1285
18	Stukken betreffende de vereffening van een geschil tussen de proost en kanunniken van Bethlehem en de commandeur en broeders van het Duitsche Huis in de Nederlanden omtrent het bezit van het huis van Bethlehem en de kerk van Doesburg, 1286. 2 chartersN.B. Cod. Dipl. nrs. 630, 632.	1286
20	Acte van overdracht van de kerk van Doesburg, behoord hebbende aan het convent van Bethlehem, door de bisschop en het domkapittel van Utrecht aan het Duitsche Huis te Utrecht, 1286. 3 chartersN.B. Cod. Dipl. nr. 633.	1286
22	Akte van afstand door de elect Jan aan het kapittel van terrein ter vergroting van zijn ruimte van de doorgang of weg van af het Domkerkhof tot aan de vier stenen huizen, 1285 mei 20	1285 mei 20
24	Overdracht door Jacob Wos van Harderwijk aan Simon Spetherenc te Utrecht van de hofstede tussen de gracht en de brug, die hij van het kapittel in tijns houdt, met betreffend verzoek tot goedkeuring aan het kapittel, 1285	1285
26	Akte waarbij Tilmannus, zoon van Wolbero de Es, de tienden van twee hoeven, gelegen bij het bos van Vetloven, aan het klooster Marienthal schenkt, 1286	1286
28	Bevel van elect Jan aan zijn geestelijkheid om giften in te zamelen ten bate van de wederopbouw van de door brand verwoeste kerk, 1285 okt. 27	1285 okt. 27
30	Belofte van Wallerans de Lucembourg, siris de Lineij, aan graaf Reinald ter vereffing van hunne onderlinge geschillen, 1286 april 24 (1286. lou demain de facte saint George). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1286
32	De Utrechtsche bisschop Johan confirmeert op nieuws de regten en uitgifte van de heerlijkheid Hoevelaken, zo als in 1132 door bisschop Andreas bij dezelfde brief gegeven waren, 1286 april 13 (1286. in vigiliae Paschae). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1286
34	Quitantie wegens 1200 mark door graaf Reinald betaald aan Walrans van Lucemborg, heer van Linij, 1286 juli 4 (1286. le jeudi apres le feste s. Piere et s. Poul apostl). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1286
36	Jan, heer van Kuijk, belooft, van wegen den hertog van Brabant, niet te sullen roven of schade doen door het land van Kuijk, in het land van Kessel, of anders, uitgesonderd, uit de stad van Grave, 1286 october 31 (1286. Op alle Gots heiligen avende). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1286
38	Quitantie van twee hondert mark keuls door graaf Reinald, in mindering van zijn schuld, betaald aan Mathias, dictus de scpeculo, miles, civis Coloniensis, 1286 april 9 (1286. feria tertia post Ramos Palmarum). 1 charterN.B. 0001 Graven en hertogen van Gelre, graven van Zutphen.	01-01-1286
