	Titel	Datum
0	Akte van verkoop betreffende 2 mad mieden in de IJsermieden en 2 mad mieden in de Augustinusgaster mieden, beide aldaar, van Binne Douwes te Giekerk, c.s. erven van Wijger Wijgers en Aeltie Pieters e.l. onder Buitenpost, voor Eelco van Haersma, grietman van Achtkarspelen, te Augustinusga, 1705	01-01-1705
2	Akte van verkoop betreffende 3 hengstegrazen leien onder Augustinusga, ten zuiden van het Colonelsdiep, van Egbert Jans, dorpsrechter te Drogeham, voor Eelco van Haersma, grietman van Achtkarspelen, en Maria van Bosman, e.l. te Augustinusga, 1705. Gekwiteerd, 1705 1708	01-01-1705
4	westzijde Kikkerstraatje, Adrianus Kuijpers	1705
6	Onderhandse akten van verkoop van een goed in de buurschap Emst aan de Emster enk, ten dele herengoed, ten dele tynsgoed, door Johan Hendrik van Isendoorn à Blois en zijn vrouw Margaretha van Reede, 1698, 1706. Met verdere akten betreffende dit goed, 1676-1706. 4 charters en 1 omslag	01-01-1676
8	Magescheid tusschen de kinderen van Maria Getruidt Swaeffken, vrouw van Dirck van Dorth tot Buslo, 1705. Met aangehechte acte van goedkeuring door de Geldersche leenkamer, 1715. 1 charter met aangehecht stuk	01-01-1705
10	Acte van huwelijksvoorwaarden van Jan Mourits Blanckvoort en Josepha Clara van Twickel, 1706. In duplo. 2 charters	01-01-1706
12	Huwelijkscontract tussen Ludolph Luirt van Ripperda van Winsum en Anna van Ewssum van Mensinga tot Rooden, 1705	1705
14	De Brede, 1706 jun 10	1706 jun 10
16	Nadere bepalingen betrekkelijk het huwelijkscontract van Willem Alberda van Godlinze en Margarita Josina Hoornken, (1703), 1706	1703
18	Mutueel testament van Wilhelm Alberda tot Godlinze en zijn vrouw Margarita Josina Horenken, 1705	1705
20	"Schuldbekentenis, groot 500 car. gulden, ten laste van Helena Clant weduwe Lewe van Middelstum etc., ten bate van de ""voorstanderen"" der armen van Stitswerd, 1705. Afgelost, 1717"	1705
22	"Akte, waarbij Anna Elisabeth Alberda weduwe Borne, Johanna Alberda weduwe Grevinghe en Elste Anna Alberda weduwe Wicheringe, voor haar kinderen verklaren Derck Alberda en Peter van Nijeveen te zullen ontheffen van hun verplichting tegenover de ""kopers en pachtenaren"" der goederen van wijlen Eeltijn Johanna Fockema weduwe Alberda in zake leverantie van diens goederen, 1706"	1706
24	Akte van aanstelling door de Staten-Generaal van Jacob van Reede tot extraordinair kapitein ter zee bij de admiraliteit van Amsterdam, 1706 maart 23	1706
26	Akten van overdracht voor François Koudijzer van percelen weiland in Noordmonster, Nieuwerkerke en Westersouburg, afkomstig van diverse personen, 1706-1713	1706
28	Akte van transport door Cornelis de Coole en Willem de With en zijn vrouw Margareta Fockens aan Nicolaes Nelman sr. van vier naast elkaar gelegen kameren aan de noordzijde van de Molensteeg (nu: Andreasstraat) bij de Springweg, 1705	1705
30	Akte van transport door Barent van Bremen aan Arnoldus Boonsaayer van 5 huizen in de Kromme Elleboogsteeg en de Lange Nieuwstraat, 1706	1706
32	Akte van verkoop en transport door de kerkmeesters van de Jacobikerk aan Maria Paviljoens, weduwe van mr. Daniel Heins, van de grafkelder no. 2, 1705	1705
34	Akte van verkoop door Jacob van der Esch aan zijn broer Gerard van een huis en erf aan de zeekant, 1706, met een retroactum, 1691	01-01-1691
36	Schuldbekentenis voor 500 carolus guldens, van Johan B. Boonaerts, voor Roelof Tibosch, 1705	1705
38	Akte van uitgifte van gemeente van Geldrop, 1377, kopie uit 17e eeuwVidimus van Raad van Brabant uit 1706, authentieke kopie uit 1769	01-01-1377
