	Titel	Datum
0	Inventaris van de charters van de abdij Mariëndaal uit 1295-1636, met uitgebreide beschrijvingen in regestvorm, samengesteld door rentmeester Johan Vinck en zijn zoon Adriaen Vinck in opdracht van de superintendenten, 1637.	01-01-1295
2	Akte van attestatie van geestelijken, ridders en schepenen van Utrecht, dat Govert van Zeist bij de bisschop is verschenen op de dag dat de sententie inzake het kasteel van Montfoort zou worden uitgesproken, maar dat de bisschop zich in zijn kamer opsloot, 1295. Vidimus door het hof van Utrecht, 1629	01-01-1295
4	Stukken betreffende verzoeken om en toekenning van remissie van de verponding, waaronder in de jaren 1732, 1747, 1767 en 1803 door of namens de plaatselijke besturen in de Vier Noorder Koggen opgemaakte lijsten of memories betreffende de gemiddelde huurwaarde van de landerijen en de jaarlijkse lasten waarmee zij bezwaard zijn, (1676), 1732, 1745-1747, (1753), 1755-1756, (1760), 1764, (1766), 1767, 1775-1777, 1796, 1803	01-01-1296
6	Akten van transport door verscheidene verkopers van huizen en erven te Lambertschaag en Twisk, waarschijnlijk ten behoeve van dijkverbetering en de bouw van magazijnen, 1705, 1713, met retroactum, 1700	01-01-1296
8	Akten waarbij de baljuw van Medemblik het onderhoud van de binnendijken en waterschuttingen tussen de dorpen van de Hoog wouderkogge, de Wognummerkogge en de Middelkogge verdeelt, 1349. Vidimus van het stadsbestuur van Hoorn, 1530. Afschrift, met bijgeschreven uittreksel van een in 1386 door Albrecht van Beieren verleend privilege aan allen die op de Heerhugowaard uitwateren, waaronder de Spanbroekerkogge (= Wognummerkogge), om naar eigen inzicht sluizen te leggen, (begin 18e eeuw)	01-01-1296
10	Akte van overdracht door Reinerus de Herborch, ten behoeve van het altaar van de heilige Georgïus, Ouirinus en Ewaldus, van twintig solidi, en ten behoeve van de tafel van de Heilige Geest te Maastricht van vijf solidi en zes denarii jaarcijns op diverse goederen. Met retroacta, 1296, 1355., 1355 december 13. reg.- en van de akte van 30 november 1296 de tekst in extenso-Doppler Schep. nrs. 47, 45-46	01-01-1296
12	Akte van overdracht door Renerus, provisor van het gasthuis van Sint-Egidius te Wyck, aan het kapittel van Onze-Lieve-Vrouw van een aantal renten ten laste van diverse huizen en percelen te Maastricht, 1296	1296
14	Verklaring van Gosen van Lynden, dat de cijnsen in het kerspel Doornenburg door deken en kapittel van St. Albertus te Aken verkocht zijn aan heer Willem van Darenborgh, 1295. 1 charter	01-01-1295
16	Stukken in origineel en in afschrift betreffende verschillende families	01-01-1295
18	Eigendomsbewijs voor de commanderij te Arnhem van eenige goederen onder Brummen en Rienderen, afkomstig van wijlen Theodericus van Nyenbeek, 1297. Met oudere acten betreffende den eigendom, 1295, 1296 en met twee latere acten van afstand van rechten, 1302, 1305, 1295, 1296, 1297, 1302, 1305. 6 chartersN.B. Reg.nos. 17, 18, 19, 20, 23 en 27.Vgl. Gelre, Bijdr. en Med. XIII (1910), blz. 221.	01-01-1295
20	Akte van overdracht door Basilia en Mechtildis, dochters van wijlen Baldwinus de Molendino, aan het kapittel van zeven Luikse solidi jaarcijns op een huis op de Kersenmarkt, dat voor 5 copeti jaarlijks cijnsplichtig was aan de refter van het kapittel, 1295 oktober 6. reg. Doppler Schep. nr. 41	01-01-1295
22	Akte van overdracht door de Lombarden te Maastricht aan het kapittel van vier Luikse marken jaarcijns op verschillende huizen in de Raamstraat en de Grachtstraat, 1296 februari 25. reg. Doppler Schep. nr. 43	01-01-1296
24	Akte van deling tussen Jacob Luyen, als echtgenoot van Beateren, en Johan van Lutge van de nalatenschap van Dyna, dochter van Johan Ylias, te weten een bunder akkerland te Gellik en diverse cijnzen op goederen te Maastricht, 1429 juni 20. reg. Doppler Schep. nr. 1296	01-01-1296
26	Akte van overdracht door Yda, Volquinus en Renerus Schecters aan het kapittel van twintig nieuwe Luikse solidi jaarcijns op een erf te Sint Pieter, voor het jaargetijde van wijlen deken Renerus van Xanten, 1295 december 28. reg. Doppler Schep. nr. 42	01-01-1295
28	Vonnis van de officiaal van Luik in een proces tussen het kapittel en de heer van Horn, die zich in het bezit had gesteld van rechten en bezittingen van het kapittel te Weert, 1295 mei 21. reg. Doppler nr. 232	01-01-1295
30	Huwelijkscontract van Johannes, zoon van heer Adolph van Lembeke, met Agnes, dochter van Steven van Wisch, 1296. 1 charter	1296
32	Akte waarbij paus Bonifatius VIII de meester en broeders van het hospitaal en de plaats waar zij gemeenschappelijk leven in bescherming neemt	1296
34	Akte, waarbij graaf DIDDERIC VAN CLEVE verklaart, dat GISELBRECHT VAN YSELSTEYN, op bevel van de graaf van Holland, de heer van Amstel ontzegd heeft, op voorwaarde, dat hij zijn Amstelse lenen behoudt.1296	01-01-1296
36	Akte van Floris de Voogd, waarbij deze verklaart aan gravin Margaretha van Vlaanderen wegens Zeeland leenhulde te hebben gedaan,21 oktober 1256 Vidimus van 1296 Afschrift Godefroy.[z.d.]	01-01-1256
38	Akte van Rooms koning Rudolf, waarbij deze graaf Floris V vergund, dat het graafschap Holland en de andere rijkslenen bij ontstentenis van een zoon op zijn dochter zullen versterven en zijn weduwe de voogdij zal voeren,19 juni 1282 Vidimus van 1296 Afschrift Godefroy.[z.d.]	01-01-1282
