	Titel	Datum
0	Brieven van maintenue voor Juliana van Dekema te Weidum, wed. van Goslik Hiddema, wegens het blokkeren van de poort in de ringmuur rondom haar huis te Franeker, eertijds Ockinga, nu Dekamahuis genaamd	1645
2	Acte du serment, prëté par Hugues de Noyelle en mains du marquis de Castelrodrigue, pour la charge de conseiller d'état	1645
4	Octroi, accordé par Philippe IV, roi de Castille etc., à Hugues de Noyelle, pour tester	1645
6	Akte van verlei van de hoge heerlijkheid Marlot aan David van Marlot	1646
8	Akten van vrijgeleide van resp. Philips IV, koning van Spanje, en Ferdinand III, keizer van Duitsland voor de afgevaardigden naar de vredesonderhandelingen te Munster, 1645. 2 charters	1645
10	Paspoorten voor Adriaan Clant als afgevaardigde naar de vredesonderhandelingen te Munster, 1646,1647. 2 charters	01-01-1646
12	Akte van belening van Herman Otto graaf van Limburg, heer tot Wisch en Borculo [...] met de hof te Vaarwerk, 1645. 1 charter	1645
14	Eigendomsbewijzen voor Hendrik van Isendoorn en zijn vrouw Hermelina van Hoecklum van land in het kerspel Oene, 1664-1717. Met oudere eigendomsbewijzen, 1646-1671. 14 charters en 1 omslag	01-01-1646
16	Acte van belening voor Rudolff van Twickelo, onmondig, met 2/3 deel van het goed te Cattenreep, na dode van zijn vader Rudolff van Twickelo, 1646. 1 charter	01-01-1646
18	Akte, waarbij Reint Bartels te Oldenzijl, mede namens zijn vrouw Elske, verklaart goed te vinden, dat de vergunning, hem gegeven voor het timmeren van een huis op het door hem van Berent Schaffer en Wolter Hindricks en Trijne ehelieden, gebruikte land, uitsluit het recht van beklemming dier landerijen en er mee akkoord gaat dat zijn huis bij verschil met de eigenaren van het land wordt afgebroken, 1645	1645
20	Schuldbekentenis, groot 150 car. guldens, ten laste van de cornet Egbert Entens en ten bate van Udo Valck en Medina Valcke, ehelieden, 1646. Met aan dit stuk bevestigde akte van overdracht van deze schuldbekentenis door Udo Valcke en Medina Valcke, ehelieden aan Jochum Geerts drie Putten, 1646	1646
22	Akte van erfpacht door de stad Rhenen aan Godard Adriaan van Reede van de Zandberg, zijnde een aanwas bij Rhenen beneden de Berg tussen de Tang en het huis Remmerden, 1646, met stukken betreffende het bekrammen (met stromatten versterken van die aanwas), 1686	01-01-1646
24	Akte van overdracht door het kapittel van S. Pieter te Utrecht aan Godard Adriaan van Reede van ca. 3½ morgen weiland onder Amerongen, 1652, met retroakte, 1646	01-01-1646
26	Akte van aanstelling door de Staten van Utrecht van Godard Adriaan van Reede tot heemraad van de Lekdijk Bovendams, 1646 febr. 18	1646
28	Akte van losrente door abdis en jufferen van Mariëndaal voor Joost van Beeck, te betalen uit een bedrag vrijgemaakt door Joost Frederikszone van Beeck te Utrecht na het overlijden van rentmeester Cornelis van Beeck, 1624 juli 29, afgelost, 1645.	01-01-1624
30	Akte van schuldbekentenis door Johan Drever van den Ham aan Arnoudt van Naerden te Amsterdam van een som groot 800 gulden met hypotheekstelling van een huis in de Lollestraat (nu: Nobeldwarsstraat), 1646, met kwitantie wegens aflossing, 1676	01-01-1646
32	Akte van schuldbekentenis door Michiell van Stroomvoort aan Ryck van Dieren van een losrente van 15 gld. op een hoofdsom van 300 gld., onder hypotheekstelling van drie achter elkaar gelegen kameren in de Breedstraat op de hoek van het Paardesteegje, 1645	1645
34	Akten van verkoop van een huis en erf aan de oostzijde van het Rapenburg nabij de Houtstraat, 1645-1680, met een afschrift, 1702	01-01-1645
36	Acte van huwelijksvoorwaarden tussen Jacob Hackvort en Elisabeth van Lanscroen, 1645. 1 charter	1645
38	Acte waarbij Pieter Douw, als mede-erfgenaam van Cornelia van Swieten, een losrentebrief ten laste van Holland en Westfriesland overdraagt aan Johan van Peenen, 1676. Met afschrift van de rentebrief, 1646. 1 charter en 1 stuk	1646
