	Titel	Datum
0	Decreetbrief van het Hof van Friesland betreffende de verkoop, ten laste van de kerk van Eernewoude, van 18 pondematen te Warstiens in de landen van kapitein Andries Roorda van Velsen, gekocht door kapitein Johannes van Velsen, 1667. Met afschrift van de verkoopartikelen d.a. 1675	01-01-1667
2	Akte, waarin Jacqes voorn. wordt aangesteld tot kapitein door de Staten-Generaal	1676
4	Idem, door Willem Hendrik van Oranje (= Willem TIl.)	1676
6	Eigendomsbewijzen van de buitenplaats Patientie te Abcoude Baambrugge	1676
8	Onderhandse akten van verkoop van een goed in de buurschap Emst aan de Emster enk, ten dele herengoed, ten dele tynsgoed, door Johan Hendrik van Isendoorn à Blois en zijn vrouw Margaretha van Reede, 1698, 1706. Met verdere akten betreffende dit goed, 1676-1706. 4 charters en 1 omslag	01-01-1676
10	1/6 deel in 3 kampen in de Hongerstraat, 1676 1 charter	1676
12	Keerskoopbrief, waarbij de provincie in de eigendom wordt gesteld van een plaats te Grijpskerk, afkomstig van Freerck Jansen Wildehuys en zijn echtgenote Eelckien, 1675	1675
14	Noordhorn, 1676 jan 22	1676 jan 22
16	Contract van correspondentie tussen Daniel d'Hertoghe en Claes Sekema over de bediening van ambten in Westerdeel-Langewold, 1675	1675
18	Schuldbekentenis, groot 800 car. gulden, ten laste van Petrus Sonnema en Maria Swartzenborgh, ehelieden en ten bate van de minderjarige kinderen van wijlen Roeleff van Geuns en Geertruit Jansens, ehelieden, 1675. Afgelost, 1681	1675
20	Akten van verkoop en overdracht voor Godard Adriaan van Reede van vier percelen land aan de Stichtse zijde van de Rijn op Gerberger waard, samen ca. 23 morgen, afkomstig van diverse personen, 1675-1689	1675
22	Akte van schuldbekentenis door Johan Drever van den Ham aan Arnoudt van Naerden te Amsterdam van een som groot 800 gulden met hypotheekstelling van een huis in de Lollestraat (nu: Nobeldwarsstraat), 1646, met kwitantie wegens aflossing, 1676	01-01-1646
24	Akte van gerechtelijke verkoop en transport op verzoek van de executeurs van de nalatenschap van Deliana van Wijckerslooth en ten laste van Jan van den Bosch van een huis vooraan in het Wijstraat (nu: Twijnstraat) aan Hendrick en Jacobus Schoock, 1676	1676
26	Bul van de universiteit van Angiers waarbij Everard van Drakenborch promoveert tot doctor in de rechten, 1676	1676
28	Akte van vrijwillig gerechtelijk transport door Franchoijs van Lienden aan Wessel Wesselsen van den Eijckelenboom van een huis aan de noordzijde van de Romerburgerstraat (nu: Hamburgerstraat), 1675	1675
30	Stukken van de familie Van der Nijpoort, 1553-[1675]	1553
32	Akte van transport door Anna Magdalena Steevens, dochter en erfgename van Aarnout Steevens en Sara Witte, aan Mr. Wighbolt Slicher te Amsterdam van een stuk weiland, groot 7 morgen, bestaande uit 4 kampen, in de Hanswijkerpolder onder Weesperkarspel, 1723, febr. 24; met retroacta houdende transport van ditzelfde land door de erven Tijmon Veenenman voor resp. 4/21 en 14/21 deel aan Philip Sael en Engel Habets gezamenlijk, 1676, sept. 17 en 1677, juli 11, en door Philip Sael voor de helft aan Arnout Stevens, 1698, dec. 14	01-01-1676
34	Eigendomsbewijzen voor familie Van Camphen, van huis Bijstervelt, met hoeve en landerijen, 1675 - 1747	1675
36	Bevelschrift van Raad van Brabant in Den Haag, aan schepenen Breda, in zaak tussen Catelijn Wouter Maes en Peter van Berghen, over opheffing beslag op roerende goederen Catelijn, fotokopie, 1676	1676
38	Akte, waarbij de Gecommitteerde Raden van Zeeland, na de verkoop door Philips van den Brande, Mattheus Eversdijck, filius Mattheus, belenen met enige verbeterde tienden gelegen in 's-Heer Arendskerke, 1676. 1 charter	1676
