	Titel	Datum
0	Aanstellingsakte voor Cornelis Martinus van Haersma tot raad ter Admiraliteit van Amsterdam, 1785; met aanhangend zegel.	01-01-1785
2	westzijde Kikkerstraatje, Adrianus Kuijpers	1705
4	westzijde Kikkerstraatje 2 huizen, Jan Anthony Stam	1785
6	Akte van goedkeuring van een hypotheek, groot 6000 gulden, ten laste van Evert Wouters en Jantje Lambers, gevestigd op het goed Achterveld in Barneveld ten gunste van P.F. van Erkelens, 1786, met akte van verlenging voor een periode van 6 jaar, 1799. 2 charters	01-01-1786
8	Akte van verkoop door Friedrich Beens aan Lucas W.Ph. van der Borch van een weiland, genaamd de Weekmaad onder Emmen, 1786. 1 charter	1786
10	Akte van belening door de heer van Keppel en Walfort van Jan Ludolph ten Behm, baron van Knuth, met het huis en havezathe De Ehze c.a. onder Almen, 1785. 1 charter	01-01-1785
12	Doctorsbul, uitgereikt aan Van der Borch bij zijn promotie tot doctor in de beide rechten aan de universiteit van Leiden, 1786. 1 charter	1786
14	Bul door de Senaat van de Groningse Universiteit verleend aan G. Alberda van Menkema ten bewijze van zijn promotie tot doctor in de rechtswetenschap, 1785	1785
16	Akte van verkoop en overdracht door Gerrit Strating en Rolina Wibbina Vetter, echtelieden, aan Pieter S. Muller en Grietje Pröbsting, echtelieden, van een brouwerij staande Achter de Muur tussen de Herestraat en de Oosterstraat, genaamd 'De Os', waarbij het restant van de koopsom wordt gecedeerd aan L. Strating en Willem Vetter, 1799. Met retroacta, 1798, 1787, 1786	1786
18	Akte van verkoop en overdracht door Klaas Helder aan Tonnis Willems en Jantje Hindriks, echtelieden, van ca. 5 1/2 grazen groenland gelegen buiten het Klein Poortje, 1818. Met retroacta en afschrift, 1801, 1785	1785
20	Akten van aanstelling door de prins van Oranje van Frederik C.R. van Reede tot schout van de stad Utrecht, 1782, 1785	1782
22	Akte van benoeming vanwege de geestelijke instellingen in de stad Utrecht van Jacob Carel Martens tot hoogheemraad van Bijleveld en de Meerndijk, 1786. Met aantekening betreffende het afleggen van de eed, 1787.	01-01-1786
24	Akte van transport door Leendert Noordijk aan Steven van Schuppen van een huis aan de westzijde van de Neude, 1785	1785
26	Choorstraat D 13, Klein Stegenburg, 1786	1786
28	Dissertatio historico-politica inauguralis de vi rationum externarum in domesticam patriae nostrae conditionem, inde a controversia M. Britanniae cum colonis suis Americae-septentrionalis, usque ad foedus nostrum cum Francia d. 10 nov. a. 1785, proefschrift door Jacob Karel Willem Quarles van Ufford in het kader van zijn promotie in het Romeins en hedendaags recht aan de Rijksuniversiteit van Leiden op 9 december 1844, gedrukt en in tweevoud, met zijn promotiebul, 1844 dec. 9	01-01-1785
30	Akte van verificatie van het testament van Thomas Quarles, 1786 febr. 3, met een aangehechte gerechtelijke verklaring over de uitvoering van voornoemd testament naar aanleiding van Thomas' overlijden, 1788	01-01-1786
32	Akte van erfpacht voor een jaar door Martha Quarles, weduwe van Thomas Quarles, aan Francis Thomas Quarles van woonhuizen c.a. gelegen aan de markt van Foulsham en van diverse stukken land aldaar, die voornoemde Thomas Quarles middels zijn testament van februari 1786 na liet aan zijn echtgenote Martha, voor de som van 5 shilling, 1799 okt. 3	01-01-1786
34	Akte van overdracht door Martha Quarles, weduwe van Thomas Quarles, aan Francis Thomas Quarles van het vrije gedeelte van woonhuizen c.a. gelegen aan de markt van Foulsham en van diverse stukken land aldaar, die voornoemde Thomas Quarles middels zijn testament van februari 1786 naliet aan zijn echtgenote Martha, tevens akte waarin Martha afstand doet ten gunste van Francis Thomas van het erfpachtgedeelte van voornoemde huizen en gronden, 1799 okt. 4, met een dorsale kwitantie	01-01-1786
36	Akte van commissie van de Staten van Holland en West-Friesland voor Meinderd Elias de Vries van Vossen als schout van Enkhuizen, 1785	01-01-1785
38	Acte van belening door de abdis van Elten van Casper Floris baron van Hackfort van Oosterhout met het goed Dickmathe onder Wichmond, na magescheid van de boedel van mevrouw Van Eyll. Met oudere acten van belening, 1610, 1739 en 1773, 1785. 4 charters	1785
