	Titel	Datum
0	Koopbrief waarbij Hans Wilhelm en zijn zuster Amalia von Grumbach zu Burchgrumbach, de laatste weduwe van Berlichingen, hun erfdeel Groot Terhorne te Beetgum, geérfd van hun vader Carel von Grumbach, verkopen aan Georg Wolfgang I zu Schwartzenberg. Met bewijs proclamatie d.d. 1597, door W. van Grovestins. 1596, charter met zegel.	01-01-1596
2	Octroi, accordé à Herman de Bourgogne de pouvoir tester de ses biens, situés en Brabant	1596
4	Octroi, accordé à Herman de Bourgogne de pouvoir tester de ses biens, situés en Hollande, en Zeelande et à Namur	1596
6	Eigendomsbewijs voor Elbert van Isendoorn à Blois en zijn vrouw Odilia Catharina van Wassenaer van de Bonenburgse tiend, z.j. (1670?). Met tiendrol, 1595. 1 charter en 1 katern	01-01-1595
8	Stukken betreffende processen tussen Wendelina Vieracker, weduwe Van Ouwen, en Marten van Isendoorn à Blois over de verbreking van trouwbeloften, gevoerd voor de officialen van Deventer en Emmerik, 1587-1596. 1 charter en 1 katern	01-01-1587
10	Acte van huwelijksvoorwaarden van Gijsbert van Dortt van de Blanckena tho Viirackeren en Margreta Loessenn, 1595. In duplo. 2 charters	01-01-1595
12	Akte van overeenkomst met de erfgenamen van Nicolaas van Valckestein over de betaling van rente op de nog niet betaalde koopsom van domeinen in Voorne, gekocht toen Van Valckestein rentmeester van Voorne was, 1610, met retroakte, 1596	01-01-1596
14	Akte waarbij notaris Franciscus Joelis uit Napels verklaart dat Jan Pieterss. van Everdinghen uit Utrecht zich op 12 juni 1596 in Napels heeft opgehouden, 1596	1596
16	Onderhandse akte van verkoop door Johan van Hensbeeck aan Gerardt Gerritsz. wonende op Zwezereng in het gerecht van Zuilen aan de Lageweidsedijk van een losrente van 18 gld. op een hoofdsom van 300 gld., 1575, met dorsale aantekening, 1595	01-01-1575
18	Eigendomsbewijzen van het huis De zwarte ram aan de noordzijde van de Ganzenmarkt, 1596-1644	1596
20	Acte waarbij Jacob Dircksz. Ossencamp en zijn vrouw Marritgen hun aandeel in Loenerbosch en mark aan Gerrit Hackfort van Loenen overdragen, 1595. 1 charter	1595
22	Stukken betreffende het recht van Zwanendrift in de wateren rondom Haarlem, toekomende aan de familie Van Adrichem van Dorp, 1596-1608, 1807-1810. 2 charters en 1 omslag	01-01-1596
24	Schepenakte van transport door Huijch Joris Huijchensz. aan Gleijn Adriaensz. van een stuk land gelegen in Oost-Barendrecht	1595
26	Bevelschrift van Raad van Brabant in Den Haag, in zaak tussen Arent van Dorp, heer van Middelharnis, en ingelanden Sint-Martenspolder onder Oudenbosch, over betaling achterstallige grondcijnzen jaren 1579 - 1594, fotokopie, 1596	1596
28	Akte van volmacht, voor Jacob van Berchem, door Peter Adriaansz als man van Margrita, dochter van Jan van Outheusden, tot verkoop secretarisambt en vorsterijen in Maasland, 1596	1596
30	Vidimus ( = legalisatie) door schouten op 30 september 1596 van brief van rooms koning Maximiliaan waarin deze verklaart dat Bokhoven Luiks is, authentieke kopieën uit 1650 en 1651, 1596	1596
32	1595-07-03. 1595 juli 3Notaris Johan van Beerdonk instrumenteert:dat Nicolaus Joosten, priester, rector en biechtvader van convent zusters van Bethanië op Windmolenberg in 's-Hertogenbosch, als evicteur van huis, erf, lege plaats, kamer, hof en achterhuis in Zadelstraat, waaraan hij gericht was, en dat aan Jan Hoirnkens, voor convent, in koop was toegewezen, bij schepenakte van 1593 april 8 (regestnr 1964) in het openbaar geveild, ten beurde en te verbuete heeft gesteld;dat namens hem op 27 april 1594 Dirk Jacobs gecompareerd heeft en de evictie en verbuet heeft uitgesteld tot 11 mei 1594;dat daarna Dirk Jacobsz en convent bij het uitgaan der kaars kopers van het onderpand zijn geblevenGevidimeerd in Brabants Boek van Vidimus (inventarisnr 87) folio 3v - 8v	01-01-1595
34	1596-01-02. 1596 januari 2Notaris Johan van Beerdonk instrumenteert dat Nicolaas Joosten, priester, rector en biechtvader van convent zusters van Bethanië in 's-Hertogenbosch op Windmolenberg, als evicteur van huis, erf, lege plaats, kamer, hof en achterhuis in Zadelstraat, waaraan hij gericht was, en dat aan Jan Hoirnkens, voor convent, in koop was toegewezen bij schepenakte van 1593 april 8 (regestnr 1964), en waarna hij koper is gebleven bij laatste verbeut, samen met Dirk Jacobs, als man en voogd van Mariken, dochter van Jan Willemszn (zie regestnr 1965), in het openbaar dit onderpand heeft geveild op 29 november 1595 en het toen opgehouden heeft, waarna het op 11 december 1595 door hen opnieuw werd geveild en werd gekocht voor meercijns van 50 gulden door Jan Roelofszn Koenen (rentmeester klooster Mariënkroon) en op 2 januari 1596 door deze definitief werd gekochtGevidimeerd in Brabants Boek van Vidimus (inventarisnr 88) folio 8v - 12v	01-01-1596
36	1596-01-15. 1596 januari 15Schepenen van 's-Hertogenbosch, Theo van Veghel en Gerard van den Berge, oorkonden, dat Nicolaus Joosten, priester, rector en biechtvader convent zusters van Bethanië aan Windmolenberg, aan Johan, zoon wijlen Rodolf Koenen, snijder, (rentmeester van klooster Mariënkroon), heeft overgedragen:huis, erf, lege plaats kamer, hof en achterhuis in Zadelmakerstraat, welke Johan Hoornkens, voor convent in koop had gekregen bij schepenakte van 1593 april 8 (regestnr 1964), met nader genoemde lasten en cijnzenGevidimeerd in Brabants Boek van Vidimus (inventarisnr 88) folio 12v	01-01-1596
38	Akte van verkoop door Jan Heijmink aan Derk Lieftink van het goed Heijmink in Lochem, 1595. 1 charter	1595
